financial_year,sending_location,age_group,stay_type,nclient,nclient_scotland,rate_per_1000,scotland_rate,,
2019/20,Clackmannanshire,65+ years,Long Stay,360,49962,29.3,40.6,,
2019/20,Dumfries and Galloway,18+ years,All Stays,1926,61926,13.1,11.7,,
2019/20,Dumfries and Galloway,18+ years,Short Stay / Respite,186,6912,1.3,1.3,,
2019/20,Dumfries and Galloway,18+ years,Long Stay,1740,55014,11.8,10.4,,
2019/20,Dumfries and Galloway,18-64 years,All Stays,90,6744,0.9,1.7,,
2019/20,Dumfries and Galloway,18-64 years,Short Stay / Respite,6,1692,0.1,0.4,,
2019/20,Dumfries and Galloway,18-64 years,Long Stay,84,5052,0.8,1.2,,
2019/20,Dumfries and Galloway,65+ years,All Stays,1836,55176,40.4,44.8,,
2019/20,Dumfries and Galloway,65+ years,Short Stay / Respite,180,5214,4,4.2,,
2019/20,Dumfries and Galloway,65+ years,Long Stay,1656,49962,36.4,40.6,,
2019/20,Dundee City,18+ years,All Stays,1806,61926,12.3,11.7,,
2019/20,Dundee City,18+ years,Short Stay / Respite,36,6912,0.2,1.3,,
2019/20,Dundee City,18+ years,Long Stay,1770,55014,12.1,10.4,,
2019/20,Dundee City,18-64 years,All Stays,138,6744,1.2,1.7,,
2019/20,Dundee City,18-64 years,Short Stay / Respite,0,1692,0,0.4,,
2019/20,Dundee City,18-64 years,Long Stay,138,5052,1.2,1.2,,
2019/20,Dundee City,65+ years,All Stays,1662,55176,53.3,44.8,,
2019/20,Dundee City,65+ years,Short Stay / Respite,36,5214,1.2,4.2,,
2019/20,Dundee City,65+ years,Long Stay,1626,49962,52.1,40.6,,
2019/20,East Ayrshire,18+ years,All Stays,1236,61926,10.5,11.7,,
2019/20,East Ayrshire,18+ years,Short Stay / Respite,48,6912,0.4,1.3,,
2019/20,East Ayrshire,18+ years,Long Stay,1188,55014,10.1,10.4,,
2019/20,East Ayrshire,18-64 years,All Stays,108,6744,1.2,1.7,,
2019/20,East Ayrshire,18-64 years,Short Stay / Respite,6,1692,0.1,0.4,,
2019/20,East Ayrshire,18-64 years,Long Stay,102,5052,1.2,1.2,,
2019/20,East Ayrshire,65+ years,All Stays,1128,55176,38.3,44.8,,
2019/20,East Ayrshire,65+ years,Short Stay / Respite,42,5214,1.4,4.2,,
2019/20,East Ayrshire,65+ years,Long Stay,1086,49962,36.9,40.6,,
2019/20,East Dunbartonshire,18+ years,All Stays,1560,61926,15,11.7,,
2019/20,East Dunbartonshire,18+ years,Short Stay / Respite,222,6912,2.1,1.3,,
2019/20,East Dunbartonshire,18+ years,Long Stay,1344,55014,12.9,10.4,,
2019/20,East Dunbartonshire,18-64 years,All Stays,162,6744,2.2,1.7,,
2019/20,East Dunbartonshire,18-64 years,Short Stay / Respite,102,1692,1.4,0.4,,
2019/20,East Dunbartonshire,18-64 years,Long Stay,60,5052,0.8,1.2,,
2019/20,East Dunbartonshire,65+ years,All Stays,1398,55176,48.4,44.8,,
2019/20,East Dunbartonshire,65+ years,Short Stay / Respite,120,5214,4.2,4.2,,
2019/20,East Dunbartonshire,65+ years,Long Stay,1284,49962,44.5,40.6,,
2019/20,East Lothian,18+ years,All Stays,1242,61926,12.3,11.7,,
2019/20,East Lothian,18+ years,Short Stay / Respite,156,6912,1.5,1.3,,
2019/20,East Lothian,18+ years,Long Stay,1086,55014,10.7,10.4,,
2019/20,East Lothian,18-64 years,All Stays,90,6744,1.2,1.7,,
2019/20,East Lothian,18-64 years,Short Stay / Respite,18,1692,0.2,0.4,,
2019/20,East Lothian,18-64 years,Long Stay,72,5052,1,1.2,,
2019/20,East Lothian,65+ years,All Stays,1152,55176,45.3,44.8,,
2019/20,East Lothian,65+ years,Short Stay / Respite,138,5214,5.4,4.2,,
2019/20,East Lothian,65+ years,Long Stay,1020,49962,40.2,40.6,,
2019/20,East Renfrewshire,18+ years,All Stays,1008,61926,11.4,11.7,,
2019/20,East Renfrewshire,18+ years,Short Stay / Respite,18,6912,0.2,1.3,,
2019/20,East Renfrewshire,18+ years,Long Stay,990,55014,11.2,10.4,,
2019/20,East Renfrewshire,18-64 years,All Stays,42,6744,0.6,1.7,,
2019/20,East Renfrewshire,18-64 years,Short Stay / Respite,0,1692,0,0.4,,
2019/20,East Renfrewshire,18-64 years,Long Stay,42,5052,0.6,1.2,,
2019/20,East Renfrewshire,65+ years,All Stays,960,55176,42.3,44.8,,
2019/20,East Renfrewshire,65+ years,Short Stay / Respite,18,5214,0.8,4.2,,
2019/20,East Renfrewshire,65+ years,Long Stay,948,49962,41.8,40.6,,
2019/20,Falkirk,18+ years,All Stays,1962,61926,12.7,11.7,,
2019/20,Falkirk,18+ years,Short Stay / Respite,270,6912,1.7,1.3,,
2019/20,Falkirk,18+ years,Long Stay,1692,55014,10.9,10.4,,
2019/20,Falkirk,18-64 years,All Stays,330,6744,2.8,1.7,,
2019/20,Falkirk,18-64 years,Short Stay / Respite,102,1692,0.9,0.4,,
2019/20,Falkirk,18-64 years,Long Stay,228,5052,1.9,1.2,,
2019/20,Falkirk,65+ years,All Stays,1632,55176,45.3,44.8,,
2019/20,Falkirk,65+ years,Short Stay / Respite,168,5214,4.7,4.2,,
2019/20,Falkirk,65+ years,Long Stay,1464,49962,40.7,40.6,,
2019/20,Fife,18+ years,All Stays,5124,61926,14.2,11.7,,
2019/20,Fife,18+ years,Short Stay / Respite,822,6912,2.3,1.3,,
2019/20,Fife,18+ years,Long Stay,4302,55014,12,10.4,,
2019/20,Fife,18-64 years,All Stays,546,6744,2,1.7,,
2019/20,Fife,18-64 years,Short Stay / Respite,276,1692,1,0.4,,
2019/20,Fife,18-64 years,Long Stay,270,5052,1,1.2,,
2019/20,Fife,65+ years,All Stays,4578,55176,50.5,44.8,,
2019/20,Fife,65+ years,Short Stay / Respite,546,5214,6,4.2,,
2019/20,Fife,65+ years,Long Stay,4032,49962,44.5,40.6,,
2019/20,Glasgow City,18+ years,All Stays,6558,61926,10.6,11.7,,
2019/20,Glasgow City,18+ years,Short Stay / Respite,666,6912,1.1,1.3,,
2019/20,Glasgow City,18+ years,Long Stay,5892,55014,9.5,10.4,,
2019/20,Glasgow City,18-64 years,All Stays,1158,6744,2.2,1.7,,
2019/20,Glasgow City,18-64 years,Short Stay / Respite,258,1692,0.5,0.4,,
2019/20,Glasgow City,18-64 years,Long Stay,906,5052,1.8,1.2,,
2019/20,Glasgow City,65+ years,All Stays,5400,55176,53.4,44.8,,
2019/20,Glasgow City,65+ years,Short Stay / Respite,408,5214,4,4.2,,
2019/20,Glasgow City,65+ years,Long Stay,4992,49962,49.4,40.6,,
2019/20,Highland,18+ years,All Stays,3066,61926,13.4,11.7,,
2019/20,Highland,18+ years,Short Stay / Respite,306,6912,1.3,1.3,,
2019/20,Highland,18+ years,Long Stay,2766,55014,12.1,10.4,,
2019/20,Highland,18-64 years,All Stays,318,6744,1.9,1.7,,
2019/20,Highland,18-64 years,Short Stay / Respite,66,1692,0.4,0.4,,
2019/20,Highland,18-64 years,Long Stay,252,5052,1.5,1.2,,
2019/20,Highland,65+ years,All Stays,2748,55176,44,44.8,,
2019/20,Highland,65+ years,Short Stay / Respite,240,5214,3.8,4.2,,
2019/20,Highland,65+ years,Long Stay,2508,49962,40.2,40.6,,
2019/20,Inverclyde,18+ years,All Stays,1254,61926,16.3,11.7,,
2019/20,Inverclyde,18+ years,Short Stay / Respite,258,6912,3.4,1.3,,
2019/20,Inverclyde,18+ years,Long Stay,996,55014,13,10.4,,
2019/20,Inverclyde,18-64 years,All Stays,156,6744,2.7,1.7,,
2019/20,Inverclyde,18-64 years,Short Stay / Respite,66,1692,1.2,0.4,,
2019/20,Inverclyde,18-64 years,Long Stay,90,5052,1.6,1.2,,
2019/20,Inverclyde,65+ years,All Stays,1098,55176,55.9,44.8,,
2019/20,Inverclyde,65+ years,Short Stay / Respite,192,5214,9.8,4.2,,
2019/20,Inverclyde,65+ years,Long Stay,906,49962,46.1,40.6,,
2019/20,Midlothian,18+ years,All Stays,918,61926,10.6,11.7,,
2019/20,Midlothian,18+ years,Short Stay / Respite,162,6912,1.9,1.3,,
2019/20,Midlothian,18+ years,Long Stay,756,55014,8.8,10.4,,
2019/20,Midlothian,18-64 years,All Stays,66,6744,1,1.7,,
2019/20,Midlothian,18-64 years,Short Stay / Respite,6,1692,0.1,0.4,,
2019/20,Midlothian,18-64 years,Long Stay,60,5052,0.9,1.2,,
2019/20,Midlothian,65+ years,All Stays,852,55176,41.7,44.8,,
2019/20,Midlothian,65+ years,Short Stay / Respite,156,5214,7.6,4.2,,
2019/20,Midlothian,65+ years,Long Stay,696,49962,34.1,40.6,,
2019/20,Moray,18+ years,All Stays,1050,61926,11.3,11.7,,
2019/20,Moray,18+ years,Short Stay / Respite,132,6912,1.4,1.3,,
2019/20,Moray,18+ years,Long Stay,918,55014,9.9,10.4,,
2019/20,Moray,18-64 years,All Stays,126,6744,1.8,1.7,,
2019/20,Moray,18-64 years,Short Stay / Respite,12,1692,0.2,0.4,,
2019/20,Moray,18-64 years,Long Stay,114,5052,1.7,1.2,,
2019/20,Moray,65+ years,All Stays,924,55176,37.7,44.8,,
2019/20,Moray,65+ years,Short Stay / Respite,120,5214,4.9,4.2,,
2019/20,Moray,65+ years,Long Stay,804,49962,32.8,40.6,,
2019/20,North Ayrshire,18+ years,All Stays,1320,61926,10,11.7,,
2019/20,North Ayrshire,18+ years,Short Stay / Respite,24,6912,0.2,1.3,,
2019/20,North Ayrshire,18+ years,Long Stay,1296,55014,9.9,10.4,,
2019/20,North Ayrshire,18-64 years,All Stays,126,6744,1.3,1.7,,
2019/20,North Ayrshire,18-64 years,Short Stay / Respite,0,1692,0,0.4,,
2019/20,North Ayrshire,18-64 years,Long Stay,126,5052,1.3,1.2,,
2019/20,North Ayrshire,65+ years,All Stays,1194,55176,33.1,44.8,,
2019/20,North Ayrshire,65+ years,Short Stay / Respite,24,5214,0.7,4.2,,
2019/20,North Ayrshire,65+ years,Long Stay,1170,49962,32.4,40.6,,
2019/20,North Lanarkshire,18+ years,All Stays,2922,61926,9,11.7,,
2019/20,North Lanarkshire,18+ years,Short Stay / Respite,546,6912,1.7,1.3,,
2019/20,North Lanarkshire,18+ years,Long Stay,2376,55014,7.3,10.4,,
2019/20,North Lanarkshire,18-64 years,All Stays,270,6744,1.1,1.7,,
2019/20,North Lanarkshire,18-64 years,Short Stay / Respite,156,1692,0.6,0.4,,
2019/20,North Lanarkshire,18-64 years,Long Stay,114,5052,0.4,1.2,,
2019/20,North Lanarkshire,65+ years,All Stays,2652,55176,38.1,44.8,,
2019/20,North Lanarkshire,65+ years,Short Stay / Respite,390,5214,5.6,4.2,,
2019/20,North Lanarkshire,65+ years,Long Stay,2262,49962,32.5,40.6,,
2019/20,Perth and Kinross,18+ years,All Stays,2226,61926,15,11.7,,
2019/20,Perth and Kinross,18+ years,Short Stay / Respite,294,6912,2,1.3,,
2019/20,Perth and Kinross,18+ years,Long Stay,1932,55014,13,10.4,,
2019/20,Perth and Kinross,18-64 years,All Stays,204,6744,1.9,1.7,,
2019/20,Perth and Kinross,18-64 years,Short Stay / Respite,30,1692,0.3,0.4,,
2019/20,Perth and Kinross,18-64 years,Long Stay,174,5052,1.6,1.2,,
2019/20,Perth and Kinross,65+ years,All Stays,2028,55176,48,44.8,,
2019/20,Perth and Kinross,65+ years,Short Stay / Respite,264,5214,6.3,4.2,,
2019/20,Perth and Kinross,65+ years,Long Stay,1758,49962,41.6,40.6,,
2019/20,Renfrewshire,18+ years,All Stays,1938,61926,11.2,11.7,,
2019/20,Renfrewshire,18+ years,Short Stay / Respite,72,6912,0.4,1.3,,
2019/20,Renfrewshire,18+ years,Long Stay,1866,55014,10.8,10.4,,
2019/20,Renfrewshire,18-64 years,All Stays,156,6744,1.2,1.7,,
2019/20,Renfrewshire,18-64 years,Short Stay / Respite,6,1692,0,0.4,,
2019/20,Renfrewshire,18-64 years,Long Stay,150,5052,1.1,1.2,,
2019/20,Renfrewshire,65+ years,All Stays,1782,55176,44.6,44.8,,
2019/20,Renfrewshire,65+ years,Short Stay / Respite,66,5214,1.7,4.2,,
2019/20,Renfrewshire,65+ years,Long Stay,1716,49962,43,40.6,,
2019/20,Scottish Borders,18+ years,All Stays,1206,61926,10.7,11.7,,
2019/20,Scottish Borders,18+ years,Short Stay / Respite,30,6912,0.3,1.3,,
2019/20,Scottish Borders,18+ years,Long Stay,1176,55014,10.4,10.4,,
2019/20,Scottish Borders,18-64 years,All Stays,48,6744,0.6,1.7,,
2019/20,Scottish Borders,18-64 years,Short Stay / Respite,0,1692,0,0.4,,
2019/20,Scottish Borders,18-64 years,Long Stay,48,5052,0.6,1.2,,
2019/20,Scottish Borders,65+ years,All Stays,1158,55176,34.3,44.8,,
2019/20,Scottish Borders,65+ years,Short Stay / Respite,30,5214,0.9,4.2,,
2019/20,Scottish Borders,65+ years,Long Stay,1128,49962,33.4,40.6,,
2019/20,Shetland Islands,18+ years,All Stays,348,61926,15.8,11.7,,
2019/20,Shetland Islands,18+ years,Short Stay / Respite,120,6912,5.5,1.3,,
2019/20,Shetland Islands,18+ years,Long Stay,234,55014,10.7,10.4,,
2019/20,Shetland Islands,18-64 years,All Stays,24,6744,1.5,1.7,,
2019/20,Shetland Islands,18-64 years,Short Stay / Respite,12,1692,0.7,0.4,,
2019/20,Shetland Islands,18-64 years,Long Stay,12,5052,0.7,1.2,,
2019/20,Shetland Islands,65+ years,All Stays,330,55176,60.4,44.8,,
2019/20,Shetland Islands,65+ years,Short Stay / Respite,108,5214,19.8,4.2,,
2019/20,Shetland Islands,65+ years,Long Stay,216,49962,39.5,40.6,,
2019/20,South Ayrshire,18+ years,All Stays,1854,61926,16.7,11.7,,
2019/20,South Ayrshire,18+ years,Short Stay / Respite,288,6912,2.6,1.3,,
2019/20,South Ayrshire,18+ years,Long Stay,1566,55014,14.1,10.4,,
2019/20,South Ayrshire,18-64 years,All Stays,162,6744,2.1,1.7,,
2019/20,South Ayrshire,18-64 years,Short Stay / Respite,72,1692,0.9,0.4,,
2019/20,South Ayrshire,18-64 years,Long Stay,90,5052,1.2,1.2,,
2019/20,South Ayrshire,65+ years,All Stays,1692,55176,50,44.8,,
2019/20,South Ayrshire,65+ years,Short Stay / Respite,216,5214,6.4,4.2,,
2019/20,South Ayrshire,65+ years,Long Stay,1476,49962,43.6,40.6,,
2019/20,South Lanarkshire,18+ years,All Stays,3234,61926,10.5,11.7,,
2019/20,South Lanarkshire,18+ years,Short Stay / Respite,66,6912,0.2,1.3,,
2019/20,South Lanarkshire,18+ years,Long Stay,3168,55014,10.3,10.4,,
2019/20,South Lanarkshire,18-64 years,All Stays,312,6744,1.3,1.7,,
2019/20,South Lanarkshire,18-64 years,Short Stay / Respite,6,1692,0,0.4,,
2019/20,South Lanarkshire,18-64 years,Long Stay,306,5052,1.3,1.2,,
2019/20,South Lanarkshire,65+ years,All Stays,2922,55176,39.7,44.8,,
2019/20,South Lanarkshire,65+ years,Short Stay / Respite,60,5214,0.8,4.2,,
2019/20,South Lanarkshire,65+ years,Long Stay,2862,49962,38.9,40.6,,
2019/20,Stirling,18+ years,All Stays,1086,61926,11.8,11.7,,
2019/20,Stirling,18+ years,Short Stay / Respite,162,6912,1.8,1.3,,
2019/20,Stirling,18+ years,Long Stay,924,55014,10,10.4,,
2019/20,Stirling,18-64 years,All Stays,138,6744,2,1.7,,
2019/20,Stirling,18-64 years,Short Stay / Respite,24,1692,0.3,0.4,,
2019/20,Stirling,18-64 years,Long Stay,114,5052,1.6,1.2,,
2019/20,Stirling,65+ years,All Stays,948,55176,43.9,44.8,,
2019/20,Stirling,65+ years,Short Stay / Respite,138,5214,6.4,4.2,,
2019/20,Stirling,65+ years,Long Stay,810,49962,37.5,40.6,,
2019/20,West Dunbartonshire,18+ years,All Stays,1050,61926,12.2,11.7,,
2019/20,West Dunbartonshire,18+ years,Short Stay / Respite,30,6912,0.3,1.3,,
2019/20,West Dunbartonshire,18+ years,Long Stay,1014,55014,11.8,10.4,,
2019/20,West Dunbartonshire,18-64 years,All Stays,78,6744,1.2,1.7,,
2019/20,West Dunbartonshire,18-64 years,Short Stay / Respite,0,1692,0,0.4,,
2019/20,West Dunbartonshire,18-64 years,Long Stay,78,5052,1.2,1.2,,
2019/20,West Dunbartonshire,65+ years,All Stays,966,55176,49,44.8,,
2019/20,West Dunbartonshire,65+ years,Short Stay / Respite,30,5214,1.5,4.2,,
2019/20,West Dunbartonshire,65+ years,Long Stay,936,49962,47.5,40.6,,
2019/20,West Lothian,18+ years,All Stays,1608,61926,9.4,11.7,,
2019/20,West Lothian,18+ years,Short Stay / Respite,216,6912,1.3,1.3,,
2019/20,West Lothian,18+ years,Long Stay,1392,55014,8.1,10.4,,
2019/20,West Lothian,18-64 years,All Stays,282,6744,2.1,1.7,,
2019/20,West Lothian,18-64 years,Short Stay / Respite,114,1692,0.8,0.4,,
2019/20,West Lothian,18-64 years,Long Stay,168,5052,1.2,1.2,,
2019/20,West Lothian,65+ years,All Stays,1326,55176,37.1,44.8,,
2019/20,West Lothian,65+ years,Short Stay / Respite,102,5214,2.9,4.2,,
2019/20,West Lothian,65+ years,Long Stay,1224,49962,34.2,40.6,,
2020/21,Scotland (All Areas Submitted),18+ years,All Stays,74311.2,74311.2,11.7,11.7,,
2020/21,Scotland (All Areas Submitted),18+ years,Short Stay / Respite,8294.4,8294.4,1.3,1.3,,
2020/21,Scotland (All Areas Submitted),18+ years,Long Stay,66016.8,66016.8,10.4,10.4,,
2020/21,Scotland (All Areas Submitted),18-64 years,All Stays,8092.8,8092.8,1.7,1.7,,
2020/21,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,2030.4,2030.4,0.4,0.4,,
2020/21,Scotland (All Areas Submitted),18-64 years,Long Stay,6062.4,6062.4,1.2,1.2,,
2020/21,Scotland (All Areas Submitted),65+ years,All Stays,66211.2,66211.2,44.8,44.8,,
2020/21,Scotland (All Areas Submitted),65+ years,Short Stay / Respite,6256.8,6256.8,4.2,4.2,,
2020/21,Scotland (All Areas Submitted),65+ years,Long Stay,59954.4,59954.4,40.6,40.6,,
2020/21,Aberdeen City,18+ years,All Stays,3614.4,74311.2,13.3,11.7,,
2020/21,Aberdeen City,18+ years,Short Stay / Respite,576,8294.4,2.1,1.3,,
2020/21,Aberdeen City,18+ years,Long Stay,3031.2,66016.8,11.1,10.4,,
2020/21,Aberdeen City,18-64 years,All Stays,619.2,8092.8,2.8,1.7,,
2020/21,Aberdeen City,18-64 years,Short Stay / Respite,180,2030.4,0.8,0.4,,
2020/21,Aberdeen City,18-64 years,Long Stay,439.2,6062.4,2,1.2,,
2020/21,Aberdeen City,65+ years,All Stays,2995.2,66211.2,58.5,44.8,,
2020/21,Aberdeen City,65+ years,Short Stay / Respite,403.2,6256.8,7.9,4.2,,
2020/21,Aberdeen City,65+ years,Long Stay,2592,59954.4,50.7,40.6,,
2020/21,Aberdeenshire,18+ years,All Stays,3888,74311.2,13.1,11.7,,
2020/21,Aberdeenshire,18+ years,Short Stay / Respite,597.6,8294.4,2,1.3,,
2020/21,Aberdeenshire,18+ years,Long Stay,3283.2,66016.8,11,10.4,,
2020/21,Aberdeenshire,18-64 years,All Stays,453.6,8092.8,2,1.7,,
2020/21,Aberdeenshire,18-64 years,Short Stay / Respite,115.2,2030.4,0.5,0.4,,
2020/21,Aberdeenshire,18-64 years,Long Stay,338.4,6062.4,1.5,1.2,,
2020/21,Aberdeenshire,65+ years,All Stays,3434.4,66211.2,47.9,44.8,,
2020/21,Aberdeenshire,65+ years,Short Stay / Respite,482.4,6256.8,6.7,4.2,,
2020/21,Aberdeenshire,65+ years,Long Stay,2944.8,59954.4,41.1,40.6,,
2020/21,Angus,18+ years,All Stays,2332.8,74311.2,17.2,11.7,,
2020/21,Angus,18+ years,Short Stay / Respite,475.2,8294.4,3.5,1.3,,
2020/21,Angus,18+ years,Long Stay,1857.6,66016.8,13.7,10.4,,
2020/21,Angus,18-64 years,All Stays,208.8,8092.8,2.2,1.7,,
2020/21,Angus,18-64 years,Short Stay / Respite,72,2030.4,0.7,0.4,,
2020/21,Angus,18-64 years,Long Stay,144,6062.4,1.5,1.2,,
2020/21,Angus,65+ years,All Stays,2116.8,66211.2,53.9,44.8,,
2020/21,Angus,65+ years,Short Stay / Respite,403.2,6256.8,10.3,4.2,,
2020/21,Angus,65+ years,Long Stay,1713.6,59954.4,43.6,40.6,,
2020/21,Argyll and Bute,18+ years,All Stays,1267.2,74311.2,12.3,11.7,,
2020/21,Argyll and Bute,18+ years,Short Stay / Respite,72,8294.4,0.7,1.3,,
2020/21,Argyll and Bute,18+ years,Long Stay,1195.2,66016.8,11.6,10.4,,
2020/21,Argyll and Bute,18-64 years,All Stays,108,8092.8,1.5,1.7,,
2020/21,Argyll and Bute,18-64 years,Short Stay / Respite,7.2,2030.4,0.1,0.4,,
2020/21,Argyll and Bute,18-64 years,Long Stay,100.8,6062.4,1.4,1.2,,
2020/21,Argyll and Bute,65+ years,All Stays,1159.2,66211.2,36.7,44.8,,
2020/21,Argyll and Bute,65+ years,Short Stay / Respite,64.8,6256.8,2,4.2,,
2020/21,Argyll and Bute,65+ years,Long Stay,1094.4,59954.4,34.6,40.6,,
2020/21,City of Edinburgh,18+ years,All Stays,5594.4,74311.2,9,11.7,,
2020/21,City of Edinburgh,18+ years,Short Stay / Respite,338.4,8294.4,0.5,1.3,,
2020/21,City of Edinburgh,18+ years,Long Stay,5248.8,66016.8,8.4,10.4,,
2020/21,City of Edinburgh,18-64 years,All Stays,432,8092.8,0.8,1.7,,
2020/21,City of Edinburgh,18-64 years,Short Stay / Respite,43.2,2030.4,0.1,0.4,,
2020/21,City of Edinburgh,18-64 years,Long Stay,388.8,6062.4,0.8,1.2,,
2020/21,City of Edinburgh,65+ years,All Stays,5155.2,66211.2,45.9,44.8,,
2020/21,City of Edinburgh,65+ years,Short Stay / Respite,295.2,6256.8,2.6,4.2,,
2020/21,City of Edinburgh,65+ years,Long Stay,4860,59954.4,43.2,40.6,,
2020/21,Clackmannanshire,18+ years,All Stays,604.8,74311.2,10.2,11.7,,
2020/21,Clackmannanshire,18+ years,Short Stay / Respite,72,8294.4,1.2,1.3,,
2020/21,Clackmannanshire,18+ years,Long Stay,532.8,66016.8,9,10.4,,
2020/21,Clackmannanshire,18-64 years,All Stays,108,8092.8,2.4,1.7,,
2020/21,Clackmannanshire,18-64 years,Short Stay / Respite,7.2,2030.4,0.2,0.4,,
2020/21,Clackmannanshire,18-64 years,Long Stay,100.8,6062.4,2.3,1.2,,
2020/21,Clackmannanshire,65+ years,All Stays,496.8,66211.2,33.7,44.8,,
2020/21,Clackmannanshire,65+ years,Short Stay / Respite,64.8,6256.8,4.4,4.2,,
2020/21,Clackmannanshire,65+ years,Long Stay,432,59954.4,29.3,40.6,,
2020/21,Dumfries and Galloway,18+ years,All Stays,2311.2,74311.2,13.1,11.7,,
2020/21,Dumfries and Galloway,18+ years,Short Stay / Respite,223.2,8294.4,1.3,1.3,,
2020/21,Dumfries and Galloway,18+ years,Long Stay,2088,66016.8,11.8,10.4,,
2020/21,Dumfries and Galloway,18-64 years,All Stays,108,8092.8,0.9,1.7,,
2020/21,Dumfries and Galloway,18-64 years,Short Stay / Respite,7.2,2030.4,0.1,0.4,,
2020/21,Dumfries and Galloway,18-64 years,Long Stay,100.8,6062.4,0.8,1.2,,
2020/21,Dumfries and Galloway,65+ years,All Stays,2203.2,66211.2,40.4,44.8,,
2020/21,Dumfries and Galloway,65+ years,Short Stay / Respite,216,6256.8,4,4.2,,
2020/21,Dumfries and Galloway,65+ years,Long Stay,1987.2,59954.4,36.4,40.6,,
2020/21,Dundee City,18+ years,All Stays,2167.2,74311.2,12.3,11.7,,
2020/21,Dundee City,18+ years,Short Stay / Respite,43.2,8294.4,0.2,1.3,,
2020/21,Dundee City,18+ years,Long Stay,2124,66016.8,12.1,10.4,,
2020/21,Dundee City,18-64 years,All Stays,165.6,8092.8,1.2,1.7,,
2020/21,Dundee City,18-64 years,Short Stay / Respite,0,2030.4,0,0.4,,
2020/21,Dundee City,18-64 years,Long Stay,165.6,6062.4,1.2,1.2,,
2020/21,Dundee City,65+ years,All Stays,1994.4,66211.2,53.3,44.8,,
2020/21,Dundee City,65+ years,Short Stay / Respite,43.2,6256.8,1.2,4.2,,
2020/21,Dundee City,65+ years,Long Stay,1951.2,59954.4,52.1,40.6,,
2020/21,East Ayrshire,18+ years,All Stays,1483.2,74311.2,10.5,11.7,,
2020/21,East Ayrshire,18+ years,Short Stay / Respite,57.6,8294.4,0.4,1.3,,
2020/21,East Ayrshire,18+ years,Long Stay,1425.6,66016.8,10.1,10.4,,
2020/21,East Ayrshire,18-64 years,All Stays,129.6,8092.8,1.2,1.7,,
2020/21,East Ayrshire,18-64 years,Short Stay / Respite,7.2,2030.4,0.1,0.4,,
2020/21,East Ayrshire,18-64 years,Long Stay,122.4,6062.4,1.2,1.2,,
2020/21,East Ayrshire,65+ years,All Stays,1353.6,66211.2,38.3,44.8,,
2020/21,East Ayrshire,65+ years,Short Stay / Respite,50.4,6256.8,1.4,4.2,,
2020/21,East Ayrshire,65+ years,Long Stay,1303.2,59954.4,36.9,40.6,,
2020/21,East Dunbartonshire,18+ years,All Stays,1872,74311.2,15,11.7,,
2020/21,East Dunbartonshire,18+ years,Short Stay / Respite,266.4,8294.4,2.1,1.3,,
2020/21,East Dunbartonshire,18+ years,Long Stay,1612.8,66016.8,12.9,10.4,,
2020/21,East Dunbartonshire,18-64 years,All Stays,194.4,8092.8,2.2,1.7,,
2020/21,East Dunbartonshire,18-64 years,Short Stay / Respite,122.4,2030.4,1.4,0.4,,
2020/21,East Dunbartonshire,18-64 years,Long Stay,72,6062.4,0.8,1.2,,
2020/21,East Dunbartonshire,65+ years,All Stays,1677.6,66211.2,48.4,44.8,,
2020/21,East Dunbartonshire,65+ years,Short Stay / Respite,144,6256.8,4.2,4.2,,
2020/21,East Dunbartonshire,65+ years,Long Stay,1540.8,59954.4,44.5,40.6,,
2020/21,East Lothian,18+ years,All Stays,1490.4,74311.2,12.3,11.7,,
2020/21,East Lothian,18+ years,Short Stay / Respite,187.2,8294.4,1.5,1.3,,
2020/21,East Lothian,18+ years,Long Stay,1303.2,66016.8,10.7,10.4,,
2020/21,East Lothian,18-64 years,All Stays,108,8092.8,1.2,1.7,,
2020/21,East Lothian,18-64 years,Short Stay / Respite,21.6,2030.4,0.2,0.4,,
2020/21,East Lothian,18-64 years,Long Stay,86.4,6062.4,1,1.2,,
2020/21,East Lothian,65+ years,All Stays,1382.4,66211.2,45.3,44.8,,
2020/21,East Lothian,65+ years,Short Stay / Respite,165.6,6256.8,5.4,4.2,,
2020/21,East Lothian,65+ years,Long Stay,1224,59954.4,40.2,40.6,,
2020/21,East Renfrewshire,18+ years,All Stays,1209.6,74311.2,11.4,11.7,,
2020/21,East Renfrewshire,18+ years,Short Stay / Respite,21.6,8294.4,0.2,1.3,,
2020/21,East Renfrewshire,18+ years,Long Stay,1188,66016.8,11.2,10.4,,
2020/21,East Renfrewshire,18-64 years,All Stays,50.4,8092.8,0.6,1.7,,
2020/21,East Renfrewshire,18-64 years,Short Stay / Respite,0,2030.4,0,0.4,,
2020/21,East Renfrewshire,18-64 years,Long Stay,50.4,6062.4,0.6,1.2,,
2020/21,East Renfrewshire,65+ years,All Stays,1152,66211.2,42.3,44.8,,
2020/21,East Renfrewshire,65+ years,Short Stay / Respite,21.6,6256.8,0.8,4.2,,
2020/21,East Renfrewshire,65+ years,Long Stay,1137.6,59954.4,41.8,40.6,,
2020/21,Falkirk,18+ years,All Stays,2354.4,74311.2,12.7,11.7,,
2020/21,Falkirk,18+ years,Short Stay / Respite,324,8294.4,1.7,1.3,,
