financial_year,sending_location,age_group,stay_type,median_los,scotland_median_los
2020/21,Midlothian,85+ years,Long Stay,655,575
2020/21,Midlothian,Unknown,Long Stay,0,0
2020/21,Moray,All Ages,Long Stay,380,520
2020/21,Moray,0-17 years,Long Stay,0,580
2020/21,Moray,18-64 years,Long Stay,505,275
2020/21,Moray,65-74 years,Long Stay,280,460
2020/21,Moray,75-84 years,Long Stay,400,460
2020/21,Moray,85+ years,Long Stay,370,575
2020/21,Moray,Unknown,Long Stay,0,0
2020/21,North Ayrshire,All Ages,Long Stay,650,520
2020/21,North Ayrshire,0-17 years,Long Stay,0,580
2020/21,North Ayrshire,18-64 years,Long Stay,1095,275
2020/21,North Ayrshire,65-74 years,Long Stay,710,460
2020/21,North Ayrshire,75-84 years,Long Stay,615,460
2020/21,North Ayrshire,85+ years,Long Stay,680,575
2020/21,North Ayrshire,Unknown,Long Stay,0,0
2020/21,North Lanarkshire,All Ages,Long Stay,595,520
2020/21,North Lanarkshire,0-17 years,Long Stay,0,580
2020/21,North Lanarkshire,18-64 years,Long Stay,800,275
2020/21,North Lanarkshire,65-74 years,Long Stay,495,460
2020/21,North Lanarkshire,75-84 years,Long Stay,475,460
2020/21,North Lanarkshire,85+ years,Long Stay,670,575
2020/21,North Lanarkshire,Unknown,Long Stay,0,0
2020/21,Orkney Islands,All Ages,Long Stay,220,520
2020/21,Orkney Islands,0-17 years,Long Stay,0,580
2020/21,Orkney Islands,18-64 years,Long Stay,0,275
2020/21,Orkney Islands,65-74 years,Long Stay,105,460
2020/21,Orkney Islands,75-84 years,Long Stay,740,460
2020/21,Orkney Islands,85+ years,Long Stay,220,575
2020/21,Orkney Islands,Unknown,Long Stay,0,0
2020/21,Perth and Kinross,All Ages,Long Stay,555,520
2020/21,Perth and Kinross,0-17 years,Long Stay,0,580
2020/21,Perth and Kinross,18-64 years,Long Stay,285,275
2020/21,Perth and Kinross,65-74 years,Long Stay,625,460
2020/21,Perth and Kinross,75-84 years,Long Stay,480,460
2020/21,Perth and Kinross,85+ years,Long Stay,575,575
2020/21,Perth and Kinross,Unknown,Long Stay,0,0
2020/21,Renfrewshire,All Ages,Long Stay,525,520
2020/21,Renfrewshire,0-17 years,Long Stay,0,580
2020/21,Renfrewshire,18-64 years,Long Stay,695,275
2020/21,Renfrewshire,65-74 years,Long Stay,455,460
2020/21,Renfrewshire,75-84 years,Long Stay,445,460
2020/21,Renfrewshire,85+ years,Long Stay,550,575
2020/21,Renfrewshire,Unknown,Long Stay,0,0
2020/21,Scottish Borders,All Ages,Long Stay,500,520
2020/21,Scottish Borders,0-17 years,Long Stay,0,580
2020/21,Scottish Borders,18-64 years,Long Stay,505,275
2020/21,Scottish Borders,65-74 years,Long Stay,665,460
2020/21,Scottish Borders,75-84 years,Long Stay,400,460
2020/21,Scottish Borders,85+ years,Long Stay,535,575
2020/21,Scottish Borders,Unknown,Long Stay,0,0
2020/21,Shetland Islands,All Ages,Long Stay,215,520
2020/21,Shetland Islands,0-17 years,Long Stay,0,580
2020/21,Shetland Islands,18-64 years,Long Stay,365,275
2020/21,Shetland Islands,65-74 years,Long Stay,215,460
2020/21,Shetland Islands,75-84 years,Long Stay,115,460
2020/21,Shetland Islands,85+ years,Long Stay,285,575
2020/21,Shetland Islands,Unknown,Long Stay,0,0
2020/21,South Ayrshire,All Ages,Long Stay,905,520
2020/21,South Ayrshire,0-17 years,Long Stay,0,580
2020/21,South Ayrshire,18-64 years,Long Stay,625,275
2020/21,South Ayrshire,65-74 years,Long Stay,1205,460
2020/21,South Ayrshire,75-84 years,Long Stay,915,460
2020/21,South Ayrshire,85+ years,Long Stay,885,575
2020/21,South Ayrshire,Unknown,Long Stay,0,0
2020/21,South Lanarkshire,All Ages,Long Stay,630,520
2020/21,South Lanarkshire,0-17 years,Long Stay,0,580
2020/21,South Lanarkshire,18-64 years,Long Stay,430,275
2020/21,South Lanarkshire,65-74 years,Long Stay,885,460
2020/21,South Lanarkshire,75-84 years,Long Stay,520,460
2020/21,South Lanarkshire,85+ years,Long Stay,665,575
2020/21,South Lanarkshire,Unknown,Long Stay,0,0
2020/21,Stirling,All Ages,Long Stay,515,520
2020/21,Stirling,0-17 years,Long Stay,3120,580
2020/21,Stirling,18-64 years,Long Stay,240,275
2020/21,Stirling,65-74 years,Long Stay,330,460
2020/21,Stirling,75-84 years,Long Stay,455,460
2020/21,Stirling,85+ years,Long Stay,585,575
2020/21,Stirling,Unknown,Long Stay,0,0
2020/21,West Dunbartonshire,All Ages,Long Stay,640,520
2020/21,West Dunbartonshire,0-17 years,Long Stay,0,580
2020/21,West Dunbartonshire,18-64 years,Long Stay,385,275
2020/21,West Dunbartonshire,65-74 years,Long Stay,525,460
2020/21,West Dunbartonshire,75-84 years,Long Stay,790,460
2020/21,West Dunbartonshire,85+ years,Long Stay,715,575
2020/21,West Dunbartonshire,Unknown,Long Stay,0,0
2020/21,West Lothian,All Ages,Long Stay,565,520
2020/21,West Lothian,0-17 years,Long Stay,0,580
2020/21,West Lothian,18-64 years,Long Stay,455,275
2020/21,West Lothian,65-74 years,Long Stay,425,460
2020/21,West Lothian,75-84 years,Long Stay,500,460
2020/21,West Lothian,85+ years,Long Stay,695,575
2020/21,West Lothian,Unknown,Long Stay,0,0
