time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Census Week,2017/18,Aberdeen City,85+ years,Unknown,5,0,0
Census Week,2017/18,Aberdeen City,Unknown,0 - <2 hours,1,0,NA
Census Week,2017/18,Aberdeen City,Unknown,2 - <4 hours,2,0,NA
Census Week,2017/18,Aberdeen City,Unknown,4 - <10 hours,3,0,NA
Census Week,2017/18,Aberdeen City,Unknown,10+ hours,4,0,NA
Census Week,2017/18,Aberdeen City,Unknown,Unknown,5,0,NA
Census Week,2019/20,Aberdeen City,All Ages,0 - <2 hours,1,0,NA
Census Week,2019/20,Aberdeen City,All Ages,2 - <4 hours,2,0,NA
Census Week,2019/20,Aberdeen City,All Ages,4 - <10 hours,3,0,NA
Census Week,2019/20,Aberdeen City,All Ages,10+ hours,4,0,NA
Census Week,2019/20,Aberdeen City,All Ages,Unknown,5,0,NA
Census Week,2019/20,Aberdeen City,0-17 years,0 - <2 hours,1,0,NA
Census Week,2019/20,Aberdeen City,0-17 years,2 - <4 hours,2,0,NA
Census Week,2019/20,Aberdeen City,0-17 years,4 - <10 hours,3,0,NA
Census Week,2019/20,Aberdeen City,0-17 years,10+ hours,4,0,NA
Census Week,2019/20,Aberdeen City,0-17 years,Unknown,5,0,NA
Census Week,2019/20,Aberdeen City,18-64 years,0 - <2 hours,1,0,NA
Census Week,2019/20,Aberdeen City,18-64 years,2 - <4 hours,2,0,NA
Census Week,2019/20,Aberdeen City,18-64 years,4 - <10 hours,3,0,NA
Census Week,2019/20,Aberdeen City,18-64 years,10+ hours,4,0,NA
Census Week,2019/20,Aberdeen City,18-64 years,Unknown,5,0,NA
Census Week,2019/20,Aberdeen City,65-74 years,0 - <2 hours,1,0,NA
Census Week,2019/20,Aberdeen City,65-74 years,2 - <4 hours,2,0,NA
Census Week,2019/20,Aberdeen City,65-74 years,4 - <10 hours,3,0,NA
Census Week,2019/20,Aberdeen City,65-74 years,10+ hours,4,0,NA
Census Week,2019/20,Aberdeen City,65-74 years,Unknown,5,0,NA
Census Week,2019/20,Aberdeen City,75-84 years,0 - <2 hours,1,0,NA
Census Week,2019/20,Aberdeen City,75-84 years,2 - <4 hours,2,0,NA
Census Week,2019/20,Aberdeen City,75-84 years,4 - <10 hours,3,0,NA
Census Week,2019/20,Aberdeen City,75-84 years,10+ hours,4,0,NA
Census Week,2019/20,Aberdeen City,75-84 years,Unknown,5,0,NA
Census Week,2019/20,Aberdeen City,85+ years,0 - <2 hours,1,0,NA
Census Week,2019/20,Aberdeen City,85+ years,2 - <4 hours,2,0,NA
Census Week,2019/20,Aberdeen City,85+ years,4 - <10 hours,3,0,NA
Census Week,2019/20,Aberdeen City,85+ years,10+ hours,4,0,NA
Census Week,2019/20,Aberdeen City,85+ years,Unknown,5,0,NA
Census Week,2019/20,Aberdeen City,Unknown,0 - <2 hours,1,0,NA
Census Week,2019/20,Aberdeen City,Unknown,2 - <4 hours,2,0,NA
Census Week,2019/20,Aberdeen City,Unknown,4 - <10 hours,3,0,NA
Census Week,2019/20,Aberdeen City,Unknown,10+ hours,4,0,NA
Census Week,2019/20,Aberdeen City,Unknown,Unknown,5,0,NA
Census Week,2020/21,Aberdeen City,All Ages,0 - <2 hours,1,0,NA
Census Week,2020/21,Aberdeen City,All Ages,2 - <4 hours,2,0,NA
Census Week,2020/21,Aberdeen City,All Ages,4 - <10 hours,3,0,NA
Census Week,2020/21,Aberdeen City,All Ages,10+ hours,4,0,NA
Census Week,2020/21,Aberdeen City,All Ages,Unknown,5,0,NA
Census Week,2020/21,Aberdeen City,0-17 years,0 - <2 hours,1,0,NA
Census Week,2020/21,Aberdeen City,0-17 years,2 - <4 hours,2,0,NA
Census Week,2020/21,Aberdeen City,0-17 years,4 - <10 hours,3,0,NA
Census Week,2020/21,Aberdeen City,0-17 years,10+ hours,4,0,NA
Census Week,2020/21,Aberdeen City,0-17 years,Unknown,5,0,NA
Census Week,2020/21,Aberdeen City,18-64 years,0 - <2 hours,1,0,NA
Census Week,2020/21,Aberdeen City,18-64 years,2 - <4 hours,2,0,NA
Census Week,2020/21,Aberdeen City,18-64 years,4 - <10 hours,3,0,NA
Census Week,2020/21,Aberdeen City,18-64 years,10+ hours,4,0,NA
Census Week,2020/21,Aberdeen City,18-64 years,Unknown,5,0,NA
Census Week,2020/21,Aberdeen City,65-74 years,0 - <2 hours,1,0,NA
Census Week,2020/21,Aberdeen City,65-74 years,2 - <4 hours,2,0,NA
Census Week,2020/21,Aberdeen City,65-74 years,4 - <10 hours,3,0,NA
Census Week,2020/21,Aberdeen City,65-74 years,10+ hours,4,0,NA
Census Week,2020/21,Aberdeen City,65-74 years,Unknown,5,0,NA
Census Week,2020/21,Aberdeen City,75-84 years,0 - <2 hours,1,0,NA
Census Week,2020/21,Aberdeen City,75-84 years,2 - <4 hours,2,0,NA
Census Week,2020/21,Aberdeen City,75-84 years,4 - <10 hours,3,0,NA
Census Week,2020/21,Aberdeen City,75-84 years,10+ hours,4,0,NA
Census Week,2020/21,Aberdeen City,75-84 years,Unknown,5,0,NA
Census Week,2020/21,Aberdeen City,85+ years,0 - <2 hours,1,0,NA
Census Week,2020/21,Aberdeen City,85+ years,2 - <4 hours,2,0,NA
Census Week,2020/21,Aberdeen City,85+ years,4 - <10 hours,3,0,NA
Census Week,2020/21,Aberdeen City,85+ years,10+ hours,4,0,NA
Census Week,2020/21,Aberdeen City,85+ years,Unknown,5,0,NA
Census Week,2020/21,Aberdeen City,Unknown,0 - <2 hours,1,0,NA
Census Week,2020/21,Aberdeen City,Unknown,2 - <4 hours,2,0,NA
Census Week,2020/21,Aberdeen City,Unknown,4 - <10 hours,3,0,NA
Census Week,2020/21,Aberdeen City,Unknown,10+ hours,4,0,NA
Census Week,2020/21,Aberdeen City,Unknown,Unknown,5,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,0 - <2 hours,1,310,12.2
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,2 - <4 hours,2,505,19.9
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,4 - <10 hours,3,880,34.6
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,10+ hours,4,845,33.3
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2017/18 Q4,Aberdeenshire,18-64 years,0 - <2 hours,1,30,10.2
Financial Quarter,2017/18 Q4,Aberdeenshire,18-64 years,2 - <4 hours,2,65,22
Financial Quarter,2017/18 Q4,Aberdeenshire,18-64 years,4 - <10 hours,3,95,32.2
Financial Quarter,2017/18 Q4,Aberdeenshire,18-64 years,10+ hours,4,105,35.6
Financial Quarter,2017/18 Q4,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,65-74 years,0 - <2 hours,1,35,9.6
Financial Quarter,2017/18 Q4,Aberdeenshire,65-74 years,2 - <4 hours,2,75,20.5
Financial Quarter,2017/18 Q4,Aberdeenshire,65-74 years,4 - <10 hours,3,140,38.4
Financial Quarter,2017/18 Q4,Aberdeenshire,65-74 years,10+ hours,4,115,31.5
Financial Quarter,2017/18 Q4,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,75-84 years,0 - <2 hours,1,115,12.9
Financial Quarter,2017/18 Q4,Aberdeenshire,75-84 years,2 - <4 hours,2,185,20.8
Financial Quarter,2017/18 Q4,Aberdeenshire,75-84 years,4 - <10 hours,3,320,36
Financial Quarter,2017/18 Q4,Aberdeenshire,75-84 years,10+ hours,4,270,30.3
Financial Quarter,2017/18 Q4,Aberdeenshire,75-84 years,Unknown,5,0,0
