time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2019/20 Q1,Stirling,All Ages,Number of Hours,250665
Financial Quarter,2019/20 Q1,West Dunbartonshire,All Ages,"Rate per 1,000 Population",19
Financial Quarter,2019/20 Q1,West Dunbartonshire,All Ages,Number of People,1690
Financial Quarter,2019/20 Q1,West Dunbartonshire,All Ages,Number of Hours,119335
Financial Quarter,2019/20 Q1,West Lothian,All Ages,"Rate per 1,000 Population",11.7
Financial Quarter,2019/20 Q1,West Lothian,All Ages,Number of People,2150
Financial Quarter,2019/20 Q1,West Lothian,All Ages,Number of Hours,313595
Financial Quarter,2019/20 Q2,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.4
Financial Quarter,2019/20 Q2,Scotland (Estimated),All Ages,Number of People,67570
Financial Quarter,2019/20 Q2,Scotland (Estimated),All Ages,Number of Hours,9560000
Financial Quarter,2019/20 Q2,Aberdeen City,All Ages,"Rate per 1,000 Population",9.2
Financial Quarter,2019/20 Q2,Aberdeen City,All Ages,Number of People,2115
Financial Quarter,2019/20 Q2,Aberdeen City,All Ages,Number of Hours,353495
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.7
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,Number of People,2530
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,Number of Hours,242195
Financial Quarter,2019/20 Q2,Angus,All Ages,"Rate per 1,000 Population",12.5
Financial Quarter,2019/20 Q2,Angus,All Ages,Number of People,1455
Financial Quarter,2019/20 Q2,Angus,All Ages,Number of Hours,13540
Financial Quarter,2019/20 Q2,Argyll and Bute,All Ages,"Rate per 1,000 Population",19
Financial Quarter,2019/20 Q2,Argyll and Bute,All Ages,Number of People,1635
Financial Quarter,2019/20 Q2,Argyll and Bute,All Ages,Number of Hours,287460
Financial Quarter,2019/20 Q2,City of Edinburgh,All Ages,"Rate per 1,000 Population",10.4
Financial Quarter,2019/20 Q2,City of Edinburgh,All Ages,Number of People,5480
Financial Quarter,2019/20 Q2,City of Edinburgh,All Ages,Number of Hours,1313545
Financial Quarter,2019/20 Q2,Clackmannanshire,All Ages,"Rate per 1,000 Population",17.1
Financial Quarter,2019/20 Q2,Clackmannanshire,All Ages,Number of People,880
Financial Quarter,2019/20 Q2,Clackmannanshire,All Ages,Number of Hours,140640
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",15.5
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,Number of People,415
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,Number of Hours,24825
Financial Quarter,2019/20 Q2,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.9
Financial Quarter,2019/20 Q2,Dumfries and Galloway,All Ages,Number of People,2360
Financial Quarter,2019/20 Q2,Dumfries and Galloway,All Ages,Number of Hours,480905
Financial Quarter,2019/20 Q2,Dundee City,All Ages,"Rate per 1,000 Population",12.3
Financial Quarter,2019/20 Q2,Dundee City,All Ages,Number of People,1830
Financial Quarter,2019/20 Q2,Dundee City,All Ages,Number of Hours,251540
Financial Quarter,2019/20 Q2,East Ayrshire,All Ages,"Rate per 1,000 Population",16.2
Financial Quarter,2019/20 Q2,East Ayrshire,All Ages,Number of People,1980
Financial Quarter,2019/20 Q2,East Ayrshire,All Ages,Number of Hours,184095
Financial Quarter,2019/20 Q2,East Dunbartonshire,All Ages,"Rate per 1,000 Population",14
Financial Quarter,2019/20 Q2,East Dunbartonshire,All Ages,Number of People,1520
Financial Quarter,2019/20 Q2,East Dunbartonshire,All Ages,Number of Hours,162090
Financial Quarter,2019/20 Q2,East Lothian,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2019/20 Q2,East Lothian,All Ages,Number of People,1490
Financial Quarter,2019/20 Q2,East Lothian,All Ages,Number of Hours,270390
Financial Quarter,2019/20 Q2,East Renfrewshire,All Ages,"Rate per 1,000 Population",12.6
Financial Quarter,2019/20 Q2,East Renfrewshire,All Ages,Number of People,1200
Financial Quarter,2019/20 Q2,East Renfrewshire,All Ages,Number of Hours,120575
Financial Quarter,2019/20 Q2,Falkirk,All Ages,"Rate per 1,000 Population",13.2
Financial Quarter,2019/20 Q2,Falkirk,All Ages,Number of People,2125
Financial Quarter,2019/20 Q2,Falkirk,All Ages,Number of Hours,172165
Financial Quarter,2019/20 Q2,Fife,All Ages,"Rate per 1,000 Population",9.8
Financial Quarter,2019/20 Q2,Fife,All Ages,Number of People,3675
Financial Quarter,2019/20 Q2,Fife,All Ages,Number of Hours,841390
Financial Quarter,2019/20 Q2,Glasgow City,All Ages,"Rate per 1,000 Population",10.4
Financial Quarter,2019/20 Q2,Glasgow City,All Ages,Number of People,6610
Financial Quarter,2019/20 Q2,Glasgow City,All Ages,Number of Hours,645545
Financial Quarter,2019/20 Q2,Highland,All Ages,"Rate per 1,000 Population",8.9
Financial Quarter,2019/20 Q2,Highland,All Ages,Number of People,2100
Financial Quarter,2019/20 Q2,Highland,All Ages,Number of Hours,193695
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,"Rate per 1,000 Population",18.1
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,Number of People,1410
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,Number of Hours,112235
Financial Quarter,2019/20 Q2,Midlothian,All Ages,"Rate per 1,000 Population",11.5
Financial Quarter,2019/20 Q2,Midlothian,All Ages,Number of People,1065
Financial Quarter,2019/20 Q2,Midlothian,All Ages,Number of Hours,178375
Financial Quarter,2019/20 Q2,Moray,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2019/20 Q2,Moray,All Ages,Number of People,1150
Financial Quarter,2019/20 Q2,Moray,All Ages,Number of Hours,134415
Financial Quarter,2019/20 Q2,North Ayrshire,All Ages,"Rate per 1,000 Population",20
Financial Quarter,2019/20 Q2,North Ayrshire,All Ages,Number of People,2690
Financial Quarter,2019/20 Q2,North Ayrshire,All Ages,Number of Hours,420615
Financial Quarter,2019/20 Q2,North Lanarkshire,All Ages,"Rate per 1,000 Population",12.2
Financial Quarter,2019/20 Q2,North Lanarkshire,All Ages,Number of People,4180
Financial Quarter,2019/20 Q2,North Lanarkshire,All Ages,Number of Hours,414630
Financial Quarter,2019/20 Q2,Orkney Islands,All Ages,"Rate per 1,000 Population",9.2
Financial Quarter,2019/20 Q2,Orkney Islands,All Ages,Number of People,205
Financial Quarter,2019/20 Q2,Orkney Islands,All Ages,Number of Hours,20085
Financial Quarter,2019/20 Q2,Perth and Kinross,All Ages,"Rate per 1,000 Population",13.2
Financial Quarter,2019/20 Q2,Perth and Kinross,All Ages,Number of People,2005
Financial Quarter,2019/20 Q2,Perth and Kinross,All Ages,Number of Hours,269370
Financial Quarter,2019/20 Q2,Renfrewshire,All Ages,"Rate per 1,000 Population",13.3
Financial Quarter,2019/20 Q2,Renfrewshire,All Ages,Number of People,2380
Financial Quarter,2019/20 Q2,Renfrewshire,All Ages,Number of Hours,438400
Financial Quarter,2019/20 Q2,Scottish Borders,All Ages,"Rate per 1,000 Population",13.3
Financial Quarter,2019/20 Q2,Scottish Borders,All Ages,Number of People,1535
Financial Quarter,2019/20 Q2,Scottish Borders,All Ages,Number of Hours,142920
Financial Quarter,2019/20 Q2,Shetland,All Ages,"Rate per 1,000 Population",18.3
Financial Quarter,2019/20 Q2,Shetland,All Ages,Number of People,420
Financial Quarter,2019/20 Q2,Shetland,All Ages,Number of Hours,40520
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,"Rate per 1,000 Population",15.5
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,Number of People,1750
Financial Quarter,2019/20 Q2,South Ayrshire,All Ages,Number of Hours,405140
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.2
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Number of People,4245
Financial Quarter,2019/20 Q2,South Lanarkshire,All Ages,Number of Hours,577840
Financial Quarter,2019/20 Q2,Stirling,All Ages,"Rate per 1,000 Population",14.8
Financial Quarter,2019/20 Q2,Stirling,All Ages,Number of People,1390
Financial Quarter,2019/20 Q2,Stirling,All Ages,Number of Hours,251355
Financial Quarter,2019/20 Q2,West Dunbartonshire,All Ages,"Rate per 1,000 Population",19.1
Financial Quarter,2019/20 Q2,West Dunbartonshire,All Ages,Number of People,1695
Financial Quarter,2019/20 Q2,West Dunbartonshire,All Ages,Number of Hours,125345
Financial Quarter,2019/20 Q2,West Lothian,All Ages,"Rate per 1,000 Population",11.2
Financial Quarter,2019/20 Q2,West Lothian,All Ages,Number of People,2050
Financial Quarter,2019/20 Q2,West Lothian,All Ages,Number of Hours,330665
Financial Quarter,2019/20 Q3,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.3
Financial Quarter,2019/20 Q3,Scotland (Estimated),All Ages,Number of People,67120
Financial Quarter,2019/20 Q3,Scotland (Estimated),All Ages,Number of Hours,9411145
Financial Quarter,2019/20 Q3,Aberdeen City,All Ages,"Rate per 1,000 Population",9.2
Financial Quarter,2019/20 Q3,Aberdeen City,All Ages,Number of People,2115
Financial Quarter,2019/20 Q3,Aberdeen City,All Ages,Number of Hours,362285
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.5
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,Number of People,2480
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,Number of Hours,242195
Financial Quarter,2019/20 Q3,Angus,All Ages,"Rate per 1,000 Population",12.7
Financial Quarter,2019/20 Q3,Angus,All Ages,Number of People,1475
Financial Quarter,2019/20 Q3,Angus,All Ages,Number of Hours,13920
Financial Quarter,2019/20 Q3,Argyll and Bute,All Ages,"Rate per 1,000 Population",18.9
Financial Quarter,2019/20 Q3,Argyll and Bute,All Ages,Number of People,1620
Financial Quarter,2019/20 Q3,Argyll and Bute,All Ages,Number of Hours,284080
Financial Quarter,2019/20 Q3,City of Edinburgh,All Ages,"Rate per 1,000 Population",9.7
Financial Quarter,2019/20 Q3,City of Edinburgh,All Ages,Number of People,5090
Financial Quarter,2019/20 Q3,City of Edinburgh,All Ages,Number of Hours,1294905
Financial Quarter,2019/20 Q3,Clackmannanshire,All Ages,"Rate per 1,000 Population",16.9
Financial Quarter,2019/20 Q3,Clackmannanshire,All Ages,Number of People,870
Financial Quarter,2019/20 Q3,Clackmannanshire,All Ages,Number of Hours,140700
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.8
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,Number of People,395
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,Number of Hours,23765
Financial Quarter,2019/20 Q3,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.2
Financial Quarter,2019/20 Q3,Dumfries and Galloway,All Ages,Number of People,2410
Financial Quarter,2019/20 Q3,Dumfries and Galloway,All Ages,Number of Hours,459025
Financial Quarter,2019/20 Q3,Dundee City,All Ages,"Rate per 1,000 Population",12.3
Financial Quarter,2019/20 Q3,Dundee City,All Ages,Number of People,1840
Financial Quarter,2019/20 Q3,Dundee City,All Ages,Number of Hours,247295
Financial Quarter,2019/20 Q3,East Ayrshire,All Ages,"Rate per 1,000 Population",16.1
Financial Quarter,2019/20 Q3,East Ayrshire,All Ages,Number of People,1960
Financial Quarter,2019/20 Q3,East Ayrshire,All Ages,Number of Hours,180205
Financial Quarter,2019/20 Q3,East Dunbartonshire,All Ages,"Rate per 1,000 Population",13.6
Financial Quarter,2019/20 Q3,East Dunbartonshire,All Ages,Number of People,1480
Financial Quarter,2019/20 Q3,East Dunbartonshire,All Ages,Number of Hours,153580
Financial Quarter,2019/20 Q3,East Lothian,All Ages,"Rate per 1,000 Population",14
Financial Quarter,2019/20 Q3,East Lothian,All Ages,Number of People,1495
Financial Quarter,2019/20 Q3,East Lothian,All Ages,Number of Hours,258205
Financial Quarter,2019/20 Q3,East Renfrewshire,All Ages,"Rate per 1,000 Population",12.4
Financial Quarter,2019/20 Q3,East Renfrewshire,All Ages,Number of People,1185
Financial Quarter,2019/20 Q3,East Renfrewshire,All Ages,Number of Hours,116820
Financial Quarter,2019/20 Q3,Falkirk,All Ages,"Rate per 1,000 Population",13.2
Financial Quarter,2019/20 Q3,Falkirk,All Ages,Number of People,2130
Financial Quarter,2019/20 Q3,Falkirk,All Ages,Number of Hours,171045
Financial Quarter,2019/20 Q3,Fife,All Ages,"Rate per 1,000 Population",9.8
Financial Quarter,2019/20 Q3,Fife,All Ages,Number of People,3645
Financial Quarter,2019/20 Q3,Fife,All Ages,Number of Hours,838670
Financial Quarter,2019/20 Q3,Glasgow City,All Ages,"Rate per 1,000 Population",10.7
Financial Quarter,2019/20 Q3,Glasgow City,All Ages,Number of People,6750
Financial Quarter,2019/20 Q3,Glasgow City,All Ages,Number of Hours,653705
Financial Quarter,2019/20 Q3,Highland,All Ages,"Rate per 1,000 Population",8.8
Financial Quarter,2019/20 Q3,Highland,All Ages,Number of People,2080
Financial Quarter,2019/20 Q3,Highland,All Ages,Number of Hours,189600
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,"Rate per 1,000 Population",18.1
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,Number of People,1410
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,Number of Hours,114585
Financial Quarter,2019/20 Q3,Midlothian,All Ages,"Rate per 1,000 Population",11.4
Financial Quarter,2019/20 Q3,Midlothian,All Ages,Number of People,1050
Financial Quarter,2019/20 Q3,Midlothian,All Ages,Number of Hours,178785
Financial Quarter,2019/20 Q3,Moray,All Ages,"Rate per 1,000 Population",11.7
Financial Quarter,2019/20 Q3,Moray,All Ages,Number of People,1125
Financial Quarter,2019/20 Q3,Moray,All Ages,Number of Hours,130425
Financial Quarter,2019/20 Q3,North Ayrshire,All Ages,"Rate per 1,000 Population",19.8
Financial Quarter,2019/20 Q3,North Ayrshire,All Ages,Number of People,2670
Financial Quarter,2019/20 Q3,North Ayrshire,All Ages,Number of Hours,410470
Financial Quarter,2019/20 Q3,North Lanarkshire,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2019/20 Q3,North Lanarkshire,All Ages,Number of People,4100
Financial Quarter,2019/20 Q3,North Lanarkshire,All Ages,Number of Hours,363660
Financial Quarter,2019/20 Q3,Orkney Islands,All Ages,"Rate per 1,000 Population",9.4
Financial Quarter,2019/20 Q3,Orkney Islands,All Ages,Number of People,210
Financial Quarter,2019/20 Q3,Orkney Islands,All Ages,Number of Hours,21065
Financial Quarter,2019/20 Q3,Perth and Kinross,All Ages,"Rate per 1,000 Population",13
Financial Quarter,2019/20 Q3,Perth and Kinross,All Ages,Number of People,1975
Financial Quarter,2019/20 Q3,Perth and Kinross,All Ages,Number of Hours,274600
Financial Quarter,2019/20 Q3,Renfrewshire,All Ages,"Rate per 1,000 Population",13.5
Financial Quarter,2019/20 Q3,Renfrewshire,All Ages,Number of People,2415
Financial Quarter,2019/20 Q3,Renfrewshire,All Ages,Number of Hours,423745
Financial Quarter,2019/20 Q3,Scottish Borders,All Ages,"Rate per 1,000 Population",13.7
Financial Quarter,2019/20 Q3,Scottish Borders,All Ages,Number of People,1585
Financial Quarter,2019/20 Q3,Scottish Borders,All Ages,Number of Hours,145585
Financial Quarter,2019/20 Q3,Shetland,All Ages,"Rate per 1,000 Population",18.1
Financial Quarter,2019/20 Q3,Shetland,All Ages,Number of People,415
Financial Quarter,2019/20 Q3,Shetland,All Ages,Number of Hours,42925
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,"Rate per 1,000 Population",15.5
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,Number of People,1740
Financial Quarter,2019/20 Q3,South Ayrshire,All Ages,Number of Hours,408060
Financial Quarter,2019/20 Q3,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.4
Financial Quarter,2019/20 Q3,South Lanarkshire,All Ages,Number of People,4300
Financial Quarter,2019/20 Q3,South Lanarkshire,All Ages,Number of Hours,573260
Financial Quarter,2019/20 Q3,Stirling,All Ages,"Rate per 1,000 Population",14.5
Financial Quarter,2019/20 Q3,Stirling,All Ages,Number of People,1370
Financial Quarter,2019/20 Q3,Stirling,All Ages,Number of Hours,252595
Financial Quarter,2019/20 Q3,West Dunbartonshire,All Ages,"Rate per 1,000 Population",19.6
Financial Quarter,2019/20 Q3,West Dunbartonshire,All Ages,Number of People,1745
Financial Quarter,2019/20 Q3,West Dunbartonshire,All Ages,Number of Hours,125755
Financial Quarter,2019/20 Q3,West Lothian,All Ages,"Rate per 1,000 Population",10.9
Financial Quarter,2019/20 Q3,West Lothian,All Ages,Number of People,1990
Financial Quarter,2019/20 Q3,West Lothian,All Ages,Number of Hours,315640
Financial Quarter,2019/20 Q4,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.3
Financial Quarter,2019/20 Q4,Scotland (Estimated),All Ages,Number of People,67255
Financial Quarter,2019/20 Q4,Scotland (Estimated),All Ages,Number of Hours,9439330
Financial Quarter,2019/20 Q4,Aberdeen City,All Ages,"Rate per 1,000 Population",9.3
Financial Quarter,2019/20 Q4,Aberdeen City,All Ages,Number of People,2120
Financial Quarter,2019/20 Q4,Aberdeen City,All Ages,Number of Hours,356295
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.6
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,Number of People,2510
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,Number of Hours,236835
Financial Quarter,2019/20 Q4,Angus,All Ages,"Rate per 1,000 Population",13.1
Financial Quarter,2019/20 Q4,Angus,All Ages,Number of People,1525
Financial Quarter,2019/20 Q4,Angus,All Ages,Number of Hours,138000
Financial Quarter,2019/20 Q4,Argyll and Bute,All Ages,"Rate per 1,000 Population",19.3
Financial Quarter,2019/20 Q4,Argyll and Bute,All Ages,Number of People,1660
Financial Quarter,2019/20 Q4,Argyll and Bute,All Ages,Number of Hours,279225
Financial Quarter,2019/20 Q4,City of Edinburgh,All Ages,"Rate per 1,000 Population",9.4
Financial Quarter,2019/20 Q4,City of Edinburgh,All Ages,Number of People,4960
Financial Quarter,2019/20 Q4,City of Edinburgh,All Ages,Number of Hours,1252320
Financial Quarter,2019/20 Q4,Clackmannanshire,All Ages,"Rate per 1,000 Population",17.2
Financial Quarter,2019/20 Q4,Clackmannanshire,All Ages,Number of People,885
Financial Quarter,2019/20 Q4,Clackmannanshire,All Ages,Number of Hours,137990
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.2
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,Number of People,380
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,Number of Hours,24480
Financial Quarter,2019/20 Q4,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.3
Financial Quarter,2019/20 Q4,Dumfries and Galloway,All Ages,Number of People,2420
Financial Quarter,2019/20 Q4,Dumfries and Galloway,All Ages,Number of Hours,452790
Financial Quarter,2019/20 Q4,Dundee City,All Ages,"Rate per 1,000 Population",13
Financial Quarter,2019/20 Q4,Dundee City,All Ages,Number of People,1940
Financial Quarter,2019/20 Q4,Dundee City,All Ages,Number of Hours,281925
Financial Quarter,2019/20 Q4,East Ayrshire,All Ages,"Rate per 1,000 Population",16.6
Financial Quarter,2019/20 Q4,East Ayrshire,All Ages,Number of People,2020
Financial Quarter,2019/20 Q4,East Ayrshire,All Ages,Number of Hours,181680
Financial Quarter,2019/20 Q4,East Dunbartonshire,All Ages,"Rate per 1,000 Population",13
Financial Quarter,2019/20 Q4,East Dunbartonshire,All Ages,Number of People,1410
Financial Quarter,2019/20 Q4,East Dunbartonshire,All Ages,Number of Hours,145945
Financial Quarter,2019/20 Q4,East Lothian,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2019/20 Q4,East Lothian,All Ages,Number of People,1490
Financial Quarter,2019/20 Q4,East Lothian,All Ages,Number of Hours,247270
Financial Quarter,2019/20 Q4,East Renfrewshire,All Ages,"Rate per 1,000 Population",12.7
Financial Quarter,2019/20 Q4,East Renfrewshire,All Ages,Number of People,1210
Financial Quarter,2019/20 Q4,East Renfrewshire,All Ages,Number of Hours,115955
Financial Quarter,2019/20 Q4,Falkirk,All Ages,"Rate per 1,000 Population",13.5
Financial Quarter,2019/20 Q4,Falkirk,All Ages,Number of People,2180
Financial Quarter,2019/20 Q4,Falkirk,All Ages,Number of Hours,164860
Financial Quarter,2019/20 Q4,Fife,All Ages,"Rate per 1,000 Population",9.7
Financial Quarter,2019/20 Q4,Fife,All Ages,Number of People,3610
Financial Quarter,2019/20 Q4,Fife,All Ages,Number of Hours,816280
Financial Quarter,2019/20 Q4,Glasgow City,All Ages,"Rate per 1,000 Population",10.8
Financial Quarter,2019/20 Q4,Glasgow City,All Ages,Number of People,6820
Financial Quarter,2019/20 Q4,Glasgow City,All Ages,Number of Hours,649190
Financial Quarter,2019/20 Q4,Highland,All Ages,"Rate per 1,000 Population",9
Financial Quarter,2019/20 Q4,Highland,All Ages,Number of People,2115
Financial Quarter,2019/20 Q4,Highland,All Ages,Number of Hours,185960
Financial Quarter,2019/20 Q4,Inverclyde,All Ages,"Rate per 1,000 Population",18.3
Financial Quarter,2019/20 Q4,Inverclyde,All Ages,Number of People,1420
Financial Quarter,2019/20 Q4,Inverclyde,All Ages,Number of Hours,114455
Financial Quarter,2019/20 Q4,Midlothian,All Ages,"Rate per 1,000 Population",10.9
Financial Quarter,2019/20 Q4,Midlothian,All Ages,Number of People,1005
Financial Quarter,2019/20 Q4,Midlothian,All Ages,Number of Hours,187265
Financial Quarter,2019/20 Q4,Moray,All Ages,"Rate per 1,000 Population",11.6
Financial Quarter,2019/20 Q4,Moray,All Ages,Number of People,1110
Financial Quarter,2019/20 Q4,Moray,All Ages,Number of Hours,131870
Financial Quarter,2019/20 Q4,North Ayrshire,All Ages,"Rate per 1,000 Population",19.8
Financial Quarter,2019/20 Q4,North Ayrshire,All Ages,Number of People,2665
Financial Quarter,2019/20 Q4,North Ayrshire,All Ages,Number of Hours,394885
Financial Quarter,2019/20 Q4,North Lanarkshire,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2019/20 Q4,North Lanarkshire,All Ages,Number of People,4105
Financial Quarter,2019/20 Q4,North Lanarkshire,All Ages,Number of Hours,376130
Financial Quarter,2019/20 Q4,Orkney Islands,All Ages,"Rate per 1,000 Population",9.7
Financial Quarter,2019/20 Q4,Orkney Islands,All Ages,Number of People,215
Financial Quarter,2019/20 Q4,Orkney Islands,All Ages,Number of Hours,21325
Financial Quarter,2019/20 Q4,Perth and Kinross,All Ages,"Rate per 1,000 Population",12.7
Financial Quarter,2019/20 Q4,Perth and Kinross,All Ages,Number of People,1935
Financial Quarter,2019/20 Q4,Perth and Kinross,All Ages,Number of Hours,269580
Financial Quarter,2019/20 Q4,Renfrewshire,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2019/20 Q4,Renfrewshire,All Ages,Number of People,2485
Financial Quarter,2019/20 Q4,Renfrewshire,All Ages,Number of Hours,432800
Financial Quarter,2019/20 Q4,Scottish Borders,All Ages,"Rate per 1,000 Population",13.7
Financial Quarter,2019/20 Q4,Scottish Borders,All Ages,Number of People,1585
Financial Quarter,2019/20 Q4,Scottish Borders,All Ages,Number of Hours,141210
Financial Quarter,2019/20 Q4,Shetland,All Ages,"Rate per 1,000 Population",17.9
Financial Quarter,2019/20 Q4,Shetland,All Ages,Number of People,410
Financial Quarter,2019/20 Q4,Shetland,All Ages,Number of Hours,40420
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,"Rate per 1,000 Population",16
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,Number of People,1805
Financial Quarter,2019/20 Q4,South Ayrshire,All Ages,Number of Hours,398200
Financial Quarter,2019/20 Q4,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.1
Financial Quarter,2019/20 Q4,South Lanarkshire,All Ages,Number of People,4200
Financial Quarter,2019/20 Q4,South Lanarkshire,All Ages,Number of Hours,568100
Financial Quarter,2019/20 Q4,Stirling,All Ages,"Rate per 1,000 Population",14.6
Financial Quarter,2019/20 Q4,Stirling,All Ages,Number of People,1375
Financial Quarter,2019/20 Q4,Stirling,All Ages,Number of Hours,250230
Financial Quarter,2019/20 Q4,West Dunbartonshire,All Ages,"Rate per 1,000 Population",19.7
Financial Quarter,2019/20 Q4,West Dunbartonshire,All Ages,Number of People,1755
Financial Quarter,2019/20 Q4,West Dunbartonshire,All Ages,Number of Hours,123275
Financial Quarter,2019/20 Q4,West Lothian,All Ages,"Rate per 1,000 Population",10.6
Financial Quarter,2019/20 Q4,West Lothian,All Ages,Number of People,1935
Financial Quarter,2019/20 Q4,West Lothian,All Ages,Number of Hours,301265
Financial Quarter,2020/21 Q1,Scotland (Estimated),All Ages,"Rate per 1,000 Population",11.9
Financial Quarter,2020/21 Q1,Scotland (Estimated),All Ages,Number of People,64785
Financial Quarter,2020/21 Q1,Scotland (Estimated),All Ages,Number of Hours,9391595
Financial Quarter,2020/21 Q1,Aberdeen City,All Ages,"Rate per 1,000 Population",8.8
Financial Quarter,2020/21 Q1,Aberdeen City,All Ages,Number of People,2020
Financial Quarter,2020/21 Q1,Aberdeen City,All Ages,Number of Hours,353670
Financial Quarter,2020/21 Q1,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.1
Financial Quarter,2020/21 Q1,Aberdeenshire,All Ages,Number of People,2385
Financial Quarter,2020/21 Q1,Aberdeenshire,All Ages,Number of Hours,227155
Financial Quarter,2020/21 Q1,Angus,All Ages,"Rate per 1,000 Population",12.7
Financial Quarter,2020/21 Q1,Angus,All Ages,Number of People,1470
Financial Quarter,2020/21 Q1,Angus,All Ages,Number of Hours,139185
Financial Quarter,2020/21 Q1,Argyll and Bute,All Ages,"Rate per 1,000 Population",19.1
Financial Quarter,2020/21 Q1,Argyll and Bute,All Ages,Number of People,1635
Financial Quarter,2020/21 Q1,Argyll and Bute,All Ages,Number of Hours,299500
Financial Quarter,2020/21 Q1,City of Edinburgh,All Ages,"Rate per 1,000 Population",9.8
Financial Quarter,2020/21 Q1,City of Edinburgh,All Ages,Number of People,5195
Financial Quarter,2020/21 Q1,City of Edinburgh,All Ages,Number of Hours,1370690
Financial Quarter,2020/21 Q1,Clackmannanshire,All Ages,"Rate per 1,000 Population",16.7
Financial Quarter,2020/21 Q1,Clackmannanshire,All Ages,Number of People,855
Financial Quarter,2020/21 Q1,Clackmannanshire,All Ages,Number of Hours,141370
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",11.5
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,Number of People,305
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,Number of Hours,19455
Financial Quarter,2020/21 Q1,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.6
Financial Quarter,2020/21 Q1,Dumfries and Galloway,All Ages,Number of People,2455
Financial Quarter,2020/21 Q1,Dumfries and Galloway,All Ages,Number of Hours,515765
Financial Quarter,2020/21 Q1,Dundee City,All Ages,"Rate per 1,000 Population",13
Financial Quarter,2020/21 Q1,Dundee City,All Ages,Number of People,1935
Financial Quarter,2020/21 Q1,Dundee City,All Ages,Number of Hours,230165
Financial Quarter,2020/21 Q1,East Ayrshire,All Ages,"Rate per 1,000 Population",15.3
Financial Quarter,2020/21 Q1,East Ayrshire,All Ages,Number of People,1855
Financial Quarter,2020/21 Q1,East Ayrshire,All Ages,Number of Hours,161520
