time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2017/18 Q4,Orkney Islands,All Ages,"Rate per 1,000 Population",10
Financial Quarter,2017/18 Q4,Orkney Islands,All Ages,Number of People,220
Financial Quarter,2017/18 Q4,Orkney Islands,All Ages,Number of Hours,20400
Financial Quarter,2017/18 Q4,Perth and Kinross,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2017/18 Q4,Perth and Kinross,All Ages,Number of People,2100
Financial Quarter,2017/18 Q4,Perth and Kinross,All Ages,Number of Hours,350355
Financial Quarter,2017/18 Q4,Renfrewshire,All Ages,"Rate per 1,000 Population",14.2
Financial Quarter,2017/18 Q4,Renfrewshire,All Ages,Number of People,2505
Financial Quarter,2017/18 Q4,Renfrewshire,All Ages,Number of Hours,428920
Financial Quarter,2017/18 Q4,Scottish Borders,All Ages,"Rate per 1,000 Population",11.4
Financial Quarter,2017/18 Q4,Scottish Borders,All Ages,Number of People,1310
Financial Quarter,2017/18 Q4,Scottish Borders,All Ages,Number of Hours,95070
Financial Quarter,2017/18 Q4,Shetland,All Ages,"Rate per 1,000 Population",16.2
Financial Quarter,2017/18 Q4,Shetland,All Ages,Number of People,375
Financial Quarter,2017/18 Q4,Shetland,All Ages,Number of Hours,33005
Financial Quarter,2017/18 Q4,South Ayrshire,All Ages,"Rate per 1,000 Population",17.2
Financial Quarter,2017/18 Q4,South Ayrshire,All Ages,Number of People,1935
Financial Quarter,2017/18 Q4,South Ayrshire,All Ages,Number of Hours,206225
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.1
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,Number of People,4160
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,Number of Hours,538770
Financial Quarter,2017/18 Q4,Stirling,All Ages,"Rate per 1,000 Population",14
Financial Quarter,2017/18 Q4,Stirling,All Ages,Number of People,1315
Financial Quarter,2017/18 Q4,Stirling,All Ages,Number of Hours,238330
Financial Quarter,2017/18 Q4,West Dunbartonshire,All Ages,"Rate per 1,000 Population",19.3
Financial Quarter,2017/18 Q4,West Dunbartonshire,All Ages,Number of People,1725
Financial Quarter,2017/18 Q4,West Dunbartonshire,All Ages,Number of Hours,116880
Financial Quarter,2017/18 Q4,West Lothian,All Ages,"Rate per 1,000 Population",11.6
Financial Quarter,2017/18 Q4,West Lothian,All Ages,Number of People,2110
Financial Quarter,2017/18 Q4,West Lothian,All Ages,Number of Hours,282845
Financial Quarter,2018/19 Q1,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.3
Financial Quarter,2018/19 Q1,Scotland (Estimated),All Ages,Number of People,66915
Financial Quarter,2018/19 Q1,Scotland (Estimated),All Ages,Number of Hours,8879510
Financial Quarter,2018/19 Q1,Aberdeen City,All Ages,"Rate per 1,000 Population",9
Financial Quarter,2018/19 Q1,Aberdeen City,All Ages,Number of People,2055
Financial Quarter,2018/19 Q1,Aberdeen City,All Ages,Number of Hours,339930
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,"Rate per 1,000 Population",8.5
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,Number of People,2210
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,Number of Hours,213000
Financial Quarter,2018/19 Q1,Angus,All Ages,"Rate per 1,000 Population",10.7
Financial Quarter,2018/19 Q1,Angus,All Ages,Number of People,1245
Financial Quarter,2018/19 Q1,Angus,All Ages,Number of Hours,99610
Financial Quarter,2018/19 Q1,Argyll and Bute,All Ages,"Rate per 1,000 Population",18.7
Financial Quarter,2018/19 Q1,Argyll and Bute,All Ages,Number of People,1615
Financial Quarter,2018/19 Q1,Argyll and Bute,All Ages,Number of Hours,288160
Financial Quarter,2018/19 Q1,City of Edinburgh,All Ages,"Rate per 1,000 Population",10.2
Financial Quarter,2018/19 Q1,City of Edinburgh,All Ages,Number of People,5270
Financial Quarter,2018/19 Q1,City of Edinburgh,All Ages,Number of Hours,1138150
Financial Quarter,2018/19 Q1,Clackmannanshire,All Ages,"Rate per 1,000 Population",16.3
Financial Quarter,2018/19 Q1,Clackmannanshire,All Ages,Number of People,840
Financial Quarter,2018/19 Q1,Clackmannanshire,All Ages,Number of Hours,131450
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.3
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,All Ages,Number of People,385
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,All Ages,Number of Hours,22170
Financial Quarter,2018/19 Q1,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.9
Financial Quarter,2018/19 Q1,Dumfries and Galloway,All Ages,Number of People,2365
Financial Quarter,2018/19 Q1,Dumfries and Galloway,All Ages,Number of Hours,438585
Financial Quarter,2018/19 Q1,Dundee City,All Ages,"Rate per 1,000 Population",14.1
Financial Quarter,2018/19 Q1,Dundee City,All Ages,Number of People,2100
Financial Quarter,2018/19 Q1,Dundee City,All Ages,Number of Hours,257615
Financial Quarter,2018/19 Q1,East Ayrshire,All Ages,"Rate per 1,000 Population",15.9
Financial Quarter,2018/19 Q1,East Ayrshire,All Ages,Number of People,1940
Financial Quarter,2018/19 Q1,East Ayrshire,All Ages,Number of Hours,219590
Financial Quarter,2018/19 Q1,East Dunbartonshire,All Ages,"Rate per 1,000 Population",14.6
Financial Quarter,2018/19 Q1,East Dunbartonshire,All Ages,Number of People,1585
Financial Quarter,2018/19 Q1,East Dunbartonshire,All Ages,Number of Hours,170070
Financial Quarter,2018/19 Q1,East Lothian,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2018/19 Q1,East Lothian,All Ages,Number of People,1470
Financial Quarter,2018/19 Q1,East Lothian,All Ages,Number of Hours,251995
Financial Quarter,2018/19 Q1,East Renfrewshire,All Ages,"Rate per 1,000 Population",11.1
Financial Quarter,2018/19 Q1,East Renfrewshire,All Ages,Number of People,1055
Financial Quarter,2018/19 Q1,East Renfrewshire,All Ages,Number of Hours,85925
Financial Quarter,2018/19 Q1,Falkirk,All Ages,"Rate per 1,000 Population",12.8
Financial Quarter,2018/19 Q1,Falkirk,All Ages,Number of People,2045
Financial Quarter,2018/19 Q1,Falkirk,All Ages,Number of Hours,154155
Financial Quarter,2018/19 Q1,Fife,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2018/19 Q1,Fife,All Ages,Number of People,4465
Financial Quarter,2018/19 Q1,Fife,All Ages,Number of Hours,752025
Financial Quarter,2018/19 Q1,Glasgow City,All Ages,"Rate per 1,000 Population",10.2
Financial Quarter,2018/19 Q1,Glasgow City,All Ages,Number of People,6360
Financial Quarter,2018/19 Q1,Glasgow City,All Ages,Number of Hours,592485
Financial Quarter,2018/19 Q1,Highland,All Ages,"Rate per 1,000 Population",9.1
Financial Quarter,2018/19 Q1,Highland,All Ages,Number of People,2140
Financial Quarter,2018/19 Q1,Highland,All Ages,Number of Hours,205335
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,"Rate per 1,000 Population",18
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,Number of People,1405
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,Number of Hours,113780
Financial Quarter,2018/19 Q1,Midlothian,All Ages,"Rate per 1,000 Population",11.2
Financial Quarter,2018/19 Q1,Midlothian,All Ages,Number of People,1020
Financial Quarter,2018/19 Q1,Midlothian,All Ages,Number of Hours,93285
Financial Quarter,2018/19 Q1,Moray,All Ages,"Rate per 1,000 Population",13.5
Financial Quarter,2018/19 Q1,Moray,All Ages,Number of People,1290
Financial Quarter,2018/19 Q1,Moray,All Ages,Number of Hours,316310
Financial Quarter,2018/19 Q1,North Ayrshire,All Ages,"Rate per 1,000 Population",18.1
Financial Quarter,2018/19 Q1,North Ayrshire,All Ages,Number of People,2450
Financial Quarter,2018/19 Q1,North Ayrshire,All Ages,Number of Hours,334235
Financial Quarter,2018/19 Q1,North Lanarkshire,All Ages,"Rate per 1,000 Population",11.7
Financial Quarter,2018/19 Q1,North Lanarkshire,All Ages,Number of People,3990
Financial Quarter,2018/19 Q1,North Lanarkshire,All Ages,Number of Hours,386355
Financial Quarter,2018/19 Q1,Orkney Islands,All Ages,"Rate per 1,000 Population",9.9
Financial Quarter,2018/19 Q1,Orkney Islands,All Ages,Number of People,220
Financial Quarter,2018/19 Q1,Orkney Islands,All Ages,Number of Hours,19650
Financial Quarter,2018/19 Q1,Perth and Kinross,All Ages,"Rate per 1,000 Population",12.1
Financial Quarter,2018/19 Q1,Perth and Kinross,All Ages,Number of People,1835
