financial_year,sending_location,age_group,nclient,percentage,scotland_percentage
2019/20,Orkney Islands,18-64 years,15,62.5,30.7
2019/20,Orkney Islands,65-74 years,25,78.1,45.1
2019/20,Orkney Islands,75-84 years,65,71.4,51.8
2019/20,Orkney Islands,85+ years,105,81.4,58.1
2019/20,Orkney Islands,Unknown,0,0,0
2019/20,Perth and Kinross,All Ages,1570,54.6,49.4
2019/20,Perth and Kinross,0-17 years,0,0,4.5
2019/20,Perth and Kinross,18-64 years,145,36.8,30.7
2019/20,Perth and Kinross,65-74 years,180,47.5,45.1
2019/20,Perth and Kinross,75-84 years,495,58.2,51.8
2019/20,Perth and Kinross,85+ years,755,60.4,58.1
2019/20,Perth and Kinross,Unknown,0,0,0
2019/20,Renfrewshire,All Ages,1985,57.7,49.4
2019/20,Renfrewshire,0-17 years,0,0,4.5
2019/20,Renfrewshire,18-64 years,220,33.2,30.7
2019/20,Renfrewshire,65-74 years,315,56.9,45.1
2019/20,Renfrewshire,75-84 years,685,60.1,51.8
2019/20,Renfrewshire,85+ years,765,70.8,58.1
2019/20,Renfrewshire,Unknown,0,0,0
2019/20,Scottish Borders,All Ages,205,10,49.4
2019/20,Scottish Borders,0-17 years,0,0,4.5
2019/20,Scottish Borders,18-64 years,15,7.5,30.7
2019/20,Scottish Borders,65-74 years,30,10.9,45.1
2019/20,Scottish Borders,75-84 years,70,10.5,51.8
2019/20,Scottish Borders,85+ years,90,10,58.1
2019/20,Scottish Borders,Unknown,0,0,0
2019/20,Shetland,All Ages,270,52.2,49.4
2019/20,Shetland,0-17 years,0,0,4.5
2019/20,Shetland,18-64 years,20,17.7,30.7
2019/20,Shetland,65-74 years,35,43.8,45.1
2019/20,Shetland,75-84 years,85,54.1,51.8
2019/20,Shetland,85+ years,125,74.9,58.1
2019/20,Shetland,Unknown,0,0,0
2019/20,Stirling,All Ages,1035,59.1,49.4
2019/20,Stirling,0-17 years,0,0,4.5
2019/20,Stirling,18-64 years,115,26.1,30.7
2019/20,Stirling,65-74 years,115,57.2,45.1
2019/20,Stirling,75-84 years,345,66.1,51.8
2019/20,Stirling,85+ years,465,79.4,58.1
2019/20,Stirling,Unknown,0,0,0
2019/20,West Dunbartonshire,All Ages,1555,66.5,49.4
2019/20,West Dunbartonshire,0-17 years,0,0,4.5
2019/20,West Dunbartonshire,18-64 years,155,51,30.7
2019/20,West Dunbartonshire,65-74 years,295,61.2,45.1
2019/20,West Dunbartonshire,75-84 years,555,67.4,51.8
2019/20,West Dunbartonshire,85+ years,550,75.3,58.1
2019/20,West Dunbartonshire,Unknown,0,0,0
2019/20,West Lothian,All Ages,1295,49.8,49.4
2019/20,West Lothian,0-17 years,0,0,4.5
2019/20,West Lothian,18-64 years,290,39.6,30.7
2019/20,West Lothian,65-74 years,215,49.1,45.1
2019/20,West Lothian,75-84 years,425,56,51.8
2019/20,West Lothian,85+ years,370,55.8,58.1
2019/20,West Lothian,Unknown,0,0,0
2020/21,Scotland (All Areas Submitted),All Ages,45270,48.5,48.5
2020/21,Scotland (All Areas Submitted),0-17 years,5,2.4,2.4
2020/21,Scotland (All Areas Submitted),18-64 years,4840,30.1,30.1
2020/21,Scotland (All Areas Submitted),65-74 years,6485,44.7,44.7
2020/21,Scotland (All Areas Submitted),75-84 years,15270,51.5,51.5
2020/21,Scotland (All Areas Submitted),85+ years,18670,56.9,56.9
2020/21,Scotland (All Areas Submitted),Unknown,0,0,0
2020/21,Aberdeenshire,All Ages,2030,56,48.5
2020/21,Aberdeenshire,0-17 years,0,0,2.4
2020/21,Aberdeenshire,18-64 years,145,32.4,30.1
2020/21,Aberdeenshire,65-74 years,240,43.6,44.7
2020/21,Aberdeenshire,75-84 years,675,54.8,51.5
2020/21,Aberdeenshire,85+ years,970,69.5,56.9
2020/21,Aberdeenshire,Unknown,0,0,0
2020/21,Angus,All Ages,1660,74.6,48.5
2020/21,Angus,0-17 years,0,0,2.4
2020/21,Angus,18-64 years,165,42.2,30.1
2020/21,Angus,65-74 years,255,77,44.7
2020/21,Angus,75-84 years,525,77.8,51.5
2020/21,Angus,85+ years,710,86.1,56.9
2020/21,Angus,Unknown,0,0,0
2020/21,Argyll and Bute,All Ages,1400,64,48.5
2020/21,Argyll and Bute,0-17 years,0,0,2.4
2020/21,Argyll and Bute,18-64 years,145,36.1,30.1
2020/21,Argyll and Bute,65-74 years,190,61.1,44.7
2020/21,Argyll and Bute,75-84 years,445,69,51.5
2020/21,Argyll and Bute,85+ years,620,74.8,56.9
2020/21,Argyll and Bute,Unknown,0,0,0
2020/21,City of Edinburgh,All Ages,3455,47,48.5
2020/21,City of Edinburgh,0-17 years,0,0,2.4
2020/21,City of Edinburgh,18-64 years,530,25.2,30.1
2020/21,City of Edinburgh,65-74 years,470,45.5,44.7
2020/21,City of Edinburgh,75-84 years,955,53.1,51.5
2020/21,City of Edinburgh,85+ years,1505,62.2,56.9
2020/21,City of Edinburgh,Unknown,0,0,0
2020/21,Clackmannanshire,All Ages,850,69.4,48.5
2020/21,Clackmannanshire,0-17 years,0,0,2.4
2020/21,Clackmannanshire,18-64 years,95,32.2,30.1
2020/21,Clackmannanshire,65-74 years,135,68.9,44.7
2020/21,Clackmannanshire,75-84 years,310,83.1,51.5
2020/21,Clackmannanshire,85+ years,310,86.6,56.9
2020/21,Clackmannanshire,Unknown,0,0,0
2020/21,Comhairle nan Eilean Siar,All Ages,280,57.7,48.5
2020/21,Comhairle nan Eilean Siar,0-17 years,0,0,2.4
2020/21,Comhairle nan Eilean Siar,18-64 years,20,48.8,30.1
2020/21,Comhairle nan Eilean Siar,65-74 years,45,60.8,44.7
2020/21,Comhairle nan Eilean Siar,75-84 years,80,55.2,51.5
2020/21,Comhairle nan Eilean Siar,85+ years,135,60,56.9
2020/21,Comhairle nan Eilean Siar,Unknown,0,0,0
2020/21,Dumfries and Galloway,All Ages,1625,49.7,48.5
2020/21,Dumfries and Galloway,0-17 years,5,12.5,2.4
2020/21,Dumfries and Galloway,18-64 years,190,24,30.1
2020/21,Dumfries and Galloway,65-74 years,195,42.6,44.7
2020/21,Dumfries and Galloway,75-84 years,515,56.7,51.5
2020/21,Dumfries and Galloway,85+ years,720,67.1,56.9
2020/21,Dumfries and Galloway,Unknown,0,0,0
2020/21,Dundee City,All Ages,1650,64.2,48.5
2020/21,Dundee City,0-17 years,0,0,2.4
2020/21,Dundee City,18-64 years,190,49.4,30.1
2020/21,Dundee City,65-74 years,270,65.4,44.7
2020/21,Dundee City,75-84 years,545,67.2,51.5
2020/21,Dundee City,85+ years,650,67.7,56.9
2020/21,Dundee City,Unknown,0,0,0
2020/21,East Ayrshire,All Ages,1805,65.4,48.5
2020/21,East Ayrshire,0-17 years,0,0,2.4
2020/21,East Ayrshire,18-64 years,255,52.9,30.1
2020/21,East Ayrshire,65-74 years,240,55.2,44.7
2020/21,East Ayrshire,75-84 years,665,67.8,51.5
2020/21,East Ayrshire,85+ years,650,75.7,56.9
2020/21,East Ayrshire,Unknown,0,0,0
2020/21,East Dunbartonshire,All Ages,595,27.6,48.5
2020/21,East Dunbartonshire,0-17 years,0,0,2.4
2020/21,East Dunbartonshire,18-64 years,40,22.7,30.1
2020/21,East Dunbartonshire,65-74 years,65,24.3,44.7
2020/21,East Dunbartonshire,75-84 years,195,26,51.5
2020/21,East Dunbartonshire,85+ years,300,31.9,56.9
2020/21,East Dunbartonshire,Unknown,0,0,0
2020/21,East Renfrewshire,All Ages,1130,61,48.5
2020/21,East Renfrewshire,0-17 years,0,0,2.4
2020/21,East Renfrewshire,18-64 years,85,44,30.1
2020/21,East Renfrewshire,65-74 years,135,56.7,44.7
2020/21,East Renfrewshire,75-84 years,325,55.4,51.5
2020/21,East Renfrewshire,85+ years,580,69.5,56.9
2020/21,East Renfrewshire,Unknown,0,0,0
2020/21,Falkirk,All Ages,2145,74.2,48.5
2020/21,Falkirk,0-17 years,0,0,2.4
2020/21,Falkirk,18-64 years,175,55.2,30.1
2020/21,Falkirk,65-74 years,290,63.2,44.7
2020/21,Falkirk,75-84 years,720,73.5,51.5
2020/21,Falkirk,85+ years,955,85.4,56.9
2020/21,Falkirk,Unknown,0,0,0
2020/21,Fife,All Ages,3150,63.2,48.5
2020/21,Fife,0-17 years,0,0,2.4
2020/21,Fife,18-64 years,485,39.5,30.1
2020/21,Fife,65-74 years,440,59.3,44.7
2020/21,Fife,75-84 years,995,69.3,51.5
2020/21,Fife,85+ years,1230,78.8,56.9
2020/21,Fife,Unknown,0,0,0
2020/21,Glasgow City,All Ages,4455,47,48.5
2020/21,Glasgow City,0-17 years,0,0,2.4
2020/21,Glasgow City,18-64 years,290,25,30.1
2020/21,Glasgow City,65-74 years,650,38.7,44.7
2020/21,Glasgow City,75-84 years,1625,48.6,51.5
2020/21,Glasgow City,85+ years,1885,57.5,56.9
2020/21,Glasgow City,Unknown,0,0,0
2020/21,Highland,All Ages,1135,37.3,48.5
2020/21,Highland,0-17 years,0,0,2.4
2020/21,Highland,18-64 years,80,28,30.1
2020/21,Highland,65-74 years,105,22.7,44.7
2020/21,Highland,75-84 years,355,35.2,51.5
2020/21,Highland,85+ years,595,46.3,56.9
2020/21,Highland,Unknown,0,0,0
2020/21,Inverclyde,All Ages,1260,67.2,48.5
2020/21,Inverclyde,0-17 years,0,0,2.4
2020/21,Inverclyde,18-64 years,100,51.5,30.1
2020/21,Inverclyde,65-74 years,195,56.4,44.7
2020/21,Inverclyde,75-84 years,470,68.6,51.5
2020/21,Inverclyde,85+ years,500,76.9,56.9
2020/21,Inverclyde,Unknown,0,0,0
2020/21,Midlothian,All Ages,750,54.9,48.5
2020/21,Midlothian,0-17 years,0,0,2.4
2020/21,Midlothian,18-64 years,95,28,30.1
2020/21,Midlothian,65-74 years,105,45.3,44.7
2020/21,Midlothian,75-84 years,255,63.4,51.5
2020/21,Midlothian,85+ years,295,75.1,56.9
2020/21,Midlothian,Unknown,0,0,0
2020/21,Moray,All Ages,640,45.2,48.5
2020/21,Moray,0-17 years,0,0,2.4
2020/21,Moray,18-64 years,65,23.9,30.1
2020/21,Moray,65-74 years,85,45.2,44.7
2020/21,Moray,75-84 years,195,49.2,51.5
2020/21,Moray,85+ years,295,52.7,56.9
2020/21,Moray,Unknown,0,0,0
2020/21,North Ayrshire,All Ages,3325,74.8,48.5
2020/21,North Ayrshire,0-17 years,0,0,2.4
2020/21,North Ayrshire,18-64 years,400,48.9,30.1
2020/21,North Ayrshire,65-74 years,550,70.7,44.7
2020/21,North Ayrshire,75-84 years,1225,80.8,51.5
2020/21,North Ayrshire,85+ years,1150,88.1,56.9
2020/21,North Ayrshire,Unknown,0,0,0
2020/21,North Lanarkshire,All Ages,3640,65.7,48.5
2020/21,North Lanarkshire,0-17 years,0,0,2.4
2020/21,North Lanarkshire,18-64 years,335,55.3,30.1
2020/21,North Lanarkshire,65-74 years,595,59.1,44.7
2020/21,North Lanarkshire,75-84 years,1385,65,51.5
2020/21,North Lanarkshire,85+ years,1320,73.5,56.9
2020/21,North Lanarkshire,Unknown,0,0,0
2020/21,Perth and Kinross,All Ages,1570,54.5,48.5
2020/21,Perth and Kinross,0-17 years,0,0,2.4
2020/21,Perth and Kinross,18-64 years,150,38,30.1
2020/21,Perth and Kinross,65-74 years,215,53.6,44.7
2020/21,Perth and Kinross,75-84 years,470,55,51.5
2020/21,Perth and Kinross,85+ years,740,60.1,56.9
2020/21,Perth and Kinross,Unknown,0,0,0
2020/21,Renfrewshire,All Ages,2080,60.6,48.5
2020/21,Renfrewshire,0-17 years,0,0,2.4
2020/21,Renfrewshire,18-64 years,215,30.1,30.1
2020/21,Renfrewshire,65-74 years,290,55.3,44.7
2020/21,Renfrewshire,75-84 years,760,68.4,51.5
2020/21,Renfrewshire,85+ years,820,76.3,56.9
2020/21,Renfrewshire,Unknown,0,0,0
2020/21,Scottish Borders,All Ages,385,18.9,48.5
2020/21,Scottish Borders,0-17 years,0,0,2.4
2020/21,Scottish Borders,18-64 years,25,12.2,30.1
2020/21,Scottish Borders,65-74 years,55,19.9,44.7
2020/21,Scottish Borders,75-84 years,125,19.4,51.5
2020/21,Scottish Borders,85+ years,175,19.3,56.9
2020/21,Scottish Borders,Unknown,0,0,0
2020/21,Shetland,All Ages,285,57.3,48.5
2020/21,Shetland,0-17 years,0,0,2.4
2020/21,Shetland,18-64 years,20,19,30.1
2020/21,Shetland,65-74 years,30,39.5,44.7
2020/21,Shetland,75-84 years,105,67.3,51.5
2020/21,Shetland,85+ years,125,78.1,56.9
2020/21,Shetland,Unknown,0,0,0
2020/21,Stirling,All Ages,1105,62.9,48.5
2020/21,Stirling,0-17 years,0,0,2.4
2020/21,Stirling,18-64 years,125,28.5,30.1
2020/21,Stirling,65-74 years,125,57.9,44.7
2020/21,Stirling,75-84 years,375,71.8,51.5
2020/21,Stirling,85+ years,480,83.2,56.9
2020/21,Stirling,Unknown,0,0,0
2020/21,West Dunbartonshire,All Ages,1445,65.2,48.5
2020/21,West Dunbartonshire,0-17 years,0,0,2.4
2020/21,West Dunbartonshire,18-64 years,135,48,30.1
2020/21,West Dunbartonshire,65-74 years,270,60.5,44.7
2020/21,West Dunbartonshire,75-84 years,515,68.6,51.5
2020/21,West Dunbartonshire,85+ years,530,71.8,56.9
2020/21,West Dunbartonshire,Unknown,0,0,0
2020/21,West Lothian,All Ages,1405,53.1,48.5
2020/21,West Lothian,0-17 years,0,0,2.4
2020/21,West Lothian,18-64 years,280,38.4,30.1
2020/21,West Lothian,65-74 years,245,53.5,44.7
2020/21,West Lothian,75-84 years,455,59.7,51.5
2020/21,West Lothian,85+ years,425,61.4,56.9
2020/21,West Lothian,Unknown,0,0,0
