time_period,financial_quarter,sending_location,age_group,nclient,percentage,scotland_percentage
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,57260,93.4,93.4
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,180,80,80
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,8885,76.8,76.8
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,9025,95.4,95.4
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,19120,97.7,97.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,20050,97.9,97.9
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,0,0,0
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,2030,99.8,93.4
Financial Quarter,2017/18 Q4,Aberdeen City,0-17 years,5,100,80
Financial Quarter,2017/18 Q4,Aberdeen City,18-64 years,355,98.6,76.8
Financial Quarter,2017/18 Q4,Aberdeen City,65-74 years,275,100,95.4
Financial Quarter,2017/18 Q4,Aberdeen City,75-84 years,635,100,97.7
Financial Quarter,2017/18 Q4,Aberdeen City,85+ years,760,100,97.9
Financial Quarter,2017/18 Q4,Aberdeen City,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,2245,88.6,93.4
Financial Quarter,2017/18 Q4,Aberdeenshire,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Aberdeenshire,18-64 years,45,15,76.8
Financial Quarter,2017/18 Q4,Aberdeenshire,65-74 years,365,98.6,95.4
Financial Quarter,2017/18 Q4,Aberdeenshire,75-84 years,865,97.7,97.7
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,970,99,97.9
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Angus,All Ages,1045,90.9,93.4
Financial Quarter,2017/18 Q4,Angus,0-17 years,10,100,80
Financial Quarter,2017/18 Q4,Angus,18-64 years,215,81.1,76.8
Financial Quarter,2017/18 Q4,Angus,65-74 years,145,90.6,95.4
Financial Quarter,2017/18 Q4,Angus,75-84 years,295,95.2,97.7
Financial Quarter,2017/18 Q4,Angus,85+ years,380,93.8,97.9
Financial Quarter,2017/18 Q4,Angus,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,1455,100,93.4
Financial Quarter,2017/18 Q4,Argyll and Bute,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Argyll and Bute,18-64 years,190,100,76.8
Financial Quarter,2017/18 Q4,Argyll and Bute,65-74 years,205,100,95.4
Financial Quarter,2017/18 Q4,Argyll and Bute,75-84 years,480,100,97.7
Financial Quarter,2017/18 Q4,Argyll and Bute,85+ years,575,100,97.9
Financial Quarter,2017/18 Q4,Argyll and Bute,Unknown,0,0,0
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,4525,85.5,93.4
Financial Quarter,2017/18 Q4,City of Edinburgh,0-17 years,0,NA,80
Financial Quarter,2017/18 Q4,City of Edinburgh,18-64 years,1055,66.6,76.8
Financial Quarter,2017/18 Q4,City of Edinburgh,65-74 years,625,90.6,95.4
Financial Quarter,2017/18 Q4,City of Edinburgh,75-84 years,1220,94.2,97.7
Financial Quarter,2017/18 Q4,City of Edinburgh,85+ years,1625,94.5,97.9
Financial Quarter,2017/18 Q4,City of Edinburgh,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Clackmannanshire,All Ages,770,89.5,93.4
Financial Quarter,2017/18 Q4,Clackmannanshire,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Clackmannanshire,18-64 years,120,58.5,76.8
Financial Quarter,2017/18 Q4,Clackmannanshire,65-74 years,155,100,95.4
Financial Quarter,2017/18 Q4,Clackmannanshire,75-84 years,245,98,97.7
Financial Quarter,2017/18 Q4,Clackmannanshire,85+ years,250,100,97.9
Financial Quarter,2017/18 Q4,Clackmannanshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,All Ages,390,100,93.4
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,35,100,76.8
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,60,100,95.4
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,120,100,97.7
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,85+ years,180,100,97.9
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Dumfries and Galloway,All Ages,2265,93.4,93.4
Financial Quarter,2017/18 Q4,Dumfries and Galloway,0-17 years,10,100,80
Financial Quarter,2017/18 Q4,Dumfries and Galloway,18-64 years,450,76.3,76.8
Financial Quarter,2017/18 Q4,Dumfries and Galloway,65-74 years,355,95.9,95.4
Financial Quarter,2017/18 Q4,Dumfries and Galloway,75-84 years,665,99.3,97.7
Financial Quarter,2017/18 Q4,Dumfries and Galloway,85+ years,785,100,97.9
Financial Quarter,2017/18 Q4,Dumfries and Galloway,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Dundee City,All Ages,1800,84.5,93.4
Financial Quarter,2017/18 Q4,Dundee City,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Dundee City,18-64 years,175,74.5,76.8
Financial Quarter,2017/18 Q4,Dundee City,65-74 years,300,82.2,95.4
Financial Quarter,2017/18 Q4,Dundee City,75-84 years,625,87.4,97.7
Financial Quarter,2017/18 Q4,Dundee City,85+ years,700,86.4,97.9
Financial Quarter,2017/18 Q4,Dundee City,Unknown,0,0,0
Financial Quarter,2017/18 Q4,East Ayrshire,All Ages,2000,98.8,93.4
Financial Quarter,2017/18 Q4,East Ayrshire,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,East Ayrshire,18-64 years,265,93,76.8
Financial Quarter,2017/18 Q4,East Ayrshire,65-74 years,340,100,95.4
Financial Quarter,2017/18 Q4,East Ayrshire,75-84 years,760,100,97.7
Financial Quarter,2017/18 Q4,East Ayrshire,85+ years,635,99.2,97.9
Financial Quarter,2017/18 Q4,East Ayrshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,East Dunbartonshire,All Ages,1555,100,93.4
Financial Quarter,2017/18 Q4,East Dunbartonshire,0-17 years,40,100,80
Financial Quarter,2017/18 Q4,East Dunbartonshire,18-64 years,125,100,76.8
Financial Quarter,2017/18 Q4,East Dunbartonshire,65-74 years,180,100,95.4
Financial Quarter,2017/18 Q4,East Dunbartonshire,75-84 years,580,100,97.7
Financial Quarter,2017/18 Q4,East Dunbartonshire,85+ years,630,100,97.9
Financial Quarter,2017/18 Q4,East Dunbartonshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,East Lothian,All Ages,1225,84.5,93.4
Financial Quarter,2017/18 Q4,East Lothian,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,East Lothian,18-64 years,175,47.3,76.8
Financial Quarter,2017/18 Q4,East Lothian,65-74 years,175,89.7,95.4
Financial Quarter,2017/18 Q4,East Lothian,75-84 years,410,100,97.7
Financial Quarter,2017/18 Q4,East Lothian,85+ years,465,100,97.9
Financial Quarter,2017/18 Q4,East Lothian,Unknown,0,0,0
Financial Quarter,2017/18 Q4,East Renfrewshire,All Ages,1105,95.3,93.4
Financial Quarter,2017/18 Q4,East Renfrewshire,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,East Renfrewshire,18-64 years,120,85.7,76.8
Financial Quarter,2017/18 Q4,East Renfrewshire,65-74 years,140,90.3,95.4
Financial Quarter,2017/18 Q4,East Renfrewshire,75-84 years,380,97.4,97.7
Financial Quarter,2017/18 Q4,East Renfrewshire,85+ years,465,96.9,97.9
Financial Quarter,2017/18 Q4,East Renfrewshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Falkirk,All Ages,2205,82,93.4
Financial Quarter,2017/18 Q4,Falkirk,0-17 years,15,75,80
Financial Quarter,2017/18 Q4,Falkirk,18-64 years,330,47.5,76.8
Financial Quarter,2017/18 Q4,Falkirk,65-74 years,365,88,95.4
Financial Quarter,2017/18 Q4,Falkirk,75-84 years,750,94.9,97.7
Financial Quarter,2017/18 Q4,Falkirk,85+ years,745,96.8,97.9
Financial Quarter,2017/18 Q4,Falkirk,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Fife,All Ages,3855,97.6,93.4
Financial Quarter,2017/18 Q4,Fife,0-17 years,20,100,80
Financial Quarter,2017/18 Q4,Fife,18-64 years,940,92.2,76.8
Financial Quarter,2017/18 Q4,Fife,65-74 years,615,98.4,95.4
Financial Quarter,2017/18 Q4,Fife,75-84 years,1065,99.5,97.7
Financial Quarter,2017/18 Q4,Fife,85+ years,1215,100,97.9
Financial Quarter,2017/18 Q4,Fife,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Highland,All Ages,2160,99.5,93.4
Financial Quarter,2017/18 Q4,Highland,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Highland,18-64 years,235,97.9,76.8
Financial Quarter,2017/18 Q4,Highland,65-74 years,315,98.4,95.4
Financial Quarter,2017/18 Q4,Highland,75-84 years,730,99.3,97.7
Financial Quarter,2017/18 Q4,Highland,85+ years,880,100,97.9
Financial Quarter,2017/18 Q4,Highland,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,1390,98.6,93.4
Financial Quarter,2017/18 Q4,Inverclyde,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Inverclyde,18-64 years,150,100,76.8
Financial Quarter,2017/18 Q4,Inverclyde,65-74 years,245,98,95.4
Financial Quarter,2017/18 Q4,Inverclyde,75-84 years,545,99.1,97.7
Financial Quarter,2017/18 Q4,Inverclyde,85+ years,450,98.9,97.9
Financial Quarter,2017/18 Q4,Inverclyde,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Midlothian,All Ages,1110,99.6,93.4
Financial Quarter,2017/18 Q4,Midlothian,0-17 years,10,100,80
Financial Quarter,2017/18 Q4,Midlothian,18-64 years,275,98.2,76.8
Financial Quarter,2017/18 Q4,Midlothian,65-74 years,175,100,95.4
Financial Quarter,2017/18 Q4,Midlothian,75-84 years,340,100,97.7
Financial Quarter,2017/18 Q4,Midlothian,85+ years,310,100,97.9
Financial Quarter,2017/18 Q4,Midlothian,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Moray,All Ages,1190,90.2,93.4
Financial Quarter,2017/18 Q4,Moray,0-17 years,10,100,80
Financial Quarter,2017/18 Q4,Moray,18-64 years,190,67.9,76.8
Financial Quarter,2017/18 Q4,Moray,65-74 years,185,94.9,95.4
Financial Quarter,2017/18 Q4,Moray,75-84 years,380,95,97.7
Financial Quarter,2017/18 Q4,Moray,85+ years,425,97.7,97.9
Financial Quarter,2017/18 Q4,Moray,Unknown,0,0,0
Financial Quarter,2017/18 Q4,North Ayrshire,All Ages,2285,97.2,93.4
Financial Quarter,2017/18 Q4,North Ayrshire,0-17 years,15,100,80
Financial Quarter,2017/18 Q4,North Ayrshire,18-64 years,280,83.6,76.8
Financial Quarter,2017/18 Q4,North Ayrshire,65-74 years,410,98.8,95.4
Financial Quarter,2017/18 Q4,North Ayrshire,75-84 years,825,100,97.7
Financial Quarter,2017/18 Q4,North Ayrshire,85+ years,760,100,97.9
Financial Quarter,2017/18 Q4,North Ayrshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,North Lanarkshire,All Ages,4045,98.8,93.4
Financial Quarter,2017/18 Q4,North Lanarkshire,0-17 years,15,75,80
Financial Quarter,2017/18 Q4,North Lanarkshire,18-64 years,415,94.3,76.8
Financial Quarter,2017/18 Q4,North Lanarkshire,65-74 years,765,98.7,95.4
Financial Quarter,2017/18 Q4,North Lanarkshire,75-84 years,1585,99.4,97.7
Financial Quarter,2017/18 Q4,North Lanarkshire,85+ years,1265,99.6,97.9
Financial Quarter,2017/18 Q4,North Lanarkshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Orkney Islands,All Ages,220,100,93.4
Financial Quarter,2017/18 Q4,Orkney Islands,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Orkney Islands,18-64 years,25,100,76.8
Financial Quarter,2017/18 Q4,Orkney Islands,65-74 years,30,100,95.4
Financial Quarter,2017/18 Q4,Orkney Islands,75-84 years,80,100,97.7
Financial Quarter,2017/18 Q4,Orkney Islands,85+ years,90,100,97.9
Financial Quarter,2017/18 Q4,Orkney Islands,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Perth and Kinross,All Ages,1935,92.1,93.4
Financial Quarter,2017/18 Q4,Perth and Kinross,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Perth and Kinross,18-64 years,300,68.2,76.8
Financial Quarter,2017/18 Q4,Perth and Kinross,65-74 years,250,98,95.4
Financial Quarter,2017/18 Q4,Perth and Kinross,75-84 years,600,98.4,97.7
Financial Quarter,2017/18 Q4,Perth and Kinross,85+ years,785,99.4,97.9
Financial Quarter,2017/18 Q4,Perth and Kinross,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Renfrewshire,All Ages,2320,92.6,93.4
Financial Quarter,2017/18 Q4,Renfrewshire,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Renfrewshire,18-64 years,395,72.5,76.8
Financial Quarter,2017/18 Q4,Renfrewshire,65-74 years,430,96.6,95.4
Financial Quarter,2017/18 Q4,Renfrewshire,75-84 years,810,99.4,97.7
Financial Quarter,2017/18 Q4,Renfrewshire,85+ years,685,99.3,97.9
Financial Quarter,2017/18 Q4,Renfrewshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Scottish Borders,All Ages,1235,94.3,93.4
Financial Quarter,2017/18 Q4,Scottish Borders,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Scottish Borders,18-64 years,100,83.3,76.8
Financial Quarter,2017/18 Q4,Scottish Borders,65-74 years,170,97.1,95.4
Financial Quarter,2017/18 Q4,Scottish Borders,75-84 years,405,95.3,97.7
Financial Quarter,2017/18 Q4,Scottish Borders,85+ years,560,95.7,97.9
Financial Quarter,2017/18 Q4,Scottish Borders,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Shetland,All Ages,275,73.3,93.4
Financial Quarter,2017/18 Q4,Shetland,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Shetland,18-64 years,55,78.6,76.8
Financial Quarter,2017/18 Q4,Shetland,65-74 years,35,58.3,95.4
Financial Quarter,2017/18 Q4,Shetland,75-84 years,90,72,97.7
Financial Quarter,2017/18 Q4,Shetland,85+ years,95,79.2,97.9
Financial Quarter,2017/18 Q4,Shetland,Unknown,0,0,0
Financial Quarter,2017/18 Q4,South Ayrshire,All Ages,1935,100,93.4
Financial Quarter,2017/18 Q4,South Ayrshire,0-17 years,5,100,80
Financial Quarter,2017/18 Q4,South Ayrshire,18-64 years,345,100,76.8
Financial Quarter,2017/18 Q4,South Ayrshire,65-74 years,300,100,95.4
Financial Quarter,2017/18 Q4,South Ayrshire,75-84 years,640,100,97.7
Financial Quarter,2017/18 Q4,South Ayrshire,85+ years,645,100,97.9
Financial Quarter,2017/18 Q4,South Ayrshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,South Lanarkshire,All Ages,3910,94,93.4
Financial Quarter,2017/18 Q4,South Lanarkshire,0-17 years,25,83.3,80
Financial Quarter,2017/18 Q4,South Lanarkshire,18-64 years,495,74.4,76.8
Financial Quarter,2017/18 Q4,South Lanarkshire,65-74 years,600,96,95.4
Financial Quarter,2017/18 Q4,South Lanarkshire,75-84 years,1405,98.3,97.7
Financial Quarter,2017/18 Q4,South Lanarkshire,85+ years,1385,98.2,97.9
Financial Quarter,2017/18 Q4,South Lanarkshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Stirling,All Ages,1095,83.3,93.4
Financial Quarter,2017/18 Q4,Stirling,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Stirling,18-64 years,210,53.2,76.8
Financial Quarter,2017/18 Q4,Stirling,65-74 years,145,87.9,95.4
Financial Quarter,2017/18 Q4,Stirling,75-84 years,360,97.3,97.7
Financial Quarter,2017/18 Q4,Stirling,85+ years,380,98.7,97.9
Financial Quarter,2017/18 Q4,Stirling,Unknown,0,0,0
Financial Quarter,2017/18 Q4,West Dunbartonshire,All Ages,1575,91.3,93.4
Financial Quarter,2017/18 Q4,West Dunbartonshire,0-17 years,0,NA,80
Financial Quarter,2017/18 Q4,West Dunbartonshire,18-64 years,175,87.5,76.8
Financial Quarter,2017/18 Q4,West Dunbartonshire,65-74 years,295,88.1,95.4
Financial Quarter,2017/18 Q4,West Dunbartonshire,75-84 years,595,91.5,97.7
Financial Quarter,2017/18 Q4,West Dunbartonshire,85+ years,510,95.3,97.9
Financial Quarter,2017/18 Q4,West Dunbartonshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,West Lothian,All Ages,2105,99.8,93.4
Financial Quarter,2017/18 Q4,West Lothian,0-17 years,5,100,80
Financial Quarter,2017/18 Q4,West Lothian,18-64 years,645,100,76.8
Financial Quarter,2017/18 Q4,West Lothian,65-74 years,380,100,95.4
Financial Quarter,2017/18 Q4,West Lothian,75-84 years,635,100,97.7
Financial Quarter,2017/18 Q4,West Lothian,85+ years,445,100,97.9
Financial Quarter,2017/18 Q4,West Lothian,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,62455,93.6,93.6
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,140,84.8,84.8
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,8745,76.7,76.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,9375,94.7,94.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,20320,97.7,97.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,23875,97.7,97.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,0,0,0
Financial Quarter,2018/19 Q1,Aberdeen City,All Ages,2045,99.5,93.6
Financial Quarter,2018/19 Q1,Aberdeen City,0-17 years,5,100,84.8
Financial Quarter,2018/19 Q1,Aberdeen City,18-64 years,360,98.6,76.7
Financial Quarter,2018/19 Q1,Aberdeen City,65-74 years,275,100,94.7
Financial Quarter,2018/19 Q1,Aberdeen City,75-84 years,560,100,97.7
Financial Quarter,2018/19 Q1,Aberdeen City,85+ years,850,100,97.7
Financial Quarter,2018/19 Q1,Aberdeen City,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Aberdeenshire,All Ages,1900,86,93.6
Financial Quarter,2018/19 Q1,Aberdeenshire,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,Aberdeenshire,18-64 years,0,0,76.7
Financial Quarter,2018/19 Q1,Aberdeenshire,65-74 years,290,95.1,94.7
Financial Quarter,2018/19 Q1,Aberdeenshire,75-84 years,700,97.9,97.7
Financial Quarter,2018/19 Q1,Aberdeenshire,85+ years,915,98.9,97.7
Financial Quarter,2018/19 Q1,Aberdeenshire,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Angus,All Ages,1135,91.2,93.6
Financial Quarter,2018/19 Q1,Angus,0-17 years,5,100,84.8
Financial Quarter,2018/19 Q1,Angus,18-64 years,220,81.5,76.7
Financial Quarter,2018/19 Q1,Angus,65-74 years,160,91.4,94.7
Financial Quarter,2018/19 Q1,Angus,75-84 years,300,95.2,97.7
Financial Quarter,2018/19 Q1,Angus,85+ years,450,93.8,97.7
Financial Quarter,2018/19 Q1,Angus,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Argyll and Bute,All Ages,1455,90.1,93.6
Financial Quarter,2018/19 Q1,Argyll and Bute,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,Argyll and Bute,18-64 years,195,58.2,76.7
Financial Quarter,2018/19 Q1,Argyll and Bute,65-74 years,195,92.9,94.7
Financial Quarter,2018/19 Q1,Argyll and Bute,75-84 years,455,98.9,97.7
Financial Quarter,2018/19 Q1,Argyll and Bute,85+ years,610,100,97.7
Financial Quarter,2018/19 Q1,Argyll and Bute,Unknown,0,0,0
Financial Quarter,2018/19 Q1,City of Edinburgh,All Ages,4320,82,93.6
Financial Quarter,2018/19 Q1,City of Edinburgh,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,City of Edinburgh,18-64 years,1010,62.5,76.7
Financial Quarter,2018/19 Q1,City of Edinburgh,65-74 years,570,84.4,94.7
Financial Quarter,2018/19 Q1,City of Edinburgh,75-84 years,1125,93.4,97.7
Financial Quarter,2018/19 Q1,City of Edinburgh,85+ years,1615,91,97.7
Financial Quarter,2018/19 Q1,City of Edinburgh,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Clackmannanshire,All Ages,755,89.9,93.6
Financial Quarter,2018/19 Q1,Clackmannanshire,0-17 years,0,NA,84.8
Financial Quarter,2018/19 Q1,Clackmannanshire,18-64 years,120,60,76.7
Financial Quarter,2018/19 Q1,Clackmannanshire,65-74 years,135,100,94.7
Financial Quarter,2018/19 Q1,Clackmannanshire,75-84 years,240,100,97.7
Financial Quarter,2018/19 Q1,Clackmannanshire,85+ years,260,98.1,97.7
Financial Quarter,2018/19 Q1,Clackmannanshire,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,All Ages,385,100,93.6
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,18-64 years,30,100,76.7
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,65-74 years,55,100,94.7
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,75-84 years,110,100,97.7
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,85+ years,195,100,97.7
Financial Quarter,2018/19 Q1,Comhairle nan Eilean Siar,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Dumfries and Galloway,All Ages,2215,93.7,93.6
Financial Quarter,2018/19 Q1,Dumfries and Galloway,0-17 years,10,100,84.8
Financial Quarter,2018/19 Q1,Dumfries and Galloway,18-64 years,435,77,76.7
Financial Quarter,2018/19 Q1,Dumfries and Galloway,65-74 years,330,95.7,94.7
Financial Quarter,2018/19 Q1,Dumfries and Galloway,75-84 years,630,100,97.7
Financial Quarter,2018/19 Q1,Dumfries and Galloway,85+ years,815,100,97.7
Financial Quarter,2018/19 Q1,Dumfries and Galloway,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Dundee City,All Ages,1810,86.2,93.6
Financial Quarter,2018/19 Q1,Dundee City,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,Dundee City,18-64 years,165,73.3,76.7
Financial Quarter,2018/19 Q1,Dundee City,65-74 years,290,82.9,94.7
Financial Quarter,2018/19 Q1,Dundee City,75-84 years,615,88.5,97.7
Financial Quarter,2018/19 Q1,Dundee City,85+ years,740,89.2,97.7
Financial Quarter,2018/19 Q1,Dundee City,Unknown,0,0,0
Financial Quarter,2018/19 Q1,East Ayrshire,All Ages,1920,99,93.6
Financial Quarter,2018/19 Q1,East Ayrshire,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,East Ayrshire,18-64 years,265,94.6,76.7
Financial Quarter,2018/19 Q1,East Ayrshire,65-74 years,305,100,94.7
Financial Quarter,2018/19 Q1,East Ayrshire,75-84 years,695,100,97.7
Financial Quarter,2018/19 Q1,East Ayrshire,85+ years,660,100,97.7
Financial Quarter,2018/19 Q1,East Ayrshire,Unknown,0,0,0
Financial Quarter,2018/19 Q1,East Dunbartonshire,All Ages,1585,100,93.6
Financial Quarter,2018/19 Q1,East Dunbartonshire,0-17 years,30,100,84.8
Financial Quarter,2018/19 Q1,East Dunbartonshire,18-64 years,115,100,76.7
Financial Quarter,2018/19 Q1,East Dunbartonshire,65-74 years,170,100,94.7
Financial Quarter,2018/19 Q1,East Dunbartonshire,75-84 years,575,100,97.7
Financial Quarter,2018/19 Q1,East Dunbartonshire,85+ years,695,100,97.7
Financial Quarter,2018/19 Q1,East Dunbartonshire,Unknown,0,0,0
Financial Quarter,2018/19 Q1,East Lothian,All Ages,1230,83.7,93.6
Financial Quarter,2018/19 Q1,East Lothian,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,East Lothian,18-64 years,165,43.4,76.7
Financial Quarter,2018/19 Q1,East Lothian,65-74 years,165,89.2,94.7
Financial Quarter,2018/19 Q1,East Lothian,75-84 years,405,100,97.7
Financial Quarter,2018/19 Q1,East Lothian,85+ years,495,100,97.7
Financial Quarter,2018/19 Q1,East Lothian,Unknown,0,0,0
Financial Quarter,2018/19 Q1,East Renfrewshire,All Ages,925,87.7,93.6
Financial Quarter,2018/19 Q1,East Renfrewshire,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,East Renfrewshire,18-64 years,70,58.3,76.7
Financial Quarter,2018/19 Q1,East Renfrewshire,65-74 years,110,81.5,94.7
Financial Quarter,2018/19 Q1,East Renfrewshire,75-84 years,295,93.7,97.7
Financial Quarter,2018/19 Q1,East Renfrewshire,85+ years,450,92.8,97.7
Financial Quarter,2018/19 Q1,East Renfrewshire,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Falkirk,All Ages,2025,99,93.6
Financial Quarter,2018/19 Q1,Falkirk,0-17 years,15,100,84.8
Financial Quarter,2018/19 Q1,Falkirk,18-64 years,205,97.6,76.7
Financial Quarter,2018/19 Q1,Falkirk,65-74 years,295,98.3,94.7
Financial Quarter,2018/19 Q1,Falkirk,75-84 years,720,99.3,97.7
Financial Quarter,2018/19 Q1,Falkirk,85+ years,790,98.8,97.7
Financial Quarter,2018/19 Q1,Falkirk,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Fife,All Ages,4420,99,93.6
Financial Quarter,2018/19 Q1,Fife,0-17 years,15,100,84.8
Financial Quarter,2018/19 Q1,Fife,18-64 years,1105,96.9,76.7
Financial Quarter,2018/19 Q1,Fife,65-74 years,630,99.2,94.7
Financial Quarter,2018/19 Q1,Fife,75-84 years,1150,100,97.7
Financial Quarter,2018/19 Q1,Fife,85+ years,1525,100,97.7
Financial Quarter,2018/19 Q1,Fife,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Glasgow City,All Ages,6155,96.8,93.6
Financial Quarter,2018/19 Q1,Glasgow City,0-17 years,10,66.7,84.8
Financial Quarter,2018/19 Q1,Glasgow City,18-64 years,320,95.5,76.7
Financial Quarter,2018/19 Q1,Glasgow City,65-74 years,1010,96.2,94.7
Financial Quarter,2018/19 Q1,Glasgow City,75-84 years,2395,97.4,97.7
Financial Quarter,2018/19 Q1,Glasgow City,85+ years,2420,97,97.7
Financial Quarter,2018/19 Q1,Glasgow City,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Highland,All Ages,2135,99.8,93.6
Financial Quarter,2018/19 Q1,Highland,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,Highland,18-64 years,215,100,76.7
Financial Quarter,2018/19 Q1,Highland,65-74 years,280,98.2,94.7
Financial Quarter,2018/19 Q1,Highland,75-84 years,705,100,97.7
Financial Quarter,2018/19 Q1,Highland,85+ years,935,100,97.7
Financial Quarter,2018/19 Q1,Highland,Unknown,0,0,0
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,1385,98.6,93.6
Financial Quarter,2018/19 Q1,Inverclyde,0-17 years,0,0,84.8
Financial Quarter,2018/19 Q1,Inverclyde,18-64 years,140,100,76.7
Financial Quarter,2018/19 Q1,Inverclyde,65-74 years,240,98,94.7
Financial Quarter,2018/19 Q1,Inverclyde,75-84 years,500,98,97.7
Financial Quarter,2018/19 Q1,Inverclyde,85+ years,500,99,97.7
