time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Financial Quarter,2018/19 Q3,East Ayrshire,18-64 years,Number of Hours,77285,3361680
Financial Quarter,2018/19 Q3,East Ayrshire,65-74 years,"Rate per 1,000 Population",22.9,18
Financial Quarter,2018/19 Q3,East Ayrshire,65-74 years,Number of People,325,10260
Financial Quarter,2018/19 Q3,East Ayrshire,65-74 years,Number of Hours,26530,1236065
Financial Quarter,2018/19 Q3,East Ayrshire,75-84 years,"Rate per 1,000 Population",93,64.7
Financial Quarter,2018/19 Q3,East Ayrshire,75-84 years,Number of People,725,21445
Financial Quarter,2018/19 Q3,East Ayrshire,75-84 years,Number of Hours,46880,1995595
Financial Quarter,2018/19 Q3,East Ayrshire,85+ years,"Rate per 1,000 Population",245.7,187.9
Financial Quarter,2018/19 Q3,East Ayrshire,85+ years,Number of People,635,23180
Financial Quarter,2018/19 Q3,East Ayrshire,85+ years,Number of Hours,39675,2253990
Financial Quarter,2018/19 Q3,East Ayrshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,East Ayrshire,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,East Ayrshire,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,East Dunbartonshire,All Ages,"Rate per 1,000 Population",15,12.2
Financial Quarter,2018/19 Q3,East Dunbartonshire,All Ages,Number of People,1630,66565
Financial Quarter,2018/19 Q3,East Dunbartonshire,All Ages,Number of Hours,174785,8872475
Financial Quarter,2018/19 Q3,East Dunbartonshire,0-17 years,"Rate per 1,000 Population",1.4,0.2
Financial Quarter,2018/19 Q3,East Dunbartonshire,0-17 years,Number of People,30,170
Financial Quarter,2018/19 Q3,East Dunbartonshire,0-17 years,Number of Hours,4745,24475
Financial Quarter,2018/19 Q3,East Dunbartonshire,18-64 years,"Rate per 1,000 Population",1.9,3.4
Financial Quarter,2018/19 Q3,East Dunbartonshire,18-64 years,Number of People,120,11505
Financial Quarter,2018/19 Q3,East Dunbartonshire,18-64 years,Number of Hours,21440,3361680
Financial Quarter,2018/19 Q3,East Dunbartonshire,65-74 years,"Rate per 1,000 Population",15,18
Financial Quarter,2018/19 Q3,East Dunbartonshire,65-74 years,Number of People,190,10260
Financial Quarter,2018/19 Q3,East Dunbartonshire,65-74 years,Number of Hours,19615,1236065
Financial Quarter,2018/19 Q3,East Dunbartonshire,75-84 years,"Rate per 1,000 Population",73.7,64.7
Financial Quarter,2018/19 Q3,East Dunbartonshire,75-84 years,Number of People,605,21445
Financial Quarter,2018/19 Q3,East Dunbartonshire,75-84 years,Number of Hours,55920,1995595
Financial Quarter,2018/19 Q3,East Dunbartonshire,85+ years,"Rate per 1,000 Population",213.9,187.9
Financial Quarter,2018/19 Q3,East Dunbartonshire,85+ years,Number of People,685,23180
Financial Quarter,2018/19 Q3,East Dunbartonshire,85+ years,Number of Hours,73065,2253990
Financial Quarter,2018/19 Q3,East Dunbartonshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,East Dunbartonshire,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,East Dunbartonshire,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,East Lothian,All Ages,"Rate per 1,000 Population",13.7,12.2
Financial Quarter,2018/19 Q3,East Lothian,All Ages,Number of People,1445,66565
Financial Quarter,2018/19 Q3,East Lothian,All Ages,Number of Hours,262855,8872475
Financial Quarter,2018/19 Q3,East Lothian,0-17 years,"Rate per 1,000 Population",0.5,0.2
Financial Quarter,2018/19 Q3,East Lothian,0-17 years,Number of People,10,170
Financial Quarter,2018/19 Q3,East Lothian,0-17 years,Number of Hours,1865,24475
Financial Quarter,2018/19 Q3,East Lothian,18-64 years,"Rate per 1,000 Population",6,3.4
Financial Quarter,2018/19 Q3,East Lothian,18-64 years,Number of People,380,11505
Financial Quarter,2018/19 Q3,East Lothian,18-64 years,Number of Hours,141485,3361680
Financial Quarter,2018/19 Q3,East Lothian,65-74 years,"Rate per 1,000 Population",16.6,18
Financial Quarter,2018/19 Q3,East Lothian,65-74 years,Number of People,195,10260
Financial Quarter,2018/19 Q3,East Lothian,65-74 years,Number of Hours,34980,1236065
Financial Quarter,2018/19 Q3,East Lothian,75-84 years,"Rate per 1,000 Population",57.3,64.7
Financial Quarter,2018/19 Q3,East Lothian,75-84 years,Number of People,395,21445
Financial Quarter,2018/19 Q3,East Lothian,75-84 years,Number of Hours,38025,1995595
Financial Quarter,2018/19 Q3,East Lothian,85+ years,"Rate per 1,000 Population",183.1,187.9
Financial Quarter,2018/19 Q3,East Lothian,85+ years,Number of People,465,23180
Financial Quarter,2018/19 Q3,East Lothian,85+ years,Number of Hours,46500,2253990
Financial Quarter,2018/19 Q3,East Lothian,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,East Lothian,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,East Lothian,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,East Renfrewshire,All Ages,"Rate per 1,000 Population",13,12.2
Financial Quarter,2018/19 Q3,East Renfrewshire,All Ages,Number of People,1240,66565
Financial Quarter,2018/19 Q3,East Renfrewshire,All Ages,Number of Hours,130035,8872475
Financial Quarter,2018/19 Q3,East Renfrewshire,0-17 years,"Rate per 1,000 Population",0.2,0.2
Financial Quarter,2018/19 Q3,East Renfrewshire,0-17 years,Number of People,5,170
Financial Quarter,2018/19 Q3,East Renfrewshire,0-17 years,Number of Hours,480,24475
Financial Quarter,2018/19 Q3,East Renfrewshire,18-64 years,"Rate per 1,000 Population",2.6,3.4
Financial Quarter,2018/19 Q3,East Renfrewshire,18-64 years,Number of People,140,11505
Financial Quarter,2018/19 Q3,East Renfrewshire,18-64 years,Number of Hours,27485,3361680
Financial Quarter,2018/19 Q3,East Renfrewshire,65-74 years,"Rate per 1,000 Population",15.6,18
Financial Quarter,2018/19 Q3,East Renfrewshire,65-74 years,Number of People,155,10260
Financial Quarter,2018/19 Q3,East Renfrewshire,65-74 years,Number of Hours,18465,1236065
Financial Quarter,2018/19 Q3,East Renfrewshire,75-84 years,"Rate per 1,000 Population",62.9,64.7
Financial Quarter,2018/19 Q3,East Renfrewshire,75-84 years,Number of People,395,21445
Financial Quarter,2018/19 Q3,East Renfrewshire,75-84 years,Number of Hours,34500,1995595
Financial Quarter,2018/19 Q3,East Renfrewshire,85+ years,"Rate per 1,000 Population",203,187.9
Financial Quarter,2018/19 Q3,East Renfrewshire,85+ years,Number of People,550,23180
Financial Quarter,2018/19 Q3,East Renfrewshire,85+ years,Number of Hours,49105,2253990
Financial Quarter,2018/19 Q3,East Renfrewshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,East Renfrewshire,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,East Renfrewshire,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Falkirk,All Ages,"Rate per 1,000 Population",12.7,12.2
Financial Quarter,2018/19 Q3,Falkirk,All Ages,Number of People,2040,66565
Financial Quarter,2018/19 Q3,Falkirk,All Ages,Number of Hours,160010,8872475
Financial Quarter,2018/19 Q3,Falkirk,0-17 years,"Rate per 1,000 Population",0.5,0.2
Financial Quarter,2018/19 Q3,Falkirk,0-17 years,Number of People,15,170
Financial Quarter,2018/19 Q3,Falkirk,0-17 years,Number of Hours,1230,24475
Financial Quarter,2018/19 Q3,Falkirk,18-64 years,"Rate per 1,000 Population",2.1,3.4
Financial Quarter,2018/19 Q3,Falkirk,18-64 years,Number of People,205,11505
Financial Quarter,2018/19 Q3,Falkirk,18-64 years,Number of Hours,16875,3361680
Financial Quarter,2018/19 Q3,Falkirk,65-74 years,"Rate per 1,000 Population",18.8,18
Financial Quarter,2018/19 Q3,Falkirk,65-74 years,Number of People,320,10260
Financial Quarter,2018/19 Q3,Falkirk,65-74 years,Number of Hours,23630,1236065
Financial Quarter,2018/19 Q3,Falkirk,75-84 years,"Rate per 1,000 Population",74.9,64.7
Financial Quarter,2018/19 Q3,Falkirk,75-84 years,Number of People,725,21445
Financial Quarter,2018/19 Q3,Falkirk,75-84 years,Number of Hours,55520,1995595
Financial Quarter,2018/19 Q3,Falkirk,85+ years,"Rate per 1,000 Population",236.7,187.9
Financial Quarter,2018/19 Q3,Falkirk,85+ years,Number of People,775,23180
Financial Quarter,2018/19 Q3,Falkirk,85+ years,Number of Hours,62755,2253990
Financial Quarter,2018/19 Q3,Falkirk,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Falkirk,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Falkirk,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Fife,All Ages,"Rate per 1,000 Population",10.2,12.2
Financial Quarter,2018/19 Q3,Fife,All Ages,Number of People,3785,66565
Financial Quarter,2018/19 Q3,Fife,All Ages,Number of Hours,730940,8872475
Financial Quarter,2018/19 Q3,Fife,0-17 years,"Rate per 1,000 Population",0.2,0.2
Financial Quarter,2018/19 Q3,Fife,0-17 years,Number of People,15,170
Financial Quarter,2018/19 Q3,Fife,0-17 years,Number of Hours,1715,24475
Financial Quarter,2018/19 Q3,Fife,18-64 years,"Rate per 1,000 Population",4.6,3.4
Financial Quarter,2018/19 Q3,Fife,18-64 years,Number of People,1025,11505
Financial Quarter,2018/19 Q3,Fife,18-64 years,Number of Hours,426480,3361680
Financial Quarter,2018/19 Q3,Fife,65-74 years,"Rate per 1,000 Population",13.4,18
Financial Quarter,2018/19 Q3,Fife,65-74 years,Number of People,575,10260
Financial Quarter,2018/19 Q3,Fife,65-74 years,Number of Hours,88275,1236065
Financial Quarter,2018/19 Q3,Fife,75-84 years,"Rate per 1,000 Population",42.4,64.7
Financial Quarter,2018/19 Q3,Fife,75-84 years,Number of People,1020,21445
Financial Quarter,2018/19 Q3,Fife,75-84 years,Number of Hours,102945,1995595
Financial Quarter,2018/19 Q3,Fife,85+ years,"Rate per 1,000 Population",132,187.9
Financial Quarter,2018/19 Q3,Fife,85+ years,Number of People,1150,23180
Financial Quarter,2018/19 Q3,Fife,85+ years,Number of Hours,111525,2253990
Financial Quarter,2018/19 Q3,Fife,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Fife,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Fife,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Glasgow City,All Ages,"Rate per 1,000 Population",10.4,12.2
Financial Quarter,2018/19 Q3,Glasgow City,All Ages,Number of People,6485,66565
Financial Quarter,2018/19 Q3,Glasgow City,All Ages,Number of Hours,609695,8872475
Financial Quarter,2018/19 Q3,Glasgow City,0-17 years,"Rate per 1,000 Population",0.1,0.2
Financial Quarter,2018/19 Q3,Glasgow City,0-17 years,Number of People,15,170
Financial Quarter,2018/19 Q3,Glasgow City,0-17 years,Number of Hours,855,24475
Financial Quarter,2018/19 Q3,Glasgow City,18-64 years,"Rate per 1,000 Population",0.9,3.4
Financial Quarter,2018/19 Q3,Glasgow City,18-64 years,Number of People,370,11505
Financial Quarter,2018/19 Q3,Glasgow City,18-64 years,Number of Hours,30255,3361680
Financial Quarter,2018/19 Q3,Glasgow City,65-74 years,"Rate per 1,000 Population",24.5,18
Financial Quarter,2018/19 Q3,Glasgow City,65-74 years,Number of People,1120,10260
Financial Quarter,2018/19 Q3,Glasgow City,65-74 years,Number of Hours,98465,1236065
Financial Quarter,2018/19 Q3,Glasgow City,75-84 years,"Rate per 1,000 Population",92.7,64.7
Financial Quarter,2018/19 Q3,Glasgow City,75-84 years,Number of People,2550,21445
Financial Quarter,2018/19 Q3,Glasgow City,75-84 years,Number of Hours,233745,1995595
Financial Quarter,2018/19 Q3,Glasgow City,85+ years,"Rate per 1,000 Population",222,187.9
Financial Quarter,2018/19 Q3,Glasgow City,85+ years,Number of People,2435,23180
Financial Quarter,2018/19 Q3,Glasgow City,85+ years,Number of Hours,246375,2253990
Financial Quarter,2018/19 Q3,Glasgow City,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Glasgow City,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Glasgow City,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Highland,All Ages,"Rate per 1,000 Population",9,12.2
Financial Quarter,2018/19 Q3,Highland,All Ages,Number of People,2110,66565
Financial Quarter,2018/19 Q3,Highland,All Ages,Number of Hours,202990,8872475
Financial Quarter,2018/19 Q3,Highland,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2018/19 Q3,Highland,0-17 years,Number of People,0,170
Financial Quarter,2018/19 Q3,Highland,0-17 years,Number of Hours,0,24475
Financial Quarter,2018/19 Q3,Highland,18-64 years,"Rate per 1,000 Population",1.5,3.4
Financial Quarter,2018/19 Q3,Highland,18-64 years,Number of People,210,11505
Financial Quarter,2018/19 Q3,Highland,18-64 years,Number of Hours,22450,3361680
Financial Quarter,2018/19 Q3,Highland,65-74 years,"Rate per 1,000 Population",10,18
Financial Quarter,2018/19 Q3,Highland,65-74 years,Number of People,295,10260
Financial Quarter,2018/19 Q3,Highland,65-74 years,Number of Hours,30255,1236065
Financial Quarter,2018/19 Q3,Highland,75-84 years,"Rate per 1,000 Population",43.1,64.7
Financial Quarter,2018/19 Q3,Highland,75-84 years,Number of People,710,21445
Financial Quarter,2018/19 Q3,Highland,75-84 years,Number of Hours,64270,1995595
Financial Quarter,2018/19 Q3,Highland,85+ years,"Rate per 1,000 Population",146.4,187.9
Financial Quarter,2018/19 Q3,Highland,85+ years,Number of People,895,23180
Financial Quarter,2018/19 Q3,Highland,85+ years,Number of Hours,86015,2253990
Financial Quarter,2018/19 Q3,Highland,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Highland,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Highland,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,"Rate per 1,000 Population",17.7,12.2
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,Number of People,1380,66565
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,Number of Hours,120630,8872475
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,Number of People,0,170
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,Number of Hours,0,24475
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,"Rate per 1,000 Population",3.4,3.4
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,Number of People,160,11505
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,Number of Hours,17065,3361680
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,"Rate per 1,000 Population",26.7,18
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,Number of People,240,10260
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,Number of Hours,20495,1236065
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,"Rate per 1,000 Population",94,64.7
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,Number of People,500,21445
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,Number of Hours,42340,1995595
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,"Rate per 1,000 Population",231.1,187.9
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,Number of People,480,23180
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,Number of Hours,40730,2253990
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Midlothian,All Ages,"Rate per 1,000 Population",11.2,12.2
Financial Quarter,2018/19 Q3,Midlothian,All Ages,Number of People,1025,66565
Financial Quarter,2018/19 Q3,Midlothian,All Ages,Number of Hours,113210,8872475
Financial Quarter,2018/19 Q3,Midlothian,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2018/19 Q3,Midlothian,0-17 years,Number of People,0,170
Financial Quarter,2018/19 Q3,Midlothian,0-17 years,Number of Hours,35,24475
Financial Quarter,2018/19 Q3,Midlothian,18-64 years,"Rate per 1,000 Population",4,3.4
Financial Quarter,2018/19 Q3,Midlothian,18-64 years,Number of People,220,11505
Financial Quarter,2018/19 Q3,Midlothian,18-64 years,Number of Hours,40675,3361680
Financial Quarter,2018/19 Q3,Midlothian,65-74 years,"Rate per 1,000 Population",17.1,18
Financial Quarter,2018/19 Q3,Midlothian,65-74 years,Number of People,170,10260
Financial Quarter,2018/19 Q3,Midlothian,65-74 years,Number of Hours,17155,1236065
Financial Quarter,2018/19 Q3,Midlothian,75-84 years,"Rate per 1,000 Population",62.1,64.7
Financial Quarter,2018/19 Q3,Midlothian,75-84 years,Number of People,330,21445
Financial Quarter,2018/19 Q3,Midlothian,75-84 years,Number of Hours,29055,1995595
Financial Quarter,2018/19 Q3,Midlothian,85+ years,"Rate per 1,000 Population",171.6,187.9
Financial Quarter,2018/19 Q3,Midlothian,85+ years,Number of People,305,23180
Financial Quarter,2018/19 Q3,Midlothian,85+ years,Number of Hours,26295,2253990
Financial Quarter,2018/19 Q3,Midlothian,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Midlothian,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Midlothian,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Moray,All Ages,"Rate per 1,000 Population",12.7,12.2
Financial Quarter,2018/19 Q3,Moray,All Ages,Number of People,1210,66565
Financial Quarter,2018/19 Q3,Moray,All Ages,Number of Hours,207720,8872475
Financial Quarter,2018/19 Q3,Moray,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2018/19 Q3,Moray,0-17 years,Number of People,0,170
Financial Quarter,2018/19 Q3,Moray,0-17 years,Number of Hours,0,24475
Financial Quarter,2018/19 Q3,Moray,18-64 years,"Rate per 1,000 Population",4.7,3.4
Financial Quarter,2018/19 Q3,Moray,18-64 years,Number of People,265,11505
Financial Quarter,2018/19 Q3,Moray,18-64 years,Number of Hours,105085,3361680
Financial Quarter,2018/19 Q3,Moray,65-74 years,"Rate per 1,000 Population",14.2,18
Financial Quarter,2018/19 Q3,Moray,65-74 years,Number of People,160,10260
Financial Quarter,2018/19 Q3,Moray,65-74 years,Number of Hours,29345,1236065
Financial Quarter,2018/19 Q3,Moray,75-84 years,"Rate per 1,000 Population",52.6,64.7
Financial Quarter,2018/19 Q3,Moray,75-84 years,Number of People,350,21445
Financial Quarter,2018/19 Q3,Moray,75-84 years,Number of Hours,32365,1995595
Financial Quarter,2018/19 Q3,Moray,85+ years,"Rate per 1,000 Population",173.6,187.9
Financial Quarter,2018/19 Q3,Moray,85+ years,Number of People,440,23180
Financial Quarter,2018/19 Q3,Moray,85+ years,Number of Hours,40925,2253990
Financial Quarter,2018/19 Q3,Moray,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Moray,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Moray,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,North Ayrshire,All Ages,"Rate per 1,000 Population",18.8,12.2
Financial Quarter,2018/19 Q3,North Ayrshire,All Ages,Number of People,2545,66565
Financial Quarter,2018/19 Q3,North Ayrshire,All Ages,Number of Hours,374310,8872475
Financial Quarter,2018/19 Q3,North Ayrshire,0-17 years,"Rate per 1,000 Population",0.2,0.2
Financial Quarter,2018/19 Q3,North Ayrshire,0-17 years,Number of People,5,170
Financial Quarter,2018/19 Q3,North Ayrshire,0-17 years,Number of Hours,305,24475
Financial Quarter,2018/19 Q3,North Ayrshire,18-64 years,"Rate per 1,000 Population",6.7,3.4
Financial Quarter,2018/19 Q3,North Ayrshire,18-64 years,Number of People,530,11505
Financial Quarter,2018/19 Q3,North Ayrshire,18-64 years,Number of Hours,194330,3361680
Financial Quarter,2018/19 Q3,North Ayrshire,65-74 years,"Rate per 1,000 Population",25.4,18
Financial Quarter,2018/19 Q3,North Ayrshire,65-74 years,Number of People,435,10260
Financial Quarter,2018/19 Q3,North Ayrshire,65-74 years,Number of Hours,48560,1236065
Financial Quarter,2018/19 Q3,North Ayrshire,75-84 years,"Rate per 1,000 Population",82.3,64.7
Financial Quarter,2018/19 Q3,North Ayrshire,75-84 years,Number of People,795,21445
Financial Quarter,2018/19 Q3,North Ayrshire,75-84 years,Number of Hours,61770,1995595
Financial Quarter,2018/19 Q3,North Ayrshire,85+ years,"Rate per 1,000 Population",234.9,187.9
Financial Quarter,2018/19 Q3,North Ayrshire,85+ years,Number of People,780,23180
Financial Quarter,2018/19 Q3,North Ayrshire,85+ years,Number of Hours,69350,2253990
Financial Quarter,2018/19 Q3,North Ayrshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,North Ayrshire,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,North Ayrshire,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,North Lanarkshire,All Ages,"Rate per 1,000 Population",11.9,12.2
Financial Quarter,2018/19 Q3,North Lanarkshire,All Ages,Number of People,4055,66565
Financial Quarter,2018/19 Q3,North Lanarkshire,All Ages,Number of Hours,390750,8872475
Financial Quarter,2018/19 Q3,North Lanarkshire,0-17 years,"Rate per 1,000 Population",0.2,0.2
Financial Quarter,2018/19 Q3,North Lanarkshire,0-17 years,Number of People,15,170
Financial Quarter,2018/19 Q3,North Lanarkshire,0-17 years,Number of Hours,685,24475
Financial Quarter,2018/19 Q3,North Lanarkshire,18-64 years,"Rate per 1,000 Population",1.9,3.4
Financial Quarter,2018/19 Q3,North Lanarkshire,18-64 years,Number of People,405,11505
Financial Quarter,2018/19 Q3,North Lanarkshire,18-64 years,Number of Hours,36515,3361680
Financial Quarter,2018/19 Q3,North Lanarkshire,65-74 years,"Rate per 1,000 Population",22.9,18
Financial Quarter,2018/19 Q3,North Lanarkshire,65-74 years,Number of People,765,10260
Financial Quarter,2018/19 Q3,North Lanarkshire,65-74 years,Number of Hours,70705,1236065
Financial Quarter,2018/19 Q3,North Lanarkshire,75-84 years,"Rate per 1,000 Population",81.6,64.7
Financial Quarter,2018/19 Q3,North Lanarkshire,75-84 years,Number of People,1535,21445
Financial Quarter,2018/19 Q3,North Lanarkshire,75-84 years,Number of Hours,141955,1995595
Financial Quarter,2018/19 Q3,North Lanarkshire,85+ years,"Rate per 1,000 Population",232.6,187.9
Financial Quarter,2018/19 Q3,North Lanarkshire,85+ years,Number of People,1340,23180
Financial Quarter,2018/19 Q3,North Lanarkshire,85+ years,Number of Hours,140890,2253990
Financial Quarter,2018/19 Q3,North Lanarkshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,North Lanarkshire,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,North Lanarkshire,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Orkney Islands,All Ages,"Rate per 1,000 Population",9.9,12.2
Financial Quarter,2018/19 Q3,Orkney Islands,All Ages,Number of People,220,66565
Financial Quarter,2018/19 Q3,Orkney Islands,All Ages,Number of Hours,21065,8872475
Financial Quarter,2018/19 Q3,Orkney Islands,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2018/19 Q3,Orkney Islands,0-17 years,Number of People,0,170
Financial Quarter,2018/19 Q3,Orkney Islands,0-17 years,Number of Hours,0,24475
Financial Quarter,2018/19 Q3,Orkney Islands,18-64 years,"Rate per 1,000 Population",1.9,3.4
Financial Quarter,2018/19 Q3,Orkney Islands,18-64 years,Number of People,25,11505
Financial Quarter,2018/19 Q3,Orkney Islands,18-64 years,Number of Hours,2825,3361680
Financial Quarter,2018/19 Q3,Orkney Islands,65-74 years,"Rate per 1,000 Population",10.4,18
Financial Quarter,2018/19 Q3,Orkney Islands,65-74 years,Number of People,30,10260
Financial Quarter,2018/19 Q3,Orkney Islands,65-74 years,Number of Hours,3360,1236065
Financial Quarter,2018/19 Q3,Orkney Islands,75-84 years,"Rate per 1,000 Population",45.5,64.7
Financial Quarter,2018/19 Q3,Orkney Islands,75-84 years,Number of People,80,21445
Financial Quarter,2018/19 Q3,Orkney Islands,75-84 years,Number of Hours,5310,1995595
Financial Quarter,2018/19 Q3,Orkney Islands,85+ years,"Rate per 1,000 Population",153.6,187.9
Financial Quarter,2018/19 Q3,Orkney Islands,85+ years,Number of People,90,23180
Financial Quarter,2018/19 Q3,Orkney Islands,85+ years,Number of Hours,8910,2253990
Financial Quarter,2018/19 Q3,Perth and Kinross,All Ages,"Rate per 1,000 Population",12.1,12.2
Financial Quarter,2018/19 Q3,Perth and Kinross,All Ages,Number of People,1830,66565
Financial Quarter,2018/19 Q3,Perth and Kinross,All Ages,Number of Hours,248200,8872475
Financial Quarter,2018/19 Q3,Perth and Kinross,0-17 years,"Rate per 1,000 Population",0.2,0.2
Financial Quarter,2018/19 Q3,Perth and Kinross,0-17 years,Number of People,5,170
Financial Quarter,2018/19 Q3,Perth and Kinross,0-17 years,Number of Hours,1675,24475
Financial Quarter,2018/19 Q3,Perth and Kinross,18-64 years,"Rate per 1,000 Population",3.1,3.4
Financial Quarter,2018/19 Q3,Perth and Kinross,18-64 years,Number of People,275,11505
Financial Quarter,2018/19 Q3,Perth and Kinross,18-64 years,Number of Hours,94985,3361680
Financial Quarter,2018/19 Q3,Perth and Kinross,65-74 years,"Rate per 1,000 Population",12.7,18
Financial Quarter,2018/19 Q3,Perth and Kinross,65-74 years,Number of People,240,10260
Financial Quarter,2018/19 Q3,Perth and Kinross,65-74 years,Number of Hours,28310,1236065
Financial Quarter,2018/19 Q3,Perth and Kinross,75-84 years,"Rate per 1,000 Population",49.6,64.7
Financial Quarter,2018/19 Q3,Perth and Kinross,75-84 years,Number of People,570,21445
Financial Quarter,2018/19 Q3,Perth and Kinross,75-84 years,Number of Hours,52355,1995595
Financial Quarter,2018/19 Q3,Perth and Kinross,85+ years,"Rate per 1,000 Population",154.8,187.9
Financial Quarter,2018/19 Q3,Perth and Kinross,85+ years,Number of People,740,23180
Financial Quarter,2018/19 Q3,Perth and Kinross,85+ years,Number of Hours,70870,2253990
Financial Quarter,2018/19 Q3,Perth and Kinross,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2018/19 Q3,Perth and Kinross,Unknown,Number of People,0,0
Financial Quarter,2018/19 Q3,Perth and Kinross,Unknown,Number of Hours,0,0
Financial Quarter,2018/19 Q3,Renfrewshire,All Ages,"Rate per 1,000 Population",13.4,12.2
Financial Quarter,2018/19 Q3,Renfrewshire,All Ages,Number of People,2380,66565
Financial Quarter,2018/19 Q3,Renfrewshire,All Ages,Number of Hours,411475,8872475
Financial Quarter,2018/19 Q3,Renfrewshire,0-17 years,"Rate per 1,000 Population",0,0.2
Financial Quarter,2018/19 Q3,Renfrewshire,0-17 years,Number of People,0,170
Financial Quarter,2018/19 Q3,Renfrewshire,0-17 years,Number of Hours,440,24475
Financial Quarter,2018/19 Q3,Renfrewshire,18-64 years,"Rate per 1,000 Population",4.8,3.4
Financial Quarter,2018/19 Q3,Renfrewshire,18-64 years,Number of People,530,11505
Financial Quarter,2018/19 Q3,Renfrewshire,18-64 years,Number of Hours,233365,3361680
Financial Quarter,2018/19 Q3,Renfrewshire,65-74 years,"Rate per 1,000 Population",22.2,18
Financial Quarter,2018/19 Q3,Renfrewshire,65-74 years,Number of People,410,10260
Financial Quarter,2018/19 Q3,Renfrewshire,65-74 years,Number of Hours,58800,1236065
Financial Quarter,2018/19 Q3,Renfrewshire,75-84 years,"Rate per 1,000 Population",66.9,64.7
