time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,Number of Hours,89355,1933935
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Angus,All Ages,"Rate per 1,000 Population",9.9,12.5
Financial Quarter,2017/18 Q4,Angus,All Ages,Number of People,1150,67975
Financial Quarter,2017/18 Q4,Angus,All Ages,Number of Hours,90520,8347595
Financial Quarter,2017/18 Q4,Angus,0-17 years,"Rate per 1,000 Population",0.5,2.5
Financial Quarter,2017/18 Q4,Angus,0-17 years,Number of People,10,2560
Financial Quarter,2017/18 Q4,Angus,0-17 years,Number of Hours,515,77010
Financial Quarter,2017/18 Q4,Angus,18-64 years,"Rate per 1,000 Population",3.9,4
Financial Quarter,2017/18 Q4,Angus,18-64 years,Number of People,265,13585
Financial Quarter,2017/18 Q4,Angus,18-64 years,Number of Hours,27255,3070630
Financial Quarter,2017/18 Q4,Angus,65-74 years,"Rate per 1,000 Population",10.8,20.2
Financial Quarter,2017/18 Q4,Angus,65-74 years,Number of People,160,11395
Financial Quarter,2017/18 Q4,Angus,65-74 years,Number of Hours,16190,1127500
Financial Quarter,2017/18 Q4,Angus,75-84 years,"Rate per 1,000 Population",36.5,64.7
Financial Quarter,2017/18 Q4,Angus,75-84 years,Number of People,310,21100
Financial Quarter,2017/18 Q4,Angus,75-84 years,Number of Hours,21020,1752045
Financial Quarter,2017/18 Q4,Angus,85+ years,"Rate per 1,000 Population",117.1,181.1
Financial Quarter,2017/18 Q4,Angus,85+ years,Number of People,405,22065
Financial Quarter,2017/18 Q4,Angus,85+ years,Number of Hours,25545,1933935
Financial Quarter,2017/18 Q4,Angus,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Angus,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Angus,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,"Rate per 1,000 Population",16.8,12.5
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,Number of People,1455,67975
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,Number of Hours,184510,8347595
Financial Quarter,2017/18 Q4,Argyll and Bute,0-17 years,"Rate per 1,000 Population",0,2.5
Financial Quarter,2017/18 Q4,Argyll and Bute,0-17 years,Number of People,0,2560
Financial Quarter,2017/18 Q4,Argyll and Bute,0-17 years,Number of Hours,0,77010
Financial Quarter,2017/18 Q4,Argyll and Bute,18-64 years,"Rate per 1,000 Population",3.8,4
Financial Quarter,2017/18 Q4,Argyll and Bute,18-64 years,Number of People,190,13585
Financial Quarter,2017/18 Q4,Argyll and Bute,18-64 years,Number of Hours,42580,3070630
Financial Quarter,2017/18 Q4,Argyll and Bute,65-74 years,"Rate per 1,000 Population",16.6,20.2
Financial Quarter,2017/18 Q4,Argyll and Bute,65-74 years,Number of People,205,11395
Financial Quarter,2017/18 Q4,Argyll and Bute,65-74 years,Number of Hours,26810,1127500
Financial Quarter,2017/18 Q4,Argyll and Bute,75-84 years,"Rate per 1,000 Population",68.9,64.7
Financial Quarter,2017/18 Q4,Argyll and Bute,75-84 years,Number of People,480,21100
Financial Quarter,2017/18 Q4,Argyll and Bute,75-84 years,Number of Hours,49565,1752045
Financial Quarter,2017/18 Q4,Argyll and Bute,85+ years,"Rate per 1,000 Population",230.4,181.1
Financial Quarter,2017/18 Q4,Argyll and Bute,85+ years,Number of People,575,22065
Financial Quarter,2017/18 Q4,Argyll and Bute,85+ years,Number of Hours,65550,1933935
Financial Quarter,2017/18 Q4,Argyll and Bute,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Argyll and Bute,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Argyll and Bute,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,"Rate per 1,000 Population",10.3,12.5
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,Number of People,5295,67975
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,Number of Hours,1192495,8347595
Financial Quarter,2017/18 Q4,City of Edinburgh,0-17 years,"Rate per 1,000 Population",0,2.5
Financial Quarter,2017/18 Q4,City of Edinburgh,0-17 years,Number of People,0,2560
Financial Quarter,2017/18 Q4,City of Edinburgh,0-17 years,Number of Hours,185,77010
Financial Quarter,2017/18 Q4,City of Edinburgh,18-64 years,"Rate per 1,000 Population",4.5,4
Financial Quarter,2017/18 Q4,City of Edinburgh,18-64 years,Number of People,1585,13585
Financial Quarter,2017/18 Q4,City of Edinburgh,18-64 years,Number of Hours,649820,3070630
Financial Quarter,2017/18 Q4,City of Edinburgh,65-74 years,"Rate per 1,000 Population",16.7,20.2
Financial Quarter,2017/18 Q4,City of Edinburgh,65-74 years,Number of People,690,11395
Financial Quarter,2017/18 Q4,City of Edinburgh,65-74 years,Number of Hours,143325,1127500
Financial Quarter,2017/18 Q4,City of Edinburgh,75-84 years,"Rate per 1,000 Population",52.5,64.7
Financial Quarter,2017/18 Q4,City of Edinburgh,75-84 years,Number of People,1295,21100
Financial Quarter,2017/18 Q4,City of Edinburgh,75-84 years,Number of Hours,168215,1752045
Financial Quarter,2017/18 Q4,City of Edinburgh,85+ years,"Rate per 1,000 Population",154.5,181.1
Financial Quarter,2017/18 Q4,City of Edinburgh,85+ years,Number of People,1720,22065
Financial Quarter,2017/18 Q4,City of Edinburgh,85+ years,Number of Hours,230950,1933935
Financial Quarter,2017/18 Q4,City of Edinburgh,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,City of Edinburgh,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,City of Edinburgh,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Clackmannanshire,All Ages,"Rate per 1,000 Population",16.7,12.5
Financial Quarter,2017/18 Q4,Clackmannanshire,All Ages,Number of People,860,67975
Financial Quarter,2017/18 Q4,Clackmannanshire,All Ages,Number of Hours,133285,8347595
Financial Quarter,2017/18 Q4,Clackmannanshire,0-17 years,"Rate per 1,000 Population",0.5,2.5
Financial Quarter,2017/18 Q4,Clackmannanshire,0-17 years,Number of People,5,2560
Financial Quarter,2017/18 Q4,Clackmannanshire,0-17 years,Number of Hours,370,77010
Financial Quarter,2017/18 Q4,Clackmannanshire,18-64 years,"Rate per 1,000 Population",6.6,4
Financial Quarter,2017/18 Q4,Clackmannanshire,18-64 years,Number of People,205,13585
Financial Quarter,2017/18 Q4,Clackmannanshire,18-64 years,Number of Hours,60900,3070630
Financial Quarter,2017/18 Q4,Clackmannanshire,65-74 years,"Rate per 1,000 Population",25.8,20.2
Financial Quarter,2017/18 Q4,Clackmannanshire,65-74 years,Number of People,155,11395
Financial Quarter,2017/18 Q4,Clackmannanshire,65-74 years,Number of Hours,20465,1127500
Financial Quarter,2017/18 Q4,Clackmannanshire,75-84 years,"Rate per 1,000 Population",82.8,64.7
Financial Quarter,2017/18 Q4,Clackmannanshire,75-84 years,Number of People,250,21100
Financial Quarter,2017/18 Q4,Clackmannanshire,75-84 years,Number of Hours,24950,1752045
Financial Quarter,2017/18 Q4,Clackmannanshire,85+ years,"Rate per 1,000 Population",246.3,181.1
Financial Quarter,2017/18 Q4,Clackmannanshire,85+ years,Number of People,250,22065
Financial Quarter,2017/18 Q4,Clackmannanshire,85+ years,Number of Hours,26600,1933935
Financial Quarter,2017/18 Q4,Clackmannanshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Clackmannanshire,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Clackmannanshire,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.5,12.5
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Number of People,390,67975
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Number of Hours,21610,8347595
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,"Rate per 1,000 Population",0,2.5
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Number of People,0,2560
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Number of Hours,0,77010
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,"Rate per 1,000 Population",2.3,4
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Number of People,35,13585
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Number of Hours,2280,3070630
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,"Rate per 1,000 Population",16.4,20.2
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Number of People,60,11395
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Number of Hours,3135,1127500
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,"Rate per 1,000 Population",54.1,64.7
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Number of People,120,21100
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Number of Hours,6635,1752045
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,85+ years,"Rate per 1,000 Population",206.4,181.1
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Number of People,180,22065
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Number of Hours,9560,1933935
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.3,12.5
Financial Quarter,2017/18 Q4,Dumfries and Galloway,All Ages,Number of People,2425,67975
Financial Quarter,2017/18 Q4,Dumfries and Galloway,All Ages,Number of Hours,429210,8347595
Financial Quarter,2017/18 Q4,Dumfries and Galloway,0-17 years,"Rate per 1,000 Population",0.4,2.5
Financial Quarter,2017/18 Q4,Dumfries and Galloway,0-17 years,Number of People,10,2560
Financial Quarter,2017/18 Q4,Dumfries and Galloway,0-17 years,Number of Hours,2075,77010
Financial Quarter,2017/18 Q4,Dumfries and Galloway,18-64 years,"Rate per 1,000 Population",6.9,4
Financial Quarter,2017/18 Q4,Dumfries and Galloway,18-64 years,Number of People,590,13585
Financial Quarter,2017/18 Q4,Dumfries and Galloway,18-64 years,Number of Hours,219830,3070630
Financial Quarter,2017/18 Q4,Dumfries and Galloway,65-74 years,"Rate per 1,000 Population",17.9,20.2
Financial Quarter,2017/18 Q4,Dumfries and Galloway,65-74 years,Number of People,370,11395
Financial Quarter,2017/18 Q4,Dumfries and Galloway,65-74 years,Number of Hours,56015,1127500
Financial Quarter,2017/18 Q4,Dumfries and Galloway,75-84 years,"Rate per 1,000 Population",54.4,64.7
Financial Quarter,2017/18 Q4,Dumfries and Galloway,75-84 years,Number of People,670,21100
Financial Quarter,2017/18 Q4,Dumfries and Galloway,75-84 years,Number of Hours,66230,1752045
