financial_year,sending_location,age_group,sds_option,nclients,percentage
2018/19,City of Edinburgh,All Ages,Option 1 Only,1245,21
2018/19,City of Edinburgh,0-17 years,Option 1 Only,100,95
2018/19,City of Edinburgh,18-64 years,Option 1 Only,565,29
2018/19,City of Edinburgh,65-74 years,Option 1 Only,110,15
2018/19,City of Edinburgh,75-84 years,Option 1 Only,185,14
2018/19,City of Edinburgh,85+ years,Option 1 Only,290,15
2018/19,City of Edinburgh,Unknown,Option 1 Only,0,NA
2018/19,City of Edinburgh,All Ages,Option 2 Only,325,5
2018/19,City of Edinburgh,0-17 years,Option 2 Only,0,0
2018/19,City of Edinburgh,18-64 years,Option 2 Only,115,6
2018/19,City of Edinburgh,65-74 years,Option 2 Only,40,5
2018/19,City of Edinburgh,75-84 years,Option 2 Only,65,5
2018/19,City of Edinburgh,85+ years,Option 2 Only,110,6
2018/19,City of Edinburgh,Unknown,Option 2 Only,0,NA
2018/19,City of Edinburgh,All Ages,Option 3 Only,4035,67
2018/19,City of Edinburgh,0-17 years,Option 3 Only,5,5
2018/19,City of Edinburgh,18-64 years,Option 3 Only,1105,57
2018/19,City of Edinburgh,65-74 years,Option 3 Only,540,72
2018/19,City of Edinburgh,75-84 years,Option 3 Only,980,74
2018/19,City of Edinburgh,85+ years,Option 3 Only,1410,73
2018/19,City of Edinburgh,Unknown,Option 3 Only,0,NA
2018/19,City of Edinburgh,All Ages,Option 4 Only,430,7
2018/19,City of Edinburgh,0-17 years,Option 4 Only,0,0
2018/19,City of Edinburgh,18-64 years,Option 4 Only,165,8
2018/19,City of Edinburgh,65-74 years,Option 4 Only,60,8
2018/19,City of Edinburgh,75-84 years,Option 4 Only,90,7
2018/19,City of Edinburgh,85+ years,Option 4 Only,110,6
2018/19,City of Edinburgh,Unknown,Option 4 Only,0,NA
2019/20,City of Edinburgh,All Ages,Option 1 Only,1340,21
2019/20,City of Edinburgh,0-17 years,Option 1 Only,135,96
2019/20,City of Edinburgh,18-64 years,Option 1 Only,560,26
2019/20,City of Edinburgh,65-74 years,Option 1 Only,125,16
2019/20,City of Edinburgh,75-84 years,Option 1 Only,210,15
2019/20,City of Edinburgh,85+ years,Option 1 Only,310,16
2019/20,City of Edinburgh,Unknown,Option 1 Only,0,0
2019/20,City of Edinburgh,All Ages,Option 2 Only,345,5
2019/20,City of Edinburgh,0-17 years,Option 2 Only,0,0
2019/20,City of Edinburgh,18-64 years,Option 2 Only,160,7
2019/20,City of Edinburgh,65-74 years,Option 2 Only,45,6
2019/20,City of Edinburgh,75-84 years,Option 2 Only,55,4
2019/20,City of Edinburgh,85+ years,Option 2 Only,85,4
2019/20,City of Edinburgh,Unknown,Option 2 Only,0,0
2019/20,City of Edinburgh,All Ages,Option 3 Only,4310,67
2019/20,City of Edinburgh,0-17 years,Option 3 Only,5,4
2019/20,City of Edinburgh,18-64 years,Option 3 Only,1250,58
2019/20,City of Edinburgh,65-74 years,Option 3 Only,575,72
2019/20,City of Edinburgh,75-84 years,Option 3 Only,1030,75
2019/20,City of Edinburgh,85+ years,Option 3 Only,1450,75
2019/20,City of Edinburgh,Unknown,Option 3 Only,5,100
2019/20,City of Edinburgh,All Ages,Option 4 Only,420,7
2019/20,City of Edinburgh,0-17 years,Option 4 Only,0,0
2019/20,City of Edinburgh,18-64 years,Option 4 Only,195,9
2019/20,City of Edinburgh,65-74 years,Option 4 Only,50,6
2019/20,City of Edinburgh,75-84 years,Option 4 Only,75,5
2019/20,City of Edinburgh,85+ years,Option 4 Only,95,5
2019/20,City of Edinburgh,Unknown,Option 4 Only,0,0
2020/21,City of Edinburgh,All Ages,Option 1 Only,1345,15
2020/21,City of Edinburgh,0-17 years,Option 1 Only,135,96
2020/21,City of Edinburgh,18-64 years,Option 1 Only,510,17
2020/21,City of Edinburgh,65-74 years,Option 1 Only,135,12
2020/21,City of Edinburgh,75-84 years,Option 1 Only,225,12
2020/21,City of Edinburgh,85+ years,Option 1 Only,345,13
2020/21,City of Edinburgh,Unknown,Option 1 Only,0,0
2020/21,City of Edinburgh,All Ages,Option 2 Only,290,3
2020/21,City of Edinburgh,0-17 years,Option 2 Only,0,0
2020/21,City of Edinburgh,18-64 years,Option 2 Only,130,4
2020/21,City of Edinburgh,65-74 years,Option 2 Only,30,3
2020/21,City of Edinburgh,75-84 years,Option 2 Only,55,3
2020/21,City of Edinburgh,85+ years,Option 2 Only,75,3
2020/21,City of Edinburgh,Unknown,Option 2 Only,0,0
2020/21,City of Edinburgh,All Ages,Option 3 Only,6545,75
2020/21,City of Edinburgh,0-17 years,Option 3 Only,5,4
2020/21,City of Edinburgh,18-64 years,Option 3 Only,2095,69
2020/21,City of Edinburgh,65-74 years,Option 3 Only,870,79
2020/21,City of Edinburgh,75-84 years,Option 3 Only,1475,80
2020/21,City of Edinburgh,85+ years,Option 3 Only,2090,80
2020/21,City of Edinburgh,Unknown,Option 3 Only,5,100
2020/21,City of Edinburgh,All Ages,Option 4 Only,565,6
2020/21,City of Edinburgh,0-17 years,Option 4 Only,0,0
2020/21,City of Edinburgh,18-64 years,Option 4 Only,305,10
2020/21,City of Edinburgh,65-74 years,Option 4 Only,65,6
2020/21,City of Edinburgh,75-84 years,Option 4 Only,90,5
2020/21,City of Edinburgh,85+ years,Option 4 Only,105,4
2020/21,City of Edinburgh,Unknown,Option 4 Only,0,0
2017/18,Clackmannanshire,All Ages,Option 1 Only,15,1
2017/18,Clackmannanshire,0-17 years,Option 1 Only,0,0
2017/18,Clackmannanshire,18-64 years,Option 1 Only,10,2
2017/18,Clackmannanshire,65-74 years,Option 1 Only,5,1
2017/18,Clackmannanshire,75-84 years,Option 1 Only,0,0
2017/18,Clackmannanshire,85+ years,Option 1 Only,0,0
2017/18,Clackmannanshire,Unknown,Option 1 Only,0,NA
2017/18,Clackmannanshire,All Ages,Option 2 Only,5,0
2017/18,Clackmannanshire,0-17 years,Option 2 Only,0,0
2017/18,Clackmannanshire,18-64 years,Option 2 Only,5,1
2017/18,Clackmannanshire,65-74 years,Option 2 Only,0,0
2017/18,Clackmannanshire,75-84 years,Option 2 Only,0,0
2017/18,Clackmannanshire,85+ years,Option 2 Only,0,0
2017/18,Clackmannanshire,Unknown,Option 2 Only,0,NA
2017/18,Clackmannanshire,All Ages,Option 3 Only,2470,96
2017/18,Clackmannanshire,0-17 years,Option 3 Only,5,100
2017/18,Clackmannanshire,18-64 years,Option 3 Only,500,90
2017/18,Clackmannanshire,65-74 years,Option 3 Only,430,98
2017/18,Clackmannanshire,75-84 years,Option 3 Only,830,98
2017/18,Clackmannanshire,85+ years,Option 3 Only,705,99
2017/18,Clackmannanshire,Unknown,Option 3 Only,0,NA
2017/18,Clackmannanshire,All Ages,Option 4 Only,75,3
2017/18,Clackmannanshire,0-17 years,Option 4 Only,0,0
2017/18,Clackmannanshire,18-64 years,Option 4 Only,40,7
2017/18,Clackmannanshire,65-74 years,Option 4 Only,5,1
2017/18,Clackmannanshire,75-84 years,Option 4 Only,15,2
2017/18,Clackmannanshire,85+ years,Option 4 Only,10,1
2017/18,Clackmannanshire,Unknown,Option 4 Only,0,NA
2018/19,Clackmannanshire,All Ages,Option 1 Only,10,0
2018/19,Clackmannanshire,0-17 years,Option 1 Only,0,0
2018/19,Clackmannanshire,18-64 years,Option 1 Only,10,2
2018/19,Clackmannanshire,65-74 years,Option 1 Only,0,0
2018/19,Clackmannanshire,75-84 years,Option 1 Only,0,0
2018/19,Clackmannanshire,85+ years,Option 1 Only,0,0
2018/19,Clackmannanshire,Unknown,Option 1 Only,0,NA
2018/19,Clackmannanshire,All Ages,Option 2 Only,5,0
2018/19,Clackmannanshire,0-17 years,Option 2 Only,0,0
2018/19,Clackmannanshire,18-64 years,Option 2 Only,5,1
2018/19,Clackmannanshire,65-74 years,Option 2 Only,0,0
2018/19,Clackmannanshire,75-84 years,Option 2 Only,0,0
2018/19,Clackmannanshire,85+ years,Option 2 Only,0,0
2018/19,Clackmannanshire,Unknown,Option 2 Only,0,NA
2018/19,Clackmannanshire,All Ages,Option 3 Only,2435,96
2018/19,Clackmannanshire,0-17 years,Option 3 Only,5,100
2018/19,Clackmannanshire,18-64 years,Option 3 Only,485,90
2018/19,Clackmannanshire,65-74 years,Option 3 Only,420,99
2018/19,Clackmannanshire,75-84 years,Option 3 Only,850,98
2018/19,Clackmannanshire,85+ years,Option 3 Only,675,99
2018/19,Clackmannanshire,Unknown,Option 3 Only,0,NA
2018/19,Clackmannanshire,All Ages,Option 4 Only,75,3
2018/19,Clackmannanshire,0-17 years,Option 4 Only,0,0
2018/19,Clackmannanshire,18-64 years,Option 4 Only,40,7
2018/19,Clackmannanshire,65-74 years,Option 4 Only,5,1
2018/19,Clackmannanshire,75-84 years,Option 4 Only,20,2
2018/19,Clackmannanshire,85+ years,Option 4 Only,10,1
2018/19,Clackmannanshire,Unknown,Option 4 Only,0,NA
2019/20,Clackmannanshire,All Ages,Option 1 Only,10,0
2019/20,Clackmannanshire,0-17 years,Option 1 Only,0,0
2019/20,Clackmannanshire,18-64 years,Option 1 Only,5,1
2019/20,Clackmannanshire,65-74 years,Option 1 Only,0,0
2019/20,Clackmannanshire,75-84 years,Option 1 Only,0,0
2019/20,Clackmannanshire,85+ years,Option 1 Only,0,0
2019/20,Clackmannanshire,Unknown,Option 1 Only,0,NA
2019/20,Clackmannanshire,All Ages,Option 2 Only,10,0
2019/20,Clackmannanshire,0-17 years,Option 2 Only,0,0
2019/20,Clackmannanshire,18-64 years,Option 2 Only,5,1
2019/20,Clackmannanshire,65-74 years,Option 2 Only,0,0
2019/20,Clackmannanshire,75-84 years,Option 2 Only,0,0
2019/20,Clackmannanshire,85+ years,Option 2 Only,0,0
2019/20,Clackmannanshire,Unknown,Option 2 Only,0,NA
2019/20,Clackmannanshire,All Ages,Option 3 Only,2470,96
2019/20,Clackmannanshire,0-17 years,Option 3 Only,5,100
2019/20,Clackmannanshire,18-64 years,Option 3 Only,470,89
2019/20,Clackmannanshire,65-74 years,Option 3 Only,425,99
2019/20,Clackmannanshire,75-84 years,Option 3 Only,865,99
2019/20,Clackmannanshire,85+ years,Option 3 Only,705,99
2019/20,Clackmannanshire,Unknown,Option 3 Only,0,NA
2019/20,Clackmannanshire,All Ages,Option 4 Only,80,3
2019/20,Clackmannanshire,0-17 years,Option 4 Only,0,0
2019/20,Clackmannanshire,18-64 years,Option 4 Only,50,9
2019/20,Clackmannanshire,65-74 years,Option 4 Only,5,1
2019/20,Clackmannanshire,75-84 years,Option 4 Only,10,1
2019/20,Clackmannanshire,85+ years,Option 4 Only,10,1
2019/20,Clackmannanshire,Unknown,Option 4 Only,0,NA
2020/21,Clackmannanshire,All Ages,Option 1 Only,10,0
2020/21,Clackmannanshire,0-17 years,Option 1 Only,0,0
2020/21,Clackmannanshire,18-64 years,Option 1 Only,10,2
2020/21,Clackmannanshire,65-74 years,Option 1 Only,0,0
2020/21,Clackmannanshire,75-84 years,Option 1 Only,0,0
2020/21,Clackmannanshire,85+ years,Option 1 Only,0,0
2020/21,Clackmannanshire,Unknown,Option 1 Only,0,NA
2020/21,Clackmannanshire,All Ages,Option 2 Only,5,0
2020/21,Clackmannanshire,0-17 years,Option 2 Only,0,0
2020/21,Clackmannanshire,18-64 years,Option 2 Only,5,1
2020/21,Clackmannanshire,65-74 years,Option 2 Only,0,0
2020/21,Clackmannanshire,75-84 years,Option 2 Only,0,0
2020/21,Clackmannanshire,85+ years,Option 2 Only,0,0
2020/21,Clackmannanshire,Unknown,Option 2 Only,0,NA
2020/21,Clackmannanshire,All Ages,Option 3 Only,2460,97
2020/21,Clackmannanshire,0-17 years,Option 3 Only,5,100
2020/21,Clackmannanshire,18-64 years,Option 3 Only,495,92
2020/21,Clackmannanshire,65-74 years,Option 3 Only,400,98
2020/21,Clackmannanshire,75-84 years,Option 3 Only,860,99
2020/21,Clackmannanshire,85+ years,Option 3 Only,705,99
2020/21,Clackmannanshire,Unknown,Option 3 Only,0,NA
2020/21,Clackmannanshire,All Ages,Option 4 Only,55,2
2020/21,Clackmannanshire,0-17 years,Option 4 Only,0,0
2020/21,Clackmannanshire,18-64 years,Option 4 Only,30,6
2020/21,Clackmannanshire,65-74 years,Option 4 Only,10,2
2020/21,Clackmannanshire,75-84 years,Option 4 Only,10,1
2020/21,Clackmannanshire,85+ years,Option 4 Only,5,1
2020/21,Clackmannanshire,Unknown,Option 4 Only,0,NA
2017/18,Comhairle nan Eilean Siar,All Ages,Option 1 Only,90,45
2017/18,Comhairle nan Eilean Siar,0-17 years,Option 1 Only,0,NA
2017/18,Comhairle nan Eilean Siar,18-64 years,Option 1 Only,35,58
2017/18,Comhairle nan Eilean Siar,65-74 years,Option 1 Only,15,75
2017/18,Comhairle nan Eilean Siar,75-84 years,Option 1 Only,20,36
2017/18,Comhairle nan Eilean Siar,85+ years,Option 1 Only,25,38
2017/18,Comhairle nan Eilean Siar,Unknown,Option 1 Only,0,NA
2017/18,Comhairle nan Eilean Siar,All Ages,Option 2 Only,100,50
2017/18,Comhairle nan Eilean Siar,0-17 years,Option 2 Only,0,NA
2017/18,Comhairle nan Eilean Siar,18-64 years,Option 2 Only,20,33
2017/18,Comhairle nan Eilean Siar,65-74 years,Option 2 Only,5,25
2017/18,Comhairle nan Eilean Siar,75-84 years,Option 2 Only,35,64
2017/18,Comhairle nan Eilean Siar,85+ years,Option 2 Only,40,62
2017/18,Comhairle nan Eilean Siar,Unknown,Option 2 Only,0,NA
2017/18,Comhairle nan Eilean Siar,All Ages,Option 3 Only,0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Option 3 Only,0,NA
2017/18,Comhairle nan Eilean Siar,18-64 years,Option 3 Only,0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Option 3 Only,0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Option 3 Only,0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Option 3 Only,0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Option 3 Only,0,NA
2017/18,Comhairle nan Eilean Siar,All Ages,Option 4 Only,10,5
2017/18,Comhairle nan Eilean Siar,0-17 years,Option 4 Only,0,NA
2017/18,Comhairle nan Eilean Siar,18-64 years,Option 4 Only,5,8
2017/18,Comhairle nan Eilean Siar,65-74 years,Option 4 Only,0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Option 4 Only,0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Option 4 Only,0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Option 4 Only,0,NA
2018/19,Comhairle nan Eilean Siar,All Ages,Option 1 Only,60,10
2018/19,Comhairle nan Eilean Siar,0-17 years,Option 1 Only,0,NA
2018/19,Comhairle nan Eilean Siar,18-64 years,Option 1 Only,25,29
2018/19,Comhairle nan Eilean Siar,65-74 years,Option 1 Only,10,11
2018/19,Comhairle nan Eilean Siar,75-84 years,Option 1 Only,10,6
2018/19,Comhairle nan Eilean Siar,85+ years,Option 1 Only,10,4
2018/19,Comhairle nan Eilean Siar,Unknown,Option 1 Only,0,NA
2018/19,Comhairle nan Eilean Siar,All Ages,Option 2 Only,15,2
2018/19,Comhairle nan Eilean Siar,0-17 years,Option 2 Only,0,NA
2018/19,Comhairle nan Eilean Siar,18-64 years,Option 2 Only,5,6
2018/19,Comhairle nan Eilean Siar,65-74 years,Option 2 Only,5,6
2018/19,Comhairle nan Eilean Siar,75-84 years,Option 2 Only,5,3
2018/19,Comhairle nan Eilean Siar,85+ years,Option 2 Only,5,2
2018/19,Comhairle nan Eilean Siar,Unknown,Option 2 Only,0,NA
2018/19,Comhairle nan Eilean Siar,All Ages,Option 3 Only,495,80
2018/19,Comhairle nan Eilean Siar,0-17 years,Option 3 Only,0,NA
2018/19,Comhairle nan Eilean Siar,18-64 years,Option 3 Only,45,53
2018/19,Comhairle nan Eilean Siar,65-74 years,Option 3 Only,65,72
2018/19,Comhairle nan Eilean Siar,75-84 years,Option 3 Only,150,86
2018/19,Comhairle nan Eilean Siar,85+ years,Option 3 Only,230,87
2018/19,Comhairle nan Eilean Siar,Unknown,Option 3 Only,0,NA
2018/19,Comhairle nan Eilean Siar,All Ages,Option 4 Only,45,7
2018/19,Comhairle nan Eilean Siar,0-17 years,Option 4 Only,0,NA
2018/19,Comhairle nan Eilean Siar,18-64 years,Option 4 Only,10,12
2018/19,Comhairle nan Eilean Siar,65-74 years,Option 4 Only,10,11
2018/19,Comhairle nan Eilean Siar,75-84 years,Option 4 Only,10,6
2018/19,Comhairle nan Eilean Siar,85+ years,Option 4 Only,20,8
2018/19,Comhairle nan Eilean Siar,Unknown,Option 4 Only,0,NA
2019/20,Comhairle nan Eilean Siar,All Ages,Option 1 Only,75,71
2019/20,Comhairle nan Eilean Siar,0-17 years,Option 1 Only,0,NA
2019/20,Comhairle nan Eilean Siar,18-64 years,Option 1 Only,30,86
2019/20,Comhairle nan Eilean Siar,65-74 years,Option 1 Only,10,67
2019/20,Comhairle nan Eilean Siar,75-84 years,Option 1 Only,15,75
2019/20,Comhairle nan Eilean Siar,85+ years,Option 1 Only,15,60
2019/20,Comhairle nan Eilean Siar,Unknown,Option 1 Only,0,NA
2019/20,Comhairle nan Eilean Siar,All Ages,Option 2 Only,0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Option 2 Only,0,NA
2019/20,Comhairle nan Eilean Siar,18-64 years,Option 2 Only,0,0
2019/20,Comhairle nan Eilean Siar,65-74 years,Option 2 Only,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Option 2 Only,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Option 2 Only,0,0
2019/20,Comhairle nan Eilean Siar,Unknown,Option 2 Only,0,NA
2019/20,Comhairle nan Eilean Siar,All Ages,Option 3 Only,0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Option 3 Only,0,NA
2019/20,Comhairle nan Eilean Siar,18-64 years,Option 3 Only,0,0
2019/20,Comhairle nan Eilean Siar,65-74 years,Option 3 Only,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Option 3 Only,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Option 3 Only,0,0
2019/20,Comhairle nan Eilean Siar,Unknown,Option 3 Only,0,NA
2019/20,Comhairle nan Eilean Siar,All Ages,Option 4 Only,30,29
2019/20,Comhairle nan Eilean Siar,0-17 years,Option 4 Only,0,NA
2019/20,Comhairle nan Eilean Siar,18-64 years,Option 4 Only,5,14
2019/20,Comhairle nan Eilean Siar,65-74 years,Option 4 Only,5,33
2019/20,Comhairle nan Eilean Siar,75-84 years,Option 4 Only,5,25
2019/20,Comhairle nan Eilean Siar,85+ years,Option 4 Only,10,40
2019/20,Comhairle nan Eilean Siar,Unknown,Option 4 Only,0,NA
2020/21,Comhairle nan Eilean Siar,All Ages,Option 1 Only,85,12
2020/21,Comhairle nan Eilean Siar,0-17 years,Option 1 Only,0,NA
2020/21,Comhairle nan Eilean Siar,18-64 years,Option 1 Only,30,29
2020/21,Comhairle nan Eilean Siar,65-74 years,Option 1 Only,10,12
2020/21,Comhairle nan Eilean Siar,75-84 years,Option 1 Only,20,12
2020/21,Comhairle nan Eilean Siar,85+ years,Option 1 Only,20,7
2020/21,Comhairle nan Eilean Siar,Unknown,Option 1 Only,5,14
2020/21,Comhairle nan Eilean Siar,All Ages,Option 2 Only,15,2
2020/21,Comhairle nan Eilean Siar,0-17 years,Option 2 Only,0,NA
2020/21,Comhairle nan Eilean Siar,18-64 years,Option 2 Only,0,0
2020/21,Comhairle nan Eilean Siar,65-74 years,Option 2 Only,0,0
2020/21,Comhairle nan Eilean Siar,75-84 years,Option 2 Only,5,3
2020/21,Comhairle nan Eilean Siar,85+ years,Option 2 Only,5,2
2020/21,Comhairle nan Eilean Siar,Unknown,Option 2 Only,0,0
2020/21,Comhairle nan Eilean Siar,All Ages,Option 3 Only,505,74
2020/21,Comhairle nan Eilean Siar,0-17 years,Option 3 Only,0,NA
2020/21,Comhairle nan Eilean Siar,18-64 years,Option 3 Only,55,52
2020/21,Comhairle nan Eilean Siar,65-74 years,Option 3 Only,65,76
2020/21,Comhairle nan Eilean Siar,75-84 years,Option 3 Only,130,76
2020/21,Comhairle nan Eilean Siar,85+ years,Option 3 Only,225,80
2020/21,Comhairle nan Eilean Siar,Unknown,Option 3 Only,30,86
2020/21,Comhairle nan Eilean Siar,All Ages,Option 4 Only,75,11
2020/21,Comhairle nan Eilean Siar,0-17 years,Option 4 Only,0,NA
2020/21,Comhairle nan Eilean Siar,18-64 years,Option 4 Only,20,19
2020/21,Comhairle nan Eilean Siar,65-74 years,Option 4 Only,10,12
2020/21,Comhairle nan Eilean Siar,75-84 years,Option 4 Only,15,9
2020/21,Comhairle nan Eilean Siar,85+ years,Option 4 Only,30,11
2020/21,Comhairle nan Eilean Siar,Unknown,Option 4 Only,0,0
2017/18,Dumfries and Galloway,All Ages,Option 1 Only,245,3
2017/18,Dumfries and Galloway,0-17 years,Option 1 Only,55,52
2017/18,Dumfries and Galloway,18-64 years,Option 1 Only,115,10
2017/18,Dumfries and Galloway,65-74 years,Option 1 Only,30,3
2017/18,Dumfries and Galloway,75-84 years,Option 1 Only,25,1
2017/18,Dumfries and Galloway,85+ years,Option 1 Only,20,1
2017/18,Dumfries and Galloway,Unknown,Option 1 Only,0,NA
2017/18,Dumfries and Galloway,All Ages,Option 2 Only,0,0
2017/18,Dumfries and Galloway,0-17 years,Option 2 Only,0,0
2017/18,Dumfries and Galloway,18-64 years,Option 2 Only,0,0
2017/18,Dumfries and Galloway,65-74 years,Option 2 Only,0,0
2017/18,Dumfries and Galloway,75-84 years,Option 2 Only,0,0
2017/18,Dumfries and Galloway,85+ years,Option 2 Only,0,0
2017/18,Dumfries and Galloway,Unknown,Option 2 Only,0,NA
2017/18,Dumfries and Galloway,All Ages,Option 3 Only,6565,93
2017/18,Dumfries and Galloway,0-17 years,Option 3 Only,40,38
2017/18,Dumfries and Galloway,18-64 years,Option 3 Only,965,82
2017/18,Dumfries and Galloway,65-74 years,Option 3 Only,825,94
2017/18,Dumfries and Galloway,75-84 years,Option 3 Only,2095,96
2017/18,Dumfries and Galloway,85+ years,Option 3 Only,2635,98
2017/18,Dumfries and Galloway,Unknown,Option 3 Only,0,NA
2017/18,Dumfries and Galloway,All Ages,Option 4 Only,225,3
2017/18,Dumfries and Galloway,0-17 years,Option 4 Only,10,10
2017/18,Dumfries and Galloway,18-64 years,Option 4 Only,90,8
2017/18,Dumfries and Galloway,65-74 years,Option 4 Only,20,2
2017/18,Dumfries and Galloway,75-84 years,Option 4 Only,60,3
2017/18,Dumfries and Galloway,85+ years,Option 4 Only,45,2
2017/18,Dumfries and Galloway,Unknown,Option 4 Only,0,NA
2018/19,Dumfries and Galloway,All Ages,Option 1 Only,260,4
2018/19,Dumfries and Galloway,0-17 years,Option 1 Only,65,93
2018/19,Dumfries and Galloway,18-64 years,Option 1 Only,120,10
2018/19,Dumfries and Galloway,65-74 years,Option 1 Only,30,3
2018/19,Dumfries and Galloway,75-84 years,Option 1 Only,25,1
2018/19,Dumfries and Galloway,85+ years,Option 1 Only,20,1
2018/19,Dumfries and Galloway,Unknown,Option 1 Only,0,NA
2018/19,Dumfries and Galloway,All Ages,Option 2 Only,0,0
2018/19,Dumfries and Galloway,0-17 years,Option 2 Only,0,0
2018/19,Dumfries and Galloway,18-64 years,Option 2 Only,0,0
2018/19,Dumfries and Galloway,65-74 years,Option 2 Only,0,0
2018/19,Dumfries and Galloway,75-84 years,Option 2 Only,0,0
2018/19,Dumfries and Galloway,85+ years,Option 2 Only,0,0
2018/19,Dumfries and Galloway,Unknown,Option 2 Only,0,NA
2018/19,Dumfries and Galloway,All Ages,Option 3 Only,6475,93
2018/19,Dumfries and Galloway,0-17 years,Option 3 Only,5,7
2018/19,Dumfries and Galloway,18-64 years,Option 3 Only,930,80
2018/19,Dumfries and Galloway,65-74 years,Option 3 Only,830,95
2018/19,Dumfries and Galloway,75-84 years,Option 3 Only,2115,96
2018/19,Dumfries and Galloway,85+ years,Option 3 Only,2590,97
2018/19,Dumfries and Galloway,Unknown,Option 3 Only,0,NA
2018/19,Dumfries and Galloway,All Ages,Option 4 Only,245,4
2018/19,Dumfries and Galloway,0-17 years,Option 4 Only,0,0
2018/19,Dumfries and Galloway,18-64 years,Option 4 Only,110,9
2018/19,Dumfries and Galloway,65-74 years,Option 4 Only,15,2
2018/19,Dumfries and Galloway,75-84 years,Option 4 Only,60,3
2018/19,Dumfries and Galloway,85+ years,Option 4 Only,55,2
2018/19,Dumfries and Galloway,Unknown,Option 4 Only,0,NA
2019/20,Dumfries and Galloway,All Ages,Option 1 Only,280,4
2019/20,Dumfries and Galloway,0-17 years,Option 1 Only,70,47
2019/20,Dumfries and Galloway,18-64 years,Option 1 Only,125,10
2019/20,Dumfries and Galloway,65-74 years,Option 1 Only,25,3
2019/20,Dumfries and Galloway,75-84 years,Option 1 Only,30,1
2019/20,Dumfries and Galloway,85+ years,Option 1 Only,25,1
2019/20,Dumfries and Galloway,Unknown,Option 1 Only,0,NA
2019/20,Dumfries and Galloway,All Ages,Option 2 Only,10,0
2019/20,Dumfries and Galloway,0-17 years,Option 2 Only,0,0
2019/20,Dumfries and Galloway,18-64 years,Option 2 Only,5,0
2019/20,Dumfries and Galloway,65-74 years,Option 2 Only,0,0
2019/20,Dumfries and Galloway,75-84 years,Option 2 Only,5,0
2019/20,Dumfries and Galloway,85+ years,Option 2 Only,5,0
2019/20,Dumfries and Galloway,Unknown,Option 2 Only,0,NA
2019/20,Dumfries and Galloway,All Ages,Option 3 Only,6655,92
2019/20,Dumfries and Galloway,0-17 years,Option 3 Only,60,40
2019/20,Dumfries and Galloway,18-64 years,Option 3 Only,955,80
2019/20,Dumfries and Galloway,65-74 years,Option 3 Only,815,94
2019/20,Dumfries and Galloway,75-84 years,Option 3 Only,2160,96
2019/20,Dumfries and Galloway,85+ years,Option 3 Only,2665,96
2019/20,Dumfries and Galloway,Unknown,Option 3 Only,0,NA
2019/20,Dumfries and Galloway,All Ages,Option 4 Only,280,4
2019/20,Dumfries and Galloway,0-17 years,Option 4 Only,20,13
2019/20,Dumfries and Galloway,18-64 years,Option 4 Only,115,10
2019/20,Dumfries and Galloway,65-74 years,Option 4 Only,25,3
2019/20,Dumfries and Galloway,75-84 years,Option 4 Only,50,2
2019/20,Dumfries and Galloway,85+ years,Option 4 Only,75,3
2019/20,Dumfries and Galloway,Unknown,Option 4 Only,0,NA
2020/21,Dumfries and Galloway,All Ages,Option 1 Only,225,3
2020/21,Dumfries and Galloway,0-17 years,Option 1 Only,0,0
2020/21,Dumfries and Galloway,18-64 years,Option 1 Only,140,11
2020/21,Dumfries and Galloway,65-74 years,Option 1 Only,35,4
2020/21,Dumfries and Galloway,75-84 years,Option 1 Only,30,1
2020/21,Dumfries and Galloway,85+ years,Option 1 Only,15,1
2020/21,Dumfries and Galloway,Unknown,Option 1 Only,0,NA
2020/21,Dumfries and Galloway,All Ages,Option 2 Only,15,0
2020/21,Dumfries and Galloway,0-17 years,Option 2 Only,0,0
2020/21,Dumfries and Galloway,18-64 years,Option 2 Only,5,0
2020/21,Dumfries and Galloway,65-74 years,Option 2 Only,0,0
2020/21,Dumfries and Galloway,75-84 years,Option 2 Only,5,0
2020/21,Dumfries and Galloway,85+ years,Option 2 Only,5,0
2020/21,Dumfries and Galloway,Unknown,Option 2 Only,0,NA
2020/21,Dumfries and Galloway,All Ages,Option 3 Only,6525,93
2020/21,Dumfries and Galloway,0-17 years,Option 3 Only,5,50
2020/21,Dumfries and Galloway,18-64 years,Option 3 Only,990,80
2020/21,Dumfries and Galloway,65-74 years,Option 3 Only,825,94
2020/21,Dumfries and Galloway,75-84 years,Option 3 Only,2090,96
