financial_year,sending_location,age_group,option_type,nclient,rate
2018/19,Aberdeen City,All Ages,Option 1,275,1.2084724907716646
2018/19,Aberdeen City,0-17 years,Option 1,60,1.5617679212868967
2018/19,Aberdeen City,18-64 years,Option 1,150,0.9764989258511816
2018/19,Aberdeen City,65-74 years,Option 1,20,1.0364305332435093
2018/19,Aberdeen City,75-84 years,Option 1,30,2.596053997923157
2018/19,Aberdeen City,85+ years,Option 1,25,5.343022013250694
2018/19,Aberdeen City,Unknown,Option 1,0,0
2018/19,Aberdeen City,All Ages,Option 2,10,0.04394445420987871
2018/19,Aberdeen City,0-17 years,Option 2,0,0
2018/19,Aberdeen City,18-64 years,Option 2,5,0.03254996419503939
2018/19,Aberdeen City,65-74 years,Option 2,0,0
2018/19,Aberdeen City,75-84 years,Option 2,0,0
2018/19,Aberdeen City,85+ years,Option 2,5,1.068604402650139
2018/19,Aberdeen City,Unknown,Option 2,0,0
2018/19,Aberdeen City,All Ages,Option 3,835,3.6693619265248727
2018/19,Aberdeen City,0-17 years,Option 3,20,0.5205893070956322
2018/19,Aberdeen City,18-64 years,Option 3,160,1.0415988542412604
2018/19,Aberdeen City,65-74 years,Option 3,105,5.441260299528424
2018/19,Aberdeen City,75-84 years,Option 3,225,19.470404984423674
2018/19,Aberdeen City,85+ years,Option 3,330,70.52789057490916
2018/19,Aberdeen City,Unknown,Option 3,0,0
2018/19,Aberdeen City,All Ages,Option 4,90,0.3955000878889084
2018/19,Aberdeen City,0-17 years,Option 4,15,0.39044198032172417
2018/19,Aberdeen City,18-64 years,Option 4,55,0.35804960614543324
2018/19,Aberdeen City,65-74 years,Option 4,5,0.25910763331087733
2018/19,Aberdeen City,75-84 years,Option 4,5,0.4326756663205261
2018/19,Aberdeen City,85+ years,Option 4,10,2.137208805300278
2018/19,Aberdeen City,Unknown,Option 4,0,0
2018/19,Aberdeenshire,All Ages,Any SDS,4480,17.13389681416606
2018/19,Aberdeenshire,18-64 years,Any SDS,1080,6.87560877786054
2018/19,Aberdeenshire,65-74 years,Any SDS,555,19.26681941262237
2018/19,Aberdeenshire,75-84 years,Any SDS,1300,84.2678420950282
2018/19,Aberdeenshire,85+ years,Any SDS,1550,278.47646424721523
2018/19,Aberdeenshire,All Ages,Option 1,420,1.6063028263280683
2018/19,Aberdeenshire,18-64 years,Option 1,200,1.2732608847889888
2018/19,Aberdeenshire,65-74 years,Option 1,40,1.3885995973061167
2018/19,Aberdeenshire,75-84 years,Option 1,80,5.185713359694042
2018/19,Aberdeenshire,85+ years,Option 1,100,17.966223499820337
2018/19,Aberdeenshire,All Ages,Option 2,30,0.11473591616629059
2018/19,Aberdeenshire,18-64 years,Option 2,15,0.09549456635917417
2018/19,Aberdeenshire,65-74 years,Option 2,0,0
2018/19,Aberdeenshire,75-84 years,Option 2,10,0.6482141699617553
2018/19,Aberdeenshire,85+ years,Option 2,5,0.8983111749910169
2018/19,Aberdeenshire,All Ages,Option 3,4285,16.38811335908517
2018/19,Aberdeenshire,18-64 years,Option 3,980,6.2389783354660455
2018/19,Aberdeenshire,65-74 years,Option 3,530,18.398944664306047
2018/19,Aberdeenshire,75-84 years,Option 3,1265,81.99909250016206
2018/19,Aberdeenshire,85+ years,Option 3,1515,272.18828602227813
2018/19,Aberdeenshire,All Ages,Option 4,260,0.9943779401078516
2018/19,Aberdeenshire,18-64 years,Option 4,120,0.7639565308733933
2018/19,Aberdeenshire,65-74 years,Option 4,15,0.5207248489897938
2018/19,Aberdeenshire,75-84 years,Option 4,50,3.241070849808777
2018/19,Aberdeenshire,85+ years,Option 4,70,12.576356449874238
2019/20,Aberdeenshire,All Ages,Any SDS,3940,15.083649171164964
2019/20,Aberdeenshire,18-64 years,Any SDS,1015,6.5272052629209725
2019/20,Aberdeenshire,65-74 years,Any SDS,465,15.788937557298564
2019/20,Aberdeenshire,75-84 years,Any SDS,1110,69.89484289402431
2019/20,Aberdeenshire,85+ years,Any SDS,1350,235.15067061487545
2019/20,Aberdeenshire,All Ages,Option 1,405,1.5504766280004594
2019/20,Aberdeenshire,18-64 years,Option 1,195,1.2539950997729947
2019/20,Aberdeenshire,65-74 years,Option 1,35,1.1884146548504295
2019/20,Aberdeenshire,75-84 years,Option 1,70,4.40778288520874
2019/20,Aberdeenshire,85+ years,Option 1,105,18.289496603379202
2019/20,Aberdeenshire,All Ages,Option 2,35,0.13399180735806437
2019/20,Aberdeenshire,18-64 years,Option 2,20,0.12861488202799945
2019/20,Aberdeenshire,65-74 years,Option 2,5,0.16977352212148994
2019/20,Aberdeenshire,75-84 years,Option 2,5,0.31484163465776716
2019/20,Aberdeenshire,85+ years,Option 2,5,0.870928409684724
2019/20,Aberdeenshire,All Ages,Option 3,3735,14.298840013782014
2019/20,Aberdeenshire,18-64 years,Option 3,920,5.916284573287975
2019/20,Aberdeenshire,65-74 years,Option 3,440,14.940069946691114
2019/20,Aberdeenshire,75-84 years,Option 3,1075,67.69095145141995
2019/20,Aberdeenshire,85+ years,Option 3,1300,226.44138651802822
2019/20,Aberdeenshire,All Ages,Option 4,235,0.8996592779755752
2019/20,Aberdeenshire,18-64 years,Option 4,120,0.7716892921679968
2019/20,Aberdeenshire,65-74 years,Option 4,20,0.6790940884859598
2019/20,Aberdeenshire,75-84 years,Option 4,35,2.20389144260437
2019/20,Aberdeenshire,85+ years,Option 4,60,10.451140916216687
2017/18,Angus,All Ages,Any SDS,2560,22.015823873409012
2017/18,Angus,0-17 years,Any SDS,20,0.9129501985666681
2017/18,Angus,18-64 years,Any SDS,640,9.47193937958797
2017/18,Angus,65-74 years,Any SDS,350,23.5658497172098
2017/18,Angus,75-84 years,Any SDS,640,75.35617567408454
2017/18,Angus,85+ years,Any SDS,910,263.0057803468208
2017/18,Angus,Unknown,Any SDS,0,0
2017/18,Angus,All Ages,Option 1,135,1.1609907120743033
2017/18,Angus,0-17 years,Option 1,0,0
2017/18,Angus,18-64 years,Option 1,75,1.1099928960454652
2017/18,Angus,65-74 years,Option 1,15,1.0099649878804202
2017/18,Angus,75-84 years,Option 1,15,1.7661603673613564
2017/18,Angus,85+ years,Option 1,25,7.22543352601156
2017/18,Angus,Unknown,Option 1,0,0
2017/18,Angus,All Ages,Option 2,400,3.4399724802201583
2017/18,Angus,0-17 years,Option 2,5,0.22823754964166704
2017/18,Angus,18-64 years,Option 2,150,2.2199857920909305
2017/18,Angus,65-74 years,Option 2,50,3.3665499596014006
2017/18,Angus,75-84 years,Option 2,95,11.185682326621924
2017/18,Angus,85+ years,Option 2,100,28.90173410404624
2017/18,Angus,Unknown,Option 2,0,0
2017/18,Angus,All Ages,Option 3,2020,17.3718610251118
2017/18,Angus,0-17 years,Option 3,15,0.6847126489250012
2017/18,Angus,18-64 years,Option 3,415,6.141960691451575
2017/18,Angus,65-74 years,Option 3,275,18.516024777807704
2017/18,Angus,75-84 years,Option 3,530,62.40433298010126
2017/18,Angus,85+ years,Option 3,785,226.87861271676303
2017/18,Angus,Unknown,Option 3,0,0
2017/18,Angus,All Ages,Option 4,110,0.9459924320605435
2017/18,Angus,0-17 years,Option 4,0,0
2017/18,Angus,18-64 years,Option 4,40,0.5919962112242482
2017/18,Angus,65-74 years,Option 4,15,1.0099649878804202
2017/18,Angus,75-84 years,Option 4,25,2.943600612268927
2017/18,Angus,85+ years,Option 4,30,8.670520231213873
2017/18,Angus,Unknown,Option 4,0,0
2018/19,Angus,All Ages,Any SDS,2140,18.441916580489487
2018/19,Angus,0-17 years,Any SDS,10,0.45957994393124685
2018/19,Angus,18-64 years,Any SDS,660,9.851775558640455
2018/19,Angus,65-74 years,Any SDS,330,21.832616606020512
2018/19,Angus,75-84 years,Any SDS,540,61.98347107438017
2018/19,Angus,85+ years,Any SDS,600,173.36030049118753
2018/19,Angus,Unknown,Any SDS,0,0
2018/19,Angus,All Ages,Option 1,140,1.206480523957256
2018/19,Angus,0-17 years,Option 1,0,0
2018/19,Angus,18-64 years,Option 1,85,1.2687892764915738
2018/19,Angus,65-74 years,Option 1,15,0.9923916639100231
2018/19,Angus,75-84 years,Option 1,15,1.721763085399449
2018/19,Angus,85+ years,Option 1,30,8.668015024559377
2018/19,Angus,Unknown,Option 1,0,0
2018/19,Angus,All Ages,Option 2,430,3.7056187521544293
2018/19,Angus,0-17 years,Option 2,0,0
2018/19,Angus,18-64 years,Option 2,145,2.164405236367979
2018/19,Angus,65-74 years,Option 2,65,4.300363876943433
2018/19,Angus,75-84 years,Option 2,100,11.478420569329659
2018/19,Angus,85+ years,Option 2,115,33.227390927477614
2018/19,Angus,Unknown,Option 2,0,0
2018/19,Angus,All Ages,Option 3,1490,12.840399862116511
2018/19,Angus,0-17 years,Option 3,10,0.45957994393124685
2018/19,Angus,18-64 years,Option 3,395,5.896138402519666
2018/19,Angus,65-74 years,Option 3,240,15.87826662256037
2018/19,Angus,75-84 years,Option 3,415,47.63544536271809
2018/19,Angus,85+ years,Option 3,435,125.68621785611094
2018/19,Angus,Unknown,Option 3,0,0
2018/19,Angus,All Ages,Option 4,110,0.9479489831092727
2018/19,Angus,0-17 years,Option 4,0,0
2018/19,Angus,18-64 years,Option 4,40,0.59707730658427
2018/19,Angus,65-74 years,Option 4,20,1.3231888852133642
2018/19,Angus,75-84 years,Option 4,25,2.8696051423324147
2018/19,Angus,85+ years,Option 4,25,7.22334585379948
2018/19,Angus,Unknown,Option 4,0,0
2019/20,Angus,All Ages,Any SDS,2620,22.547332185886404
2019/20,Angus,0-17 years,Any SDS,10,0.4632203075782842
2019/20,Angus,18-64 years,Any SDS,740,11.07419712070875
2019/20,Angus,65-74 years,Any SDS,380,24.93601942384671
2019/20,Angus,75-84 years,Any SDS,685,75.85825027685493
2019/20,Angus,85+ years,Any SDS,805,228.6282306163022
2019/20,Angus,Unknown,Any SDS,0,0
2019/20,Angus,All Ages,Option 1,170,1.4629948364888126
2019/20,Angus,0-17 years,Option 1,0,0
2019/20,Angus,18-64 years,Option 1,95,1.421687468199096
2019/20,Angus,65-74 years,Option 1,25,1.6405275936741257
2019/20,Angus,75-84 years,Option 1,20,2.2148394241417497
2019/20,Angus,85+ years,Option 1,30,8.520306731042316
2019/20,Angus,Unknown,Option 1,0,0
2019/20,Angus,All Ages,Option 2,595,5.120481927710844
2019/20,Angus,0-17 years,Option 2,5,0.2316101537891421
2019/20,Angus,18-64 years,Option 2,170,2.544072311514172
2019/20,Angus,65-74 years,Option 2,85,5.577793818492027
2019/20,Angus,75-84 years,Option 2,150,16.611295681063122
2019/20,Angus,85+ years,Option 2,185,52.54189150809429
2019/20,Angus,Unknown,Option 2,0,0
2019/20,Angus,All Ages,Option 3,1830,15.748709122203097
2019/20,Angus,0-17 years,Option 3,5,0.2316101537891421
2019/20,Angus,18-64 years,Option 3,455,6.809134716111461
2019/20,Angus,65-74 years,Option 3,260,17.061486974210908
2019/20,Angus,75-84 years,Option 3,515,57.032115171650055
2019/20,Angus,85+ years,Option 3,590,167.56603237716558
2019/20,Angus,Unknown,Option 3,0,0
2019/20,Angus,All Ages,Option 4,170,1.4629948364888126
2019/20,Angus,0-17 years,Option 4,0,0
2019/20,Angus,18-64 years,Option 4,65,0.9727335308730657
2019/20,Angus,65-74 years,Option 4,25,1.6405275936741257
2019/20,Angus,75-84 years,Option 4,40,4.4296788482834994
2019/20,Angus,85+ years,Option 4,45,12.780460096563477
2019/20,Angus,Unknown,Option 4,0,0
2020/21,Angus,All Ages,Any SDS,2465,21.283025384216888
2020/21,Angus,0-17 years,Any SDS,5,0.2334267040149393
2020/21,Angus,18-64 years,Any SDS,720,10.85007308729788
2020/21,Angus,65-74 years,Any SDS,360,23.586450894319597
2020/21,Angus,75-84 years,Any SDS,625,67.93478260869564
2020/21,Angus,85+ years,Any SDS,755,211.01173840134152
2020/21,Angus,Unknown,Any SDS,0,0
2020/21,Angus,All Ages,Option 1,175,1.5109652909687445
2020/21,Angus,0-17 years,Option 1,0,0
2020/21,Angus,18-64 years,Option 1,95,1.4316068656851368
2020/21,Angus,65-74 years,Option 1,30,1.9655375745266332
2020/21,Angus,75-84 years,Option 1,25,2.717391304347826
2020/21,Angus,85+ years,Option 1,25,6.987143655673561
2020/21,Angus,Unknown,Option 1,0,0
2020/21,Angus,All Ages,Option 2,535,4.619236746675877
2020/21,Angus,0-17 years,Option 2,0,0
2020/21,Angus,18-64 years,Option 2,175,2.637170542051568
2020/21,Angus,65-74 years,Option 2,75,4.9138439363165825
2020/21,Angus,75-84 years,Option 2,120,13.043478260869565
2020/21,Angus,85+ years,Option 2,160,44.717719396310784
2020/21,Angus,Unknown,Option 2,0,0
2020/21,Angus,All Ages,Option 3,1700,14.677948540839232
2020/21,Angus,0-17 years,Option 3,0,0
2020/21,Angus,18-64 years,Option 3,415,6.253861571150861
2020/21,Angus,65-74 years,Option 3,245,16.051890191967505
2020/21,Angus,75-84 years,Option 3,470,51.08695652173913
2020/21,Angus,85+ years,Option 3,565,157.9094466182225
2020/21,Angus,Unknown,Option 3,0,0
2020/21,Angus,All Ages,Option 4,175,1.5109652909687445
2020/21,Angus,0-17 years,Option 4,0,0
2020/21,Angus,18-64 years,Option 4,60,0.9041727572748233
2020/21,Angus,65-74 years,Option 4,20,1.3103583830177552
2020/21,Angus,75-84 years,Option 4,40,4.3478260869565215
2020/21,Angus,85+ years,Option 4,55,15.371716042481832
2020/21,Angus,Unknown,Option 4,0,0
2017/18,Argyll and Bute,All Ages,Any SDS,1645,18.94942978919479
2017/18,Argyll and Bute,0-17 years,Any SDS,0,0
2017/18,Argyll and Bute,18-64 years,Any SDS,335,6.691034014420676
2017/18,Argyll and Bute,65-74 years,Any SDS,225,18.18916734033953
2017/18,Argyll and Bute,75-84 years,Any SDS,495,71.00846363505953
