financial_year,sending_location,age_group,sds_support_services,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Local Authority,33050,369.5834498182835
2017/18,Scotland (All Areas Submitted),0-17 years,Local Authority,280,171.7791411042945
2017/18,Scotland (All Areas Submitted),18-64 years,Local Authority,7600,348.22451317296674
2017/18,Scotland (All Areas Submitted),65-74 years,Local Authority,4835,413.9554794520548
2017/18,Scotland (All Areas Submitted),75-84 years,Local Authority,9730,407.9664570230608
2017/18,Scotland (All Areas Submitted),85+ years,Local Authority,10585,396.0710944808232
2017/18,Scotland (All Areas Submitted),Unknown,Local Authority,15,428.57142857142856
2017/18,Scotland (All Areas Submitted),All Ages,Personal Assistance Contract,3135,35.057310595471066
2017/18,Scotland (All Areas Submitted),0-17 years,Personal Assistance Contract,420,257.6687116564417
2017/18,Scotland (All Areas Submitted),18-64 years,Personal Assistance Contract,1570,71.93585337915235
2017/18,Scotland (All Areas Submitted),65-74 years,Personal Assistance Contract,315,26.96917808219178
2017/18,Scotland (All Areas Submitted),75-84 years,Personal Assistance Contract,395,16.561844863731654
2017/18,Scotland (All Areas Submitted),85+ years,Personal Assistance Contract,435,16.276894293732457
2017/18,Scotland (All Areas Submitted),Unknown,Personal Assistance Contract,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Private,27150,303.6063740564719
2017/18,Scotland (All Areas Submitted),0-17 years,Private,365,223.92638036809817
2017/18,Scotland (All Areas Submitted),18-64 years,Private,6170,282.70332187857963
2017/18,Scotland (All Areas Submitted),65-74 years,Private,3545,303.5102739726027
2017/18,Scotland (All Areas Submitted),75-84 years,Private,7630,319.916142557652
2017/18,Scotland (All Areas Submitted),85+ years,Private,9430,352.85313376987835
2017/18,Scotland (All Areas Submitted),Unknown,Private,5,142.85714285714286
2017/18,Scotland (All Areas Submitted),All Ages,Voluntary,6330,70.78557450377411
2017/18,Scotland (All Areas Submitted),0-17 years,Voluntary,120,73.61963190184049
2017/18,Scotland (All Areas Submitted),18-64 years,Voluntary,2675,122.56586483390606
2017/18,Scotland (All Areas Submitted),65-74 years,Voluntary,760,65.06849315068493
2017/18,Scotland (All Areas Submitted),75-84 years,Voluntary,1210,50.733752620545076
2017/18,Scotland (All Areas Submitted),85+ years,Voluntary,1560,58.37231057062675
2017/18,Scotland (All Areas Submitted),Unknown,Voluntary,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Other,600,6.709533128319821
2017/18,Scotland (All Areas Submitted),0-17 years,Other,35,21.472392638036812
2017/18,Scotland (All Areas Submitted),18-64 years,Other,320,14.662084765177548
2017/18,Scotland (All Areas Submitted),65-74 years,Other,60,5.136986301369863
2017/18,Scotland (All Areas Submitted),75-84 years,Other,85,3.5639412997903563
2017/18,Scotland (All Areas Submitted),85+ years,Other,105,3.9289055191768005
2017/18,Scotland (All Areas Submitted),Unknown,Other,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Not Known,18500,206.8772714565278
2017/18,Scotland (All Areas Submitted),0-17 years,Not Known,455,279.1411042944785
2017/18,Scotland (All Areas Submitted),18-64 years,Not Known,4355,199.5418098510882
2017/18,Scotland (All Areas Submitted),65-74 years,Not Known,2335,199.91438356164383
2017/18,Scotland (All Areas Submitted),75-84 years,Not Known,5095,213.62683438155136
2017/18,Scotland (All Areas Submitted),85+ years,Not Known,6260,234.2376052385407
2017/18,Scotland (All Areas Submitted),Unknown,Not Known,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Local Authority,41255,401.37179549545164
2018/19,Scotland (All Areas Submitted),0-17 years,Local Authority,570,337.27810650887574
2018/19,Scotland (All Areas Submitted),18-64 years,Local Authority,9815,365.1413690476191
2018/19,Scotland (All Areas Submitted),65-74 years,Local Authority,5905,424.8201438848921
2018/19,Scotland (All Areas Submitted),75-84 years,Local Authority,12185,430.489312842254
2018/19,Scotland (All Areas Submitted),85+ years,Local Authority,12740,398.87288666249214
2018/19,Scotland (All Areas Submitted),Unknown,Local Authority,35,500
2018/19,Scotland (All Areas Submitted),All Ages,Personal Assistance Contract,3150,30.64649511115435
2018/19,Scotland (All Areas Submitted),0-17 years,Personal Assistance Contract,390,230.76923076923077
2018/19,Scotland (All Areas Submitted),18-64 years,Personal Assistance Contract,1655,61.56994047619048
2018/19,Scotland (All Areas Submitted),65-74 years,Personal Assistance Contract,315,22.66187050359712
2018/19,Scotland (All Areas Submitted),75-84 years,Personal Assistance Contract,385,13.601837131248896
2018/19,Scotland (All Areas Submitted),85+ years,Personal Assistance Contract,405,12.680025046963056
2018/19,Scotland (All Areas Submitted),Unknown,Personal Assistance Contract,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Private,31860,309.96740769567543
2018/19,Scotland (All Areas Submitted),0-17 years,Private,320,189.3491124260355
2018/19,Scotland (All Areas Submitted),18-64 years,Private,6780,252.23214285714286
2018/19,Scotland (All Areas Submitted),65-74 years,Private,4240,305.0359712230216
2018/19,Scotland (All Areas Submitted),75-84 years,Private,9325,329.4470941529765
2018/19,Scotland (All Areas Submitted),85+ years,Private,11190,350.3443957420163
2018/19,Scotland (All Areas Submitted),Unknown,Private,10,142.85714285714286
2018/19,Scotland (All Areas Submitted),All Ages,Voluntary,11920,115.97022911903487
2018/19,Scotland (All Areas Submitted),0-17 years,Voluntary,245,144.97041420118342
2018/19,Scotland (All Areas Submitted),18-64 years,Voluntary,6330,235.49107142857142
2018/19,Scotland (All Areas Submitted),65-74 years,Voluntary,1500,107.91366906474819
2018/19,Scotland (All Areas Submitted),75-84 years,Voluntary,1855,65.53612435965377
2018/19,Scotland (All Areas Submitted),85+ years,Voluntary,1985,62.1477770820288
2018/19,Scotland (All Areas Submitted),Unknown,Voluntary,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Other,920,8.950722381670477
2018/19,Scotland (All Areas Submitted),0-17 years,Other,25,14.792899408284024
2018/19,Scotland (All Areas Submitted),18-64 years,Other,435,16.183035714285715
2018/19,Scotland (All Areas Submitted),65-74 years,Other,80,5.755395683453237
2018/19,Scotland (All Areas Submitted),75-84 years,Other,165,5.829358770535241
2018/19,Scotland (All Areas Submitted),85+ years,Other,215,6.731371321227302
2018/19,Scotland (All Areas Submitted),Unknown,Other,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Not Known,24945,242.69105414214138
2018/19,Scotland (All Areas Submitted),0-17 years,Not Known,480,284.02366863905326
2018/19,Scotland (All Areas Submitted),18-64 years,Not Known,5510,204.98511904761904
2018/19,Scotland (All Areas Submitted),65-74 years,Not Known,3025,217.62589928057554
2018/19,Scotland (All Areas Submitted),75-84 years,Not Known,6895,243.59653771418476
2018/19,Scotland (All Areas Submitted),85+ years,Not Known,9025,282.56105197244835
2018/19,Scotland (All Areas Submitted),Unknown,Not Known,10,142.85714285714286
2019/20,Scotland (All Areas Submitted),All Ages,Local Authority,37805,401.49745114698385
2019/20,Scotland (All Areas Submitted),0-17 years,Local Authority,505,310.7692307692307
2019/20,Scotland (All Areas Submitted),18-64 years,Local Authority,8510,346.2164361269325
2019/20,Scotland (All Areas Submitted),65-74 years,Local Authority,5300,419.30379746835445
2019/20,Scotland (All Areas Submitted),75-84 years,Local Authority,11320,437.9957438576127
2019/20,Scotland (All Areas Submitted),85+ years,Local Authority,12150,412.98436437797415
2019/20,Scotland (All Areas Submitted),Unknown,Local Authority,25,555.5555555555555
2019/20,Scotland (All Areas Submitted),All Ages,Personal Assistance Contract,2925,31.064146134239593
2019/20,Scotland (All Areas Submitted),0-17 years,Personal Assistance Contract,275,169.23076923076923
2019/20,Scotland (All Areas Submitted),18-64 years,Personal Assistance Contract,1480,60.21155410903174
2019/20,Scotland (All Areas Submitted),65-74 years,Personal Assistance Contract,290,22.943037974683545
2019/20,Scotland (All Areas Submitted),75-84 years,Personal Assistance Contract,400,15.476881408396208
2019/20,Scotland (All Areas Submitted),85+ years,Personal Assistance Contract,465,15.805574439157036
2019/20,Scotland (All Areas Submitted),Unknown,Personal Assistance Contract,5,111.1111111111111
2019/20,Scotland (All Areas Submitted),All Ages,Private,25340,269.1163976210705
2019/20,Scotland (All Areas Submitted),0-17 years,Private,190,116.92307692307692
2019/20,Scotland (All Areas Submitted),18-64 years,Private,6285,255.69568755085436
2019/20,Scotland (All Areas Submitted),65-74 years,Private,3430,271.3607594936709
2019/20,Scotland (All Areas Submitted),75-84 years,Private,7020,271.61926871735346
2019/20,Scotland (All Areas Submitted),85+ years,Private,8405,285.69000679809653
2019/20,Scotland (All Areas Submitted),Unknown,Private,15,333.3333333333333
2019/20,Scotland (All Areas Submitted),All Ages,Voluntary,12425,131.95624468988956
2019/20,Scotland (All Areas Submitted),0-17 years,Voluntary,225,138.46153846153848
2019/20,Scotland (All Areas Submitted),18-64 years,Voluntary,6860,279.0886899918633
2019/20,Scotland (All Areas Submitted),65-74 years,Voluntary,1560,123.41772151898735
2019/20,Scotland (All Areas Submitted),75-84 years,Voluntary,1810,70.03288837299284
2019/20,Scotland (All Areas Submitted),85+ years,Voluntary,1965,66.7912984364378
2019/20,Scotland (All Areas Submitted),Unknown,Voluntary,5,111.1111111111111
2019/20,Scotland (All Areas Submitted),All Ages,Other,350,3.7170773152081567
2019/20,Scotland (All Areas Submitted),0-17 years,Other,25,15.384615384615385
2019/20,Scotland (All Areas Submitted),18-64 years,Other,255,10.374288039056143
2019/20,Scotland (All Areas Submitted),65-74 years,Other,15,1.1867088607594938
2019/20,Scotland (All Areas Submitted),75-84 years,Other,30,1.1607661056297156
2019/20,Scotland (All Areas Submitted),85+ years,Other,20,0.6798096532970768
2019/20,Scotland (All Areas Submitted),Unknown,Other,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Not Known,27345,290.40994052676297
2019/20,Scotland (All Areas Submitted),0-17 years,Not Known,550,338.46153846153845
2019/20,Scotland (All Areas Submitted),18-64 years,Not Known,5870,238.81204231082182
2019/20,Scotland (All Areas Submitted),65-74 years,Not Known,3470,274.5253164556962
2019/20,Scotland (All Areas Submitted),75-84 years,Not Known,7605,294.2542077771329
2019/20,Scotland (All Areas Submitted),85+ years,Not Known,9850,334.8062542488103
2019/20,Scotland (All Areas Submitted),Unknown,Not Known,5,111.1111111111111
2020/21,Scotland (All Areas Submitted),All Ages,Local Authority,30465,327.24636124389065
2020/21,Scotland (All Areas Submitted),0-17 years,Local Authority,420,264.98422712933757
2020/21,Scotland (All Areas Submitted),18-64 years,Local Authority,6540,263.3380310046305
2020/21,Scotland (All Areas Submitted),65-74 years,Local Authority,4220,333.59683794466406
2020/21,Scotland (All Areas Submitted),75-84 years,Local Authority,9005,361.35634028892457
2020/21,Scotland (All Areas Submitted),85+ years,Local Authority,10240,353.10344827586204
2020/21,Scotland (All Areas Submitted),Unknown,Local Authority,45,450
2020/21,Scotland (All Areas Submitted),All Ages,Personal Assistance Contract,2655,28.519254524947634
2020/21,Scotland (All Areas Submitted),0-17 years,Personal Assistance Contract,355,223.97476340694007
2020/21,Scotland (All Areas Submitted),18-64 years,Personal Assistance Contract,1350,54.35876786792833
2020/21,Scotland (All Areas Submitted),65-74 years,Personal Assistance Contract,255,20.15810276679842
2020/21,Scotland (All Areas Submitted),75-84 years,Personal Assistance Contract,310,12.439807383627608
2020/21,Scotland (All Areas Submitted),85+ years,Personal Assistance Contract,380,13.10344827586207
2020/21,Scotland (All Areas Submitted),Unknown,Personal Assistance Contract,5,50
2020/21,Scotland (All Areas Submitted),All Ages,Private,22290,239.43283742413664
2020/21,Scotland (All Areas Submitted),0-17 years,Private,205,129.33753943217667
2020/21,Scotland (All Areas Submitted),18-64 years,Private,5575,224.48157841755585
2020/21,Scotland (All Areas Submitted),65-74 years,Private,3130,247.4308300395257
2020/21,Scotland (All Areas Submitted),75-84 years,Private,5950,238.76404494382024
2020/21,Scotland (All Areas Submitted),85+ years,Private,7415,255.68965517241378
2020/21,Scotland (All Areas Submitted),Unknown,Private,15,150
2020/21,Scotland (All Areas Submitted),All Ages,Voluntary,11320,121.59621891616092
2020/21,Scotland (All Areas Submitted),0-17 years,Voluntary,195,123.02839116719242
2020/21,Scotland (All Areas Submitted),18-64 years,Voluntary,6390,257.2981679081941
2020/21,Scotland (All Areas Submitted),65-74 years,Voluntary,1450,114.62450592885376
2020/21,Scotland (All Areas Submitted),75-84 years,Voluntary,1650,66.21187800963081
2020/21,Scotland (All Areas Submitted),85+ years,Voluntary,1630,56.206896551724135
2020/21,Scotland (All Areas Submitted),Unknown,Voluntary,5,50
2020/21,Scotland (All Areas Submitted),All Ages,Other,320,3.4373489446264567
2020/21,Scotland (All Areas Submitted),0-17 years,Other,20,12.618296529968454
2020/21,Scotland (All Areas Submitted),18-64 years,Other,250,10.066438494060801
2020/21,Scotland (All Areas Submitted),65-74 years,Other,15,1.1857707509881423
2020/21,Scotland (All Areas Submitted),75-84 years,Other,15,0.6019261637239165
2020/21,Scotland (All Areas Submitted),85+ years,Other,10,0.3448275862068965
2020/21,Scotland (All Areas Submitted),Unknown,Other,5,50
2020/21,Scotland (All Areas Submitted),All Ages,Not Known,36340,390.353939524142
2020/21,Scotland (All Areas Submitted),0-17 years,Not Known,480,302.8391167192429
2020/21,Scotland (All Areas Submitted),18-64 years,Not Known,8595,346.0841554258103
2020/21,Scotland (All Areas Submitted),65-74 years,Not Known,4750,375.49407114624506
2020/21,Scotland (All Areas Submitted),75-84 years,Not Known,9755,391.4526484751204
2020/21,Scotland (All Areas Submitted),85+ years,Not Known,12735,439.13793103448273
2020/21,Scotland (All Areas Submitted),Unknown,Not Known,25,250
2017/18,Aberdeen City,All Ages,Local Authority,30,31.914893617021274
2017/18,Aberdeen City,0-17 years,Local Authority,0,0
2017/18,Aberdeen City,18-64 years,Local Authority,20,67.79661016949153
2017/18,Aberdeen City,65-74 years,Local Authority,0,0
2017/18,Aberdeen City,75-84 years,Local Authority,5,24.390243902439025
2017/18,Aberdeen City,85+ years,Local Authority,5,19.607843137254903
2017/18,Aberdeen City,Unknown,Local Authority,0,0
2017/18,Aberdeen City,All Ages,Personal Assistance Contract,165,175.53191489361703
2017/18,Aberdeen City,0-17 years,Personal Assistance Contract,55,687.5
2017/18,Aberdeen City,18-64 years,Personal Assistance Contract,70,237.28813559322035
2017/18,Aberdeen City,65-74 years,Personal Assistance Contract,10,95.23809523809523
2017/18,Aberdeen City,75-84 years,Personal Assistance Contract,15,73.17073170731707
2017/18,Aberdeen City,85+ years,Personal Assistance Contract,15,58.8235294117647
2017/18,Aberdeen City,Unknown,Personal Assistance Contract,0,0
2017/18,Aberdeen City,All Ages,Private,10,10.638297872340425
2017/18,Aberdeen City,0-17 years,Private,0,0
2017/18,Aberdeen City,18-64 years,Private,5,16.949152542372882
2017/18,Aberdeen City,65-74 years,Private,0,0
2017/18,Aberdeen City,75-84 years,Private,0,0
2017/18,Aberdeen City,85+ years,Private,0,0
2017/18,Aberdeen City,Unknown,Private,0,0
2017/18,Aberdeen City,All Ages,Voluntary,0,0
2017/18,Aberdeen City,0-17 years,Voluntary,0,0
2017/18,Aberdeen City,18-64 years,Voluntary,0,0
2017/18,Aberdeen City,65-74 years,Voluntary,0,0
2017/18,Aberdeen City,75-84 years,Voluntary,0,0
2017/18,Aberdeen City,85+ years,Voluntary,0,0
2017/18,Aberdeen City,Unknown,Voluntary,0,0
2017/18,Aberdeen City,All Ages,Other,0,0
2017/18,Aberdeen City,0-17 years,Other,0,0
2017/18,Aberdeen City,18-64 years,Other,0,0
2017/18,Aberdeen City,65-74 years,Other,0,0
2017/18,Aberdeen City,75-84 years,Other,0,0
2017/18,Aberdeen City,85+ years,Other,0,0
2017/18,Aberdeen City,Unknown,Other,0,0
2017/18,Aberdeen City,All Ages,Not Known,735,781.9148936170212
2017/18,Aberdeen City,0-17 years,Not Known,25,312.5
2017/18,Aberdeen City,18-64 years,Not Known,205,694.9152542372882
2017/18,Aberdeen City,65-74 years,Not Known,95,904.7619047619048
2017/18,Aberdeen City,75-84 years,Not Known,180,878.0487804878048
2017/18,Aberdeen City,85+ years,Not Known,230,901.9607843137255
2017/18,Aberdeen City,Unknown,Not Known,0,0
2018/19,Aberdeen City,All Ages,Local Authority,5,4.854368932038835
2018/19,Aberdeen City,0-17 years,Local Authority,0,0
2018/19,Aberdeen City,18-64 years,Local Authority,5,19.230769230769234
2018/19,Aberdeen City,65-74 years,Local Authority,0,0
2018/19,Aberdeen City,75-84 years,Local Authority,0,0
2018/19,Aberdeen City,85+ years,Local Authority,0,0
2018/19,Aberdeen City,Unknown,Local Authority,0,0
2018/19,Aberdeen City,All Ages,Personal Assistance Contract,145,140.7766990291262
2018/19,Aberdeen City,0-17 years,Personal Assistance Contract,40,666.6666666666666
2018/19,Aberdeen City,18-64 years,Personal Assistance Contract,75,288.46153846153845
2018/19,Aberdeen City,65-74 years,Personal Assistance Contract,10,86.95652173913044
2018/19,Aberdeen City,75-84 years,Personal Assistance Contract,15,61.224489795918366
2018/19,Aberdeen City,85+ years,Personal Assistance Contract,10,28.57142857142857
2018/19,Aberdeen City,Unknown,Personal Assistance Contract,0,0
2018/19,Aberdeen City,All Ages,Private,800,776.6990291262135
2018/19,Aberdeen City,0-17 years,Private,10,166.66666666666666
2018/19,Aberdeen City,18-64 years,Private,130,500
2018/19,Aberdeen City,65-74 years,Private,105,913.0434782608695
2018/19,Aberdeen City,75-84 years,Private,225,918.3673469387755
2018/19,Aberdeen City,85+ years,Private,335,957.1428571428572
2018/19,Aberdeen City,Unknown,Private,0,0
2018/19,Aberdeen City,All Ages,Voluntary,55,53.398058252427184
2018/19,Aberdeen City,0-17 years,Voluntary,5,83.33333333333333
2018/19,Aberdeen City,18-64 years,Voluntary,50,192.30769230769232
2018/19,Aberdeen City,65-74 years,Voluntary,0,0
2018/19,Aberdeen City,75-84 years,Voluntary,0,0
2018/19,Aberdeen City,85+ years,Voluntary,0,0
2018/19,Aberdeen City,Unknown,Voluntary,0,0
2018/19,Aberdeen City,All Ages,Other,0,0
2018/19,Aberdeen City,0-17 years,Other,0,0
2018/19,Aberdeen City,18-64 years,Other,0,0
2018/19,Aberdeen City,65-74 years,Other,0,0
2018/19,Aberdeen City,75-84 years,Other,0,0
2018/19,Aberdeen City,85+ years,Other,0,0
2018/19,Aberdeen City,Unknown,Other,0,0
2018/19,Aberdeen City,All Ages,Not Known,85,82.5242718446602
2018/19,Aberdeen City,0-17 years,Not Known,15,250
2018/19,Aberdeen City,18-64 years,Not Known,45,173.07692307692307
2018/19,Aberdeen City,65-74 years,Not Known,5,43.47826086956522
2018/19,Aberdeen City,75-84 years,Not Known,10,40.816326530612244
2018/19,Aberdeen City,85+ years,Not Known,10,28.57142857142857
2018/19,Aberdeen City,Unknown,Not Known,0,0
2018/19,Aberdeenshire,All Ages,Local Authority,3290,734.375
2018/19,Aberdeenshire,0-17 years,Local Authority,0,0
2018/19,Aberdeenshire,18-64 years,Local Authority,635,587.9629629629629
2018/19,Aberdeenshire,65-74 years,Local Authority,395,711.7117117117117
2018/19,Aberdeenshire,75-84 years,Local Authority,975,750
2018/19,Aberdeenshire,85+ years,Local Authority,1285,829.0322580645161
2018/19,Aberdeenshire,Unknown,Local Authority,0,0
2018/19,Aberdeenshire,All Ages,Personal Assistance Contract,355,79.24107142857143
2018/19,Aberdeenshire,0-17 years,Personal Assistance Contract,0,0
2018/19,Aberdeenshire,18-64 years,Personal Assistance Contract,155,143.5185185185185
2018/19,Aberdeenshire,65-74 years,Personal Assistance Contract,35,63.063063063063055
2018/19,Aberdeenshire,75-84 years,Personal Assistance Contract,75,57.69230769230769
2018/19,Aberdeenshire,85+ years,Personal Assistance Contract,95,61.29032258064516
2018/19,Aberdeenshire,Unknown,Personal Assistance Contract,0,0
2018/19,Aberdeenshire,All Ages,Private,2740,611.6071428571429
2018/19,Aberdeenshire,0-17 years,Private,0,0
2018/19,Aberdeenshire,18-64 years,Private,690,638.8888888888888
2018/19,Aberdeenshire,65-74 years,Private,335,603.6036036036037
2018/19,Aberdeenshire,75-84 years,Private,805,619.2307692307693
2018/19,Aberdeenshire,85+ years,Private,910,587.0967741935483
2018/19,Aberdeenshire,Unknown,Private,0,0
2018/19,Aberdeenshire,All Ages,Voluntary,985,219.86607142857142
2018/19,Aberdeenshire,0-17 years,Voluntary,0,0
2018/19,Aberdeenshire,18-64 years,Voluntary,350,324.0740740740741
2018/19,Aberdeenshire,65-74 years,Voluntary,100,180.18018018018017
2018/19,Aberdeenshire,75-84 years,Voluntary,235,180.76923076923077
2018/19,Aberdeenshire,85+ years,Voluntary,300,193.54838709677418
2018/19,Aberdeenshire,Unknown,Voluntary,0,0
2018/19,Aberdeenshire,All Ages,Other,635,141.74107142857142
2018/19,Aberdeenshire,0-17 years,Other,0,0
2018/19,Aberdeenshire,18-64 years,Other,245,226.85185185185185
2018/19,Aberdeenshire,65-74 years,Other,60,108.10810810810811
2018/19,Aberdeenshire,75-84 years,Other,135,103.84615384615385
2018/19,Aberdeenshire,85+ years,Other,195,125.80645161290322
2018/19,Aberdeenshire,Unknown,Other,0,0
2018/19,Aberdeenshire,All Ages,Not Known,0,0
2018/19,Aberdeenshire,0-17 years,Not Known,0,0
2018/19,Aberdeenshire,18-64 years,Not Known,0,0
2018/19,Aberdeenshire,65-74 years,Not Known,0,0
2018/19,Aberdeenshire,75-84 years,Not Known,0,0
2018/19,Aberdeenshire,85+ years,Not Known,0,0
2018/19,Aberdeenshire,Unknown,Not Known,0,0
2019/20,Aberdeenshire,All Ages,Local Authority,2335,592.6395939086294
2019/20,Aberdeenshire,0-17 years,Local Authority,0,0
2019/20,Aberdeenshire,18-64 years,Local Authority,620,610.8374384236454
2019/20,Aberdeenshire,65-74 years,Local Authority,280,602.1505376344086
2019/20,Aberdeenshire,75-84 years,Local Authority,640,576.5765765765766
2019/20,Aberdeenshire,85+ years,Local Authority,800,592.5925925925926
2019/20,Aberdeenshire,Unknown,Local Authority,0,0
2019/20,Aberdeenshire,All Ages,Personal Assistance Contract,335,85.0253807106599
2019/20,Aberdeenshire,0-17 years,Personal Assistance Contract,0,0
2019/20,Aberdeenshire,18-64 years,Personal Assistance Contract,150,147.78325123152712
2019/20,Aberdeenshire,65-74 years,Personal Assistance Contract,30,64.51612903225806
2019/20,Aberdeenshire,75-84 years,Personal Assistance Contract,60,54.054054054054056
2019/20,Aberdeenshire,85+ years,Personal Assistance Contract,90,66.66666666666667
2019/20,Aberdeenshire,Unknown,Personal Assistance Contract,0,0
2019/20,Aberdeenshire,All Ages,Private,2425,615.4822335025381
2019/20,Aberdeenshire,0-17 years,Private,0,0
2019/20,Aberdeenshire,18-64 years,Private,630,620.6896551724138
2019/20,Aberdeenshire,65-74 years,Private,270,580.6451612903227
2019/20,Aberdeenshire,75-84 years,Private,685,617.1171171171171
2019/20,Aberdeenshire,85+ years,Private,840,622.2222222222223
2019/20,Aberdeenshire,Unknown,Private,0,0
2019/20,Aberdeenshire,All Ages,Voluntary,725,184.01015228426397
2019/20,Aberdeenshire,0-17 years,Voluntary,0,0
2019/20,Aberdeenshire,18-64 years,Voluntary,365,359.60591133004925
2019/20,Aberdeenshire,65-74 years,Voluntary,75,161.29032258064515
2019/20,Aberdeenshire,75-84 years,Voluntary,130,117.11711711711712
2019/20,Aberdeenshire,85+ years,Voluntary,155,114.81481481481481
2019/20,Aberdeenshire,Unknown,Voluntary,0,0
2019/20,Aberdeenshire,All Ages,Other,0,0
2019/20,Aberdeenshire,0-17 years,Other,0,0
2019/20,Aberdeenshire,18-64 years,Other,0,0
2019/20,Aberdeenshire,65-74 years,Other,0,0
2019/20,Aberdeenshire,75-84 years,Other,0,0
2019/20,Aberdeenshire,85+ years,Other,0,0
2019/20,Aberdeenshire,Unknown,Other,0,0
2019/20,Aberdeenshire,All Ages,Not Known,0,0
2019/20,Aberdeenshire,0-17 years,Not Known,0,0
2019/20,Aberdeenshire,18-64 years,Not Known,0,0
2019/20,Aberdeenshire,65-74 years,Not Known,0,0
2019/20,Aberdeenshire,75-84 years,Not Known,0,0
2019/20,Aberdeenshire,85+ years,Not Known,0,0
2019/20,Aberdeenshire,Unknown,Not Known,0,0
2017/18,Angus,All Ages,Local Authority,2560,1000
2017/18,Angus,0-17 years,Local Authority,20,1000
2017/18,Angus,18-64 years,Local Authority,640,1000
2017/18,Angus,65-74 years,Local Authority,350,1000
2017/18,Angus,75-84 years,Local Authority,640,1000
2017/18,Angus,85+ years,Local Authority,910,1000
2017/18,Angus,Unknown,Local Authority,0,NA
2017/18,Angus,All Ages,Personal Assistance Contract,0,0
2017/18,Angus,0-17 years,Personal Assistance Contract,0,0
2017/18,Angus,18-64 years,Personal Assistance Contract,0,0
2017/18,Angus,65-74 years,Personal Assistance Contract,0,0
2017/18,Angus,75-84 years,Personal Assistance Contract,0,0
2017/18,Angus,85+ years,Personal Assistance Contract,0,0
2017/18,Angus,Unknown,Personal Assistance Contract,0,NA
2017/18,Angus,All Ages,Private,2560,1000
2017/18,Angus,0-17 years,Private,20,1000
2017/18,Angus,18-64 years,Private,640,1000
2017/18,Angus,65-74 years,Private,350,1000
2017/18,Angus,75-84 years,Private,640,1000
2017/18,Angus,85+ years,Private,910,1000
2017/18,Angus,Unknown,Private,0,NA
2017/18,Angus,All Ages,Voluntary,2560,1000
2017/18,Angus,0-17 years,Voluntary,20,1000
2017/18,Angus,18-64 years,Voluntary,640,1000
2017/18,Angus,65-74 years,Voluntary,350,1000
2017/18,Angus,75-84 years,Voluntary,640,1000
2017/18,Angus,85+ years,Voluntary,910,1000
2017/18,Angus,Unknown,Voluntary,0,NA
2017/18,Angus,All Ages,Other,0,0
2017/18,Angus,0-17 years,Other,0,0
2017/18,Angus,18-64 years,Other,0,0
2017/18,Angus,65-74 years,Other,0,0
2017/18,Angus,75-84 years,Other,0,0
2017/18,Angus,85+ years,Other,0,0
2017/18,Angus,Unknown,Other,0,NA
2017/18,Angus,All Ages,Not Known,0,0
2017/18,Angus,0-17 years,Not Known,0,0
2017/18,Angus,18-64 years,Not Known,0,0
2017/18,Angus,65-74 years,Not Known,0,0
2017/18,Angus,75-84 years,Not Known,0,0
2017/18,Angus,85+ years,Not Known,0,0
2017/18,Angus,Unknown,Not Known,0,NA
2018/19,Angus,All Ages,Local Authority,2140,1000
2018/19,Angus,0-17 years,Local Authority,10,1000
2018/19,Angus,18-64 years,Local Authority,660,1000
2018/19,Angus,65-74 years,Local Authority,330,1000
2018/19,Angus,75-84 years,Local Authority,540,1000
2018/19,Angus,85+ years,Local Authority,600,1000
2018/19,Angus,Unknown,Local Authority,0,NA
2018/19,Angus,All Ages,Personal Assistance Contract,0,0
2018/19,Angus,0-17 years,Personal Assistance Contract,0,0
2018/19,Angus,18-64 years,Personal Assistance Contract,0,0
2018/19,Angus,65-74 years,Personal Assistance Contract,0,0
2018/19,Angus,75-84 years,Personal Assistance Contract,0,0
2018/19,Angus,85+ years,Personal Assistance Contract,0,0
2018/19,Angus,Unknown,Personal Assistance Contract,0,NA
2018/19,Angus,All Ages,Private,2140,1000
2018/19,Angus,0-17 years,Private,10,1000
2018/19,Angus,18-64 years,Private,660,1000
2018/19,Angus,65-74 years,Private,330,1000
2018/19,Angus,75-84 years,Private,540,1000
2018/19,Angus,85+ years,Private,600,1000
2018/19,Angus,Unknown,Private,0,NA
2018/19,Angus,All Ages,Voluntary,2140,1000
2018/19,Angus,0-17 years,Voluntary,10,1000
2018/19,Angus,18-64 years,Voluntary,660,1000
2018/19,Angus,65-74 years,Voluntary,330,1000
2018/19,Angus,75-84 years,Voluntary,540,1000
2018/19,Angus,85+ years,Voluntary,600,1000
2018/19,Angus,Unknown,Voluntary,0,NA
2018/19,Angus,All Ages,Other,0,0
2018/19,Angus,0-17 years,Other,0,0
2018/19,Angus,18-64 years,Other,0,0
2018/19,Angus,65-74 years,Other,0,0
