financial_year,sending_location,option_type,nclient,rate
2018/19,Argyll and Bute,Option 3,1955,22.7
2018/19,Argyll and Bute,Option 4,45,0.5
2018/19,City of Edinburgh,Any SDS,6040,11.6
2018/19,City of Edinburgh,Option 1,1565,3
2018/19,City of Edinburgh,Option 2,495,1
2018/19,City of Edinburgh,Option 3,4430,8.5
2018/19,City of Edinburgh,Option 4,430,0.8
2018/19,Clackmannanshire,Any SDS,2530,49.2
2018/19,Clackmannanshire,Option 1,40,0.8
2018/19,Clackmannanshire,Option 2,55,1.1
2018/19,Clackmannanshire,Option 3,2510,48.8
2018/19,Clackmannanshire,Option 4,75,1.5
2018/19,Comhairle nan Eilean Siar,Any SDS,615,22.9
2018/19,Comhairle nan Eilean Siar,Option 1,90,3.4
2018/19,Comhairle nan Eilean Siar,Option 2,40,1.5
2018/19,Comhairle nan Eilean Siar,Option 3,535,19.9
2018/19,Comhairle nan Eilean Siar,Option 4,45,1.7
2018/19,Dumfries and Galloway,Any SDS,6985,46.9
2018/19,Dumfries and Galloway,Option 1,495,3.3
2018/19,Dumfries and Galloway,Option 2,15,0.1
2018/19,Dumfries and Galloway,Option 3,6720,45.2
2018/19,Dumfries and Galloway,Option 4,245,1.6
2018/19,Dundee City,Any SDS,7665,51.5
2018/19,Dundee City,Option 1,105,0.7
2018/19,Dundee City,Option 2,70,0.5
2018/19,Dundee City,Option 3,7495,50.4
2018/19,Dundee City,Option 4,5,0
2018/19,East Ayrshire,Any SDS,2060,16.9
2018/19,East Ayrshire,Option 1,210,1.7
2018/19,East Ayrshire,Option 2,155,1.3
2018/19,East Ayrshire,Option 3,1785,14.7
2018/19,East Ayrshire,Option 4,85,0.7
2018/19,East Dunbartonshire,Any SDS,1965,18.1
2018/19,East Dunbartonshire,Option 1,235,2.2
2018/19,East Dunbartonshire,Option 2,155,1.4
2018/19,East Dunbartonshire,Option 3,1705,15.7
2018/19,East Dunbartonshire,Option 4,130,1.2
2018/19,East Lothian,Any SDS,1000,9.5
2018/19,East Lothian,Option 1,125,1.2
2018/19,East Lothian,Option 2,200,1.9
2018/19,East Lothian,Option 3,830,7.8
2018/19,East Lothian,Option 4,145,1.4
2018/19,East Renfrewshire,Any SDS,1055,11.1
2018/19,East Renfrewshire,Option 1,345,3.6
2018/19,East Renfrewshire,Option 2,170,1.8
2018/19,East Renfrewshire,Option 3,620,6.5
2018/19,East Renfrewshire,Option 4,75,0.8
2018/19,Falkirk,Any SDS,4290,26.8
2018/19,Falkirk,Option 1,65,0.4
2018/19,Falkirk,Option 2,370,2.3
2018/19,Falkirk,Option 3,4060,25.3
2018/19,Falkirk,Option 4,200,1.2
2018/19,Fife,Any SDS,9415,25.3
2018/19,Fife,Option 1,540,1.5
2018/19,Fife,Option 2,85,0.2
2018/19,Fife,Option 3,9160,24.6
2018/19,Fife,Option 4,370,1
2018/19,Glasgow City,Any SDS,3860,6.2
2018/19,Glasgow City,Option 1,665,1.1
2018/19,Glasgow City,Option 2,655,1
2018/19,Glasgow City,Option 3,3315,5.3
2018/19,Glasgow City,Option 4,725,1.2
2018/19,Highland,Any SDS,7945,33.7
2018/19,Highland,Option 1,440,1.9
2018/19,Highland,Option 2,285,1.2
2018/19,Highland,Option 3,7245,30.8
2018/19,Highland,Option 4,20,0.1
2018/19,Inverclyde,Any SDS,2490,31.9
2018/19,Inverclyde,Option 1,70,0.9
2018/19,Inverclyde,Option 2,130,1.7
2018/19,Inverclyde,Option 3,2355,30.1
2018/19,Inverclyde,Option 4,60,0.8
2018/19,Midlothian,Any SDS,2100,23
2018/19,Midlothian,Option 1,190,2.1
2018/19,Midlothian,Option 2,80,0.9
2018/19,Midlothian,Option 3,2000,21.9
2018/19,Midlothian,Option 4,170,1.9
2018/19,Moray,Any SDS,1015,10.6
2018/19,Moray,Option 1,240,2.5
2018/19,Moray,Option 2,180,1.9
2018/19,Moray,Option 3,705,7.4
2018/19,Moray,Option 4,105,1.1
2018/19,North Ayrshire,Any SDS,7275,53.8
2018/19,North Ayrshire,Option 1,200,1.5
2018/19,North Ayrshire,Option 2,55,0.4
2018/19,North Ayrshire,Option 3,7025,51.9
2018/19,North Ayrshire,Option 4,5,0
2018/19,North Lanarkshire,Any SDS,1390,4.1
2018/19,North Lanarkshire,Option 1,250,0.7
2018/19,North Lanarkshire,Option 2,1015,3
2018/19,North Lanarkshire,Option 3,140,0.4
2018/19,North Lanarkshire,Option 4,15,0
2018/19,Orkney Islands,Any SDS,115,5.2
2018/19,Orkney Islands,Option 1,95,4.3
2018/19,Orkney Islands,Option 2,25,1.1
2018/19,Orkney Islands,Option 3,0,0
2018/19,Orkney Islands,Option 4,5,0.2
2018/19,Perth and Kinross,Any SDS,4900,32.4
2018/19,Perth and Kinross,Option 1,380,2.5
2018/19,Perth and Kinross,Option 2,1010,6.7
2018/19,Perth and Kinross,Option 3,4315,28.5
2018/19,Perth and Kinross,Option 4,775,5.1
2018/19,Renfrewshire,Any SDS,3490,19.6
2018/19,Renfrewshire,Option 1,210,1.2
2018/19,Renfrewshire,Option 2,110,0.6
2018/19,Renfrewshire,Option 3,3305,18.6
2018/19,Renfrewshire,Option 4,125,0.7
2018/19,Scottish Borders,Any SDS,2600,22.6
2018/19,Scottish Borders,Option 1,495,4.3
2018/19,Scottish Borders,Option 2,10,0.1
2018/19,Scottish Borders,Option 3,2315,20.1
2018/19,Scottish Borders,Option 4,220,1.9
2018/19,Shetland Islands,Any SDS,60,2.6
2018/19,Shetland Islands,Option 1,55,2.4
2018/19,Shetland Islands,Option 2,5,0.2
2018/19,Shetland Islands,Option 3,25,1.1
2018/19,Shetland Islands,Option 4,25,1.1
2018/19,South Ayrshire,Any SDS,4055,36
2018/19,South Ayrshire,Option 1,115,1
2018/19,South Ayrshire,Option 2,130,1.2
2018/19,South Ayrshire,Option 3,3830,34
2018/19,South Ayrshire,Option 4,15,0.1
2018/19,South Lanarkshire,Any SDS,1940,6.1
2018/19,South Lanarkshire,Option 1,630,2
2018/19,South Lanarkshire,Option 2,85,0.3
2018/19,South Lanarkshire,Option 3,1330,4.2
2018/19,South Lanarkshire,Option 4,105,0.3
2018/19,Stirling,Any SDS,1885,20
2018/19,Stirling,Option 1,70,0.7
2018/19,Stirling,Option 2,90,1
2018/19,Stirling,Option 3,1795,19
2018/19,Stirling,Option 4,70,0.7
2018/19,West Dunbartonshire,Any SDS,1595,17.9
2018/19,West Dunbartonshire,Option 1,115,1.3
2018/19,West Dunbartonshire,Option 2,10,0.1
2018/19,West Dunbartonshire,Option 3,1485,16.7
2018/19,West Dunbartonshire,Option 4,10,0.1
2018/19,West Lothian,Any SDS,2790,15.3
2018/19,West Lothian,Option 1,210,1.2
2018/19,West Lothian,Option 2,860,4.7
2018/19,West Lothian,Option 3,1965,10.8
2018/19,West Lothian,Option 4,240,1.3
2019/20,Scotland (Estimated),Any SDS,99245,18.2
2019/20,Scotland (Estimated),Option 1,9415,1.7
2019/20,Scotland (Estimated),Option 2,9030,1.7
2019/20,Scotland (Estimated),Option 3,86200,15.8
2019/20,Scotland (Estimated),Option 4,5440,1
2019/20,Aberdeen City,Any SDS,1030,4.5
2019/20,Aberdeen City,Option 1,275,1.2
2019/20,Aberdeen City,Option 2,10,0
2019/20,Aberdeen City,Option 3,835,3.7
2019/20,Aberdeen City,Option 4,90,0.4
2019/20,Aberdeenshire,Any SDS,3940,15.1
2019/20,Aberdeenshire,Option 1,405,1.6
2019/20,Aberdeenshire,Option 2,35,0.1
2019/20,Aberdeenshire,Option 3,3735,14.3
2019/20,Aberdeenshire,Option 4,235,0.9
2019/20,Angus,Any SDS,2620,22.5
2019/20,Angus,Option 1,170,1.5
2019/20,Angus,Option 2,595,5.1
2019/20,Angus,Option 3,1830,15.7
2019/20,Angus,Option 4,170,1.5
2019/20,Argyll and Bute,Any SDS,2160,25.2
2019/20,Argyll and Bute,Option 1,210,2.4
2019/20,Argyll and Bute,Option 2,255,3
2019/20,Argyll and Bute,Option 3,1865,21.7
2019/20,Argyll and Bute,Option 4,170,2
2019/20,City of Edinburgh,Any SDS,6415,12.2
2019/20,City of Edinburgh,Option 1,1665,3.2
2019/20,City of Edinburgh,Option 2,500,1
2019/20,City of Edinburgh,Option 3,4680,8.9
2019/20,City of Edinburgh,Option 4,420,0.8
2019/20,Clackmannanshire,Any SDS,2565,49.8
2019/20,Clackmannanshire,Option 1,40,0.8
2019/20,Clackmannanshire,Option 2,60,1.2
2019/20,Clackmannanshire,Option 3,2550,49.5
2019/20,Clackmannanshire,Option 4,80,1.6
2019/20,Comhairle nan Eilean Siar,Any SDS,100,3.7
2019/20,Comhairle nan Eilean Siar,Option 1,100,3.7
2019/20,Comhairle nan Eilean Siar,Option 2,30,1.1
2019/20,Comhairle nan Eilean Siar,Option 3,0,0
2019/20,Comhairle nan Eilean Siar,Option 4,30,1.1
2019/20,Dumfries and Galloway,Any SDS,7220,48.5
2019/20,Dumfries and Galloway,Option 1,550,3.7
2019/20,Dumfries and Galloway,Option 2,20,0.1
2019/20,Dumfries and Galloway,Option 3,6935,46.6
2019/20,Dumfries and Galloway,Option 4,280,1.9
2019/20,Dundee City,Any SDS,3100,20.8
2019/20,Dundee City,Option 1,120,0.8
2019/20,Dundee City,Option 2,160,1.1
2019/20,Dundee City,Option 3,2950,19.8
2019/20,Dundee City,Option 4,130,0.9
2019/20,East Ayrshire,Any SDS,1895,15.5
2019/20,East Ayrshire,Option 1,220,1.8
2019/20,East Ayrshire,Option 2,140,1.1
2019/20,East Ayrshire,Option 3,1605,13.2
2019/20,East Ayrshire,Option 4,65,0.5
2019/20,East Dunbartonshire,Any SDS,2085,19.2
2019/20,East Dunbartonshire,Option 1,240,2.2
2019/20,East Dunbartonshire,Option 2,165,1.5
2019/20,East Dunbartonshire,Option 3,1825,16.8
2019/20,East Dunbartonshire,Option 4,130,1.2
2019/20,East Lothian,Any SDS,1000,9.3
2019/20,East Lothian,Option 1,105,1
2019/20,East Lothian,Option 2,120,1.1
2019/20,East Lothian,Option 3,900,8.4
2019/20,East Lothian,Option 4,115,1.1
2019/20,East Renfrewshire,Any SDS,1165,12.2
2019/20,East Renfrewshire,Option 1,395,4.1
2019/20,East Renfrewshire,Option 2,180,1.9
2019/20,East Renfrewshire,Option 3,715,7.5
2019/20,East Renfrewshire,Option 4,120,1.3
2019/20,Falkirk,Any SDS,4490,27.9
2019/20,Falkirk,Option 1,60,0.4
2019/20,Falkirk,Option 2,455,2.8
2019/20,Falkirk,Option 3,4355,27.1
2019/20,Falkirk,Option 4,370,2.3
2019/20,Fife,Any SDS,8925,23.9
2019/20,Fife,Option 1,570,1.5
2019/20,Fife,Option 2,165,0.4
2019/20,Fife,Option 3,8505,22.8
2019/20,Fife,Option 4,310,0.8
2019/20,Glasgow City,Any SDS,3965,6.3
2019/20,Glasgow City,Option 1,715,1.1
2019/20,Glasgow City,Option 2,1860,2.9
2019/20,Glasgow City,Option 3,1930,3
2019/20,Glasgow City,Option 4,505,0.8
2019/20,Highland,Any SDS,8195,34.7
2019/20,Highland,Option 1,435,1.8
2019/20,Highland,Option 2,325,1.4
2019/20,Highland,Option 3,7455,31.6
2019/20,Highland,Option 4,25,0.1
2019/20,Inverclyde,Any SDS,2540,32.6
2019/20,Inverclyde,Option 1,70,0.9
2019/20,Inverclyde,Option 2,155,2
2019/20,Inverclyde,Option 3,2425,31.2
2019/20,Inverclyde,Option 4,110,1.4
2019/20,Midlothian,Any SDS,2880,31.1
2019/20,Midlothian,Option 1,90,1
2019/20,Midlothian,Option 2,60,0.6
2019/20,Midlothian,Option 3,2830,30.6
2019/20,Midlothian,Option 4,100,1.1
2019/20,Moray,Any SDS,1005,10.5
2019/20,Moray,Option 1,260,2.7
2019/20,Moray,Option 2,95,1
2019/20,Moray,Option 3,735,7.7
2019/20,Moray,Option 4,80,0.8
2019/20,North Ayrshire,Any SDS,7210,53.5
2019/20,North Ayrshire,Option 1,215,1.6
2019/20,North Ayrshire,Option 2,80,0.6
2019/20,North Ayrshire,Option 3,6935,51.5
2019/20,North Ayrshire,Option 4,20,0.1
2019/20,North Lanarkshire,Any SDS,1515,4.4
2019/20,North Lanarkshire,Option 1,280,0.8
2019/20,North Lanarkshire,Option 2,1145,3.4
2019/20,North Lanarkshire,Option 3,120,0.4
2019/20,North Lanarkshire,Option 4,25,0.1
2019/20,Orkney Islands,Any SDS,125,5.6
2019/20,Orkney Islands,Option 1,75,3.4
2019/20,Orkney Islands,Option 2,55,2.5
2019/20,Orkney Islands,Option 3,0,0
2019/20,Orkney Islands,Option 4,0,0
2019/20,Perth and Kinross,Any SDS,5350,35.2
2019/20,Perth and Kinross,Option 1,410,2.7
2019/20,Perth and Kinross,Option 2,1185,7.8
2019/20,Perth and Kinross,Option 3,4595,30.2
2019/20,Perth and Kinross,Option 4,805,5.3
2019/20,Renfrewshire,Any SDS,3470,19.4
2019/20,Renfrewshire,Option 1,285,1.6
2019/20,Renfrewshire,Option 2,170,0.9
2019/20,Renfrewshire,Option 3,3240,18.1
2019/20,Renfrewshire,Option 4,215,1.2
2019/20,Scottish Borders,Any SDS,2970,25.7
2019/20,Scottish Borders,Option 1,605,5.2
2019/20,Scottish Borders,Option 2,15,0.1
2019/20,Scottish Borders,Option 3,2590,22.4
2019/20,Scottish Borders,Option 4,240,2.1
2019/20,Shetland Islands,Any SDS,75,3.3
2019/20,Shetland Islands,Option 1,70,3.1
2019/20,Shetland Islands,Option 2,5,0.2
2019/20,Shetland Islands,Option 3,35,1.5
2019/20,Shetland Islands,Option 4,35,1.5
2019/20,South Ayrshire,Any SDS,4055,36
2019/20,South Ayrshire,Option 1,115,1
2019/20,South Ayrshire,Option 2,130,1.2
2019/20,South Ayrshire,Option 3,3830,34
2019/20,South Ayrshire,Option 4,15,0.1
2019/20,South Lanarkshire,Any SDS,1335,4.2
2019/20,South Lanarkshire,Option 1,300,0.9
2019/20,South Lanarkshire,Option 2,65,0.2
2019/20,South Lanarkshire,Option 3,1165,3.6
2019/20,South Lanarkshire,Option 4,190,0.6
2019/20,Stirling,Any SDS,1950,20.7
2019/20,Stirling,Option 1,65,0.7
2019/20,Stirling,Option 2,85,0.9
2019/20,Stirling,Option 3,1855,19.7
2019/20,Stirling,Option 4,55,0.6
2019/20,West Dunbartonshire,Any SDS,1390,15.6
2019/20,West Dunbartonshire,Option 1,110,1.2
2019/20,West Dunbartonshire,Option 2,15,0.2
2019/20,West Dunbartonshire,Option 3,1265,14.2
2019/20,West Dunbartonshire,Option 4,0,0
2019/20,West Lothian,Any SDS,2490,13.6
2019/20,West Lothian,Option 1,195,1.1
2019/20,West Lothian,Option 2,690,3.8
2019/20,West Lothian,Option 3,1915,10.5
2019/20,West Lothian,Option 4,305,1.7
2020/21,Scotland (Estimated),Any SDS,105790,19.4
2020/21,Scotland (Estimated),Option 1,9495,1.7
2020/21,Scotland (Estimated),Option 2,8735,1.6
2020/21,Scotland (Estimated),Option 3,92795,17
2020/21,Scotland (Estimated),Option 4,5340,1
2020/21,Aberdeen City,Any SDS,1030,4.5
2020/21,Aberdeen City,Option 1,275,1.2
2020/21,Aberdeen City,Option 2,10,0
2020/21,Aberdeen City,Option 3,835,3.6
2020/21,Aberdeen City,Option 4,90,0.4
2020/21,Aberdeenshire,Any SDS,3940,15.1
2020/21,Aberdeenshire,Option 1,405,1.6
2020/21,Aberdeenshire,Option 2,35,0.1
2020/21,Aberdeenshire,Option 3,3735,14.3
2020/21,Aberdeenshire,Option 4,235,0.9
2020/21,Angus,Any SDS,2465,21.3
2020/21,Angus,Option 1,175,1.5
2020/21,Angus,Option 2,535,4.6
2020/21,Angus,Option 3,1700,14.7
2020/21,Angus,Option 4,175,1.5
2020/21,Argyll and Bute,Any SDS,2240,26.2
2020/21,Argyll and Bute,Option 1,225,2.6
2020/21,Argyll and Bute,Option 2,205,2.4
2020/21,Argyll and Bute,Option 3,1995,23.4
2020/21,Argyll and Bute,Option 4,180,2.1
2020/21,City of Edinburgh,Any SDS,8745,16.6
2020/21,City of Edinburgh,Option 1,1770,3.4
2020/21,City of Edinburgh,Option 2,495,0.9
2020/21,City of Edinburgh,Option 3,7060,13.4
2020/21,City of Edinburgh,Option 4,565,1.1
2020/21,Clackmannanshire,Any SDS,2530,49.3
2020/21,Clackmannanshire,Option 1,35,0.7
2020/21,Clackmannanshire,Option 2,45,0.9
2020/21,Clackmannanshire,Option 3,2510,48.9
2020/21,Clackmannanshire,Option 4,55,1.1
2020/21,Comhairle nan Eilean Siar,Any SDS,680,25.7
2020/21,Comhairle nan Eilean Siar,Option 1,135,5.1
2020/21,Comhairle nan Eilean Siar,Option 2,65,2.5
2020/21,Comhairle nan Eilean Siar,Option 3,545,20.6
2020/21,Comhairle nan Eilean Siar,Option 4,75,2.8
2020/21,Dumfries and Galloway,Any SDS,7025,47.4
2020/21,Dumfries and Galloway,Option 1,480,3.2
2020/21,Dumfries and Galloway,Option 2,20,0.1
2020/21,Dumfries and Galloway,Option 3,6790,45.8
2020/21,Dumfries and Galloway,Option 4,260,1.8
2020/21,Dundee City,Any SDS,3180,21.4
2020/21,Dundee City,Option 1,145,1
2020/21,Dundee City,Option 2,125,0.8
2020/21,Dundee City,Option 3,2925,19.7
2020/21,Dundee City,Option 4,10,0.1
2020/21,East Ayrshire,Any SDS,3155,25.9
2020/21,East Ayrshire,Option 1,230,1.9
2020/21,East Ayrshire,Option 2,235,1.9
2020/21,East Ayrshire,Option 3,2880,23.7
2020/21,East Ayrshire,Option 4,185,1.5
2020/21,East Dunbartonshire,Any SDS,2275,20.9
2020/21,East Dunbartonshire,Option 1,215,2
2020/21,East Dunbartonshire,Option 2,175,1.6
2020/21,East Dunbartonshire,Option 3,2030,18.7
2020/21,East Dunbartonshire,Option 4,145,1.3
2020/21,East Lothian,Any SDS,1000,9.3
2020/21,East Lothian,Option 1,105,1
2020/21,East Lothian,Option 2,120,1.1
2020/21,East Lothian,Option 3,900,8.3
2020/21,East Lothian,Option 4,115,1.1
2020/21,East Renfrewshire,Any SDS,1155,12
2020/21,East Renfrewshire,Option 1,370,3.9
2020/21,East Renfrewshire,Option 2,180,1.9
2020/21,East Renfrewshire,Option 3,715,7.4
2020/21,East Renfrewshire,Option 4,110,1.1
2020/21,Falkirk,Any SDS,4455,27.7
2020/21,Falkirk,Option 1,60,0.4
2020/21,Falkirk,Option 2,270,1.7
2020/21,Falkirk,Option 3,4405,27.4
2020/21,Falkirk,Option 4,280,1.7
2020/21,Fife,Any SDS,9420,25.2
2020/21,Fife,Option 1,545,1.5
2020/21,Fife,Option 2,200,0.5
2020/21,Fife,Option 3,8955,23.9
2020/21,Fife,Option 4,280,0.7
2020/21,Glasgow City,Any SDS,4130,6.5
2020/21,Glasgow City,Option 1,800,1.3
2020/21,Glasgow City,Option 2,2020,3.2
2020/21,Glasgow City,Option 3,1965,3.1
2020/21,Glasgow City,Option 4,615,1
2020/21,Highland,Any SDS,8140,34.6
2020/21,Highland,Option 1,450,1.9
2020/21,Highland,Option 2,280,1.2
2020/21,Highland,Option 3,7430,31.6
2020/21,Highland,Option 4,25,0.1
2020/21,Inverclyde,Any SDS,2540,33
2020/21,Inverclyde,Option 1,70,0.9
2020/21,Inverclyde,Option 2,155,2
2020/21,Inverclyde,Option 3,2425,31.5
2020/21,Inverclyde,Option 4,110,1.4
2020/21,Midlothian,Any SDS,3480,37.4
2020/21,Midlothian,Option 1,200,2.1
2020/21,Midlothian,Option 2,55,0.6
2020/21,Midlothian,Option 3,3345,35.9
2020/21,Midlothian,Option 4,120,1.3
2020/21,Moray,Any SDS,1765,18.4
2020/21,Moray,Option 1,225,2.4
2020/21,Moray,Option 2,115,1.2
2020/21,Moray,Option 3,1560,16.3
2020/21,Moray,Option 4,125,1.3
2020/21,North Ayrshire,Any SDS,7010,52.2
2020/21,North Ayrshire,Option 1,200,1.5
2020/21,North Ayrshire,Option 2,155,1.2
2020/21,North Ayrshire,Option 3,6745,50.2
2020/21,North Ayrshire,Option 4,90,0.7
2020/21,North Lanarkshire,Any SDS,1515,4.4
2020/21,North Lanarkshire,Option 1,315,0.9
2020/21,North Lanarkshire,Option 2,1110,3.3
2020/21,North Lanarkshire,Option 3,120,0.4
2020/21,North Lanarkshire,Option 4,30,0.1
2020/21,Orkney Islands,Any SDS,125,5.6
2020/21,Orkney Islands,Option 1,75,3.3
2020/21,Orkney Islands,Option 2,55,2.5
2020/21,Orkney Islands,Option 3,0,0
2020/21,Orkney Islands,Option 4,0,0
2020/21,Perth and Kinross,Any SDS,5405,35.6
2020/21,Perth and Kinross,Option 1,420,2.8
2020/21,Perth and Kinross,Option 2,1100,7.2
2020/21,Perth and Kinross,Option 3,4665,30.7
2020/21,Perth and Kinross,Option 4,755,5
2020/21,Renfrewshire,Any SDS,3825,21.3
2020/21,Renfrewshire,Option 1,335,1.9
2020/21,Renfrewshire,Option 2,230,1.3
2020/21,Renfrewshire,Option 3,3450,19.2
2020/21,Renfrewshire,Option 4,185,1
2020/21,Scottish Borders,Any SDS,3005,26.1
2020/21,Scottish Borders,Option 1,625,5.4
2020/21,Scottish Borders,Option 2,20,0.2
2020/21,Scottish Borders,Option 3,2585,22.4
2020/21,Scottish Borders,Option 4,230,2
2020/21,Shetland Islands,Any SDS,115,5
2020/21,Shetland Islands,Option 1,110,4.8
2020/21,Shetland Islands,Option 2,5,0.2
2020/21,Shetland Islands,Option 3,35,1.5
2020/21,Shetland Islands,Option 4,35,1.5
2020/21,South Ayrshire,Any SDS,4055,36.2
2020/21,South Ayrshire,Option 1,115,1
2020/21,South Ayrshire,Option 2,130,1.2
2020/21,South Ayrshire,Option 3,3830,34.2
2020/21,South Ayrshire,Option 4,15,0.1
2020/21,South Lanarkshire,Any SDS,1885,5.9
2020/21,South Lanarkshire,Option 1,40,0.1
2020/21,South Lanarkshire,Option 2,45,0.1
2020/21,South Lanarkshire,Option 3,1825,5.7
2020/21,South Lanarkshire,Option 4,30,0.1
2020/21,Stirling,Any SDS,2010,21.4
2020/21,Stirling,Option 1,65,0.7
2020/21,Stirling,Option 2,75,0.8
2020/21,Stirling,Option 3,1910,20.3
2020/21,Stirling,Option 4,40,0.4
2020/21,West Dunbartonshire,Any SDS,855,9.7
2020/21,West Dunbartonshire,Option 1,105,1.2
2020/21,West Dunbartonshire,Option 2,15,0.2
2020/21,West Dunbartonshire,Option 3,740,8.4
2020/21,West Dunbartonshire,Option 4,0,0
2020/21,West Lothian,Any SDS,2635,14.3
2020/21,West Lothian,Option 1,175,1
2020/21,West Lothian,Option 2,455,2.5
2020/21,West Lothian,Option 3,2185,11.9
2020/21,West Lothian,Option 4,175,1
