financial_year,sending_location,measure,nclient,rate,scotland_nclient,scotland_rate
2018/19,Angus,"Rate per 1,000 Population (adjusted)",6455,55.6,245650,45.17202699472242
2018/19,Argyll and Bute,"Rate per 1,000 Population",3995,46.3,240625,44.24799102627756
2018/19,Argyll and Bute,"Rate per 1,000 Population (adjusted)",3995,46.3,245650,45.17202699472242
2018/19,City of Edinburgh,"Rate per 1,000 Population",20015,38.6,240625,44.24799102627756
2018/19,City of Edinburgh,"Rate per 1,000 Population (adjusted)",16510,31.8,245650,45.17202699472242
2018/19,Clackmannanshire,"Rate per 1,000 Population",2640,51.4,240625,44.24799102627756
2018/19,Clackmannanshire,"Rate per 1,000 Population (adjusted)",2640,51.4,245650,45.17202699472242
2018/19,Comhairle nan Eilean Siar,"Rate per 1,000 Population",1740,64.9,240625,44.24799102627756
2018/19,Comhairle nan Eilean Siar,"Rate per 1,000 Population (adjusted)",1740,64.9,245650,45.17202699472242
2018/19,Dumfries and Galloway,"Rate per 1,000 Population",7045,47.3,240625,44.24799102627756
2018/19,Dumfries and Galloway,"Rate per 1,000 Population (adjusted)",7045,47.3,245650,45.17202699472242
2018/19,Dundee City,"Rate per 1,000 Population",11375,76.5,240625,44.24799102627756
2018/19,Dundee City,"Rate per 1,000 Population (adjusted)",11240,75.6,245650,45.17202699472242
2018/19,East Ayrshire,"Rate per 1,000 Population",6010,49.3,240625,44.24799102627756
2018/19,East Ayrshire,"Rate per 1,000 Population (adjusted)",5835,47.9,245650,45.17202699472242
2018/19,East Dunbartonshire,"Rate per 1,000 Population",7670,70.8,240625,44.24799102627756
2018/19,East Dunbartonshire,"Rate per 1,000 Population (adjusted)",6840,63.1,245650,45.17202699472242
2018/19,East Lothian,"Rate per 1,000 Population",3485,32.9,240625,44.24799102627756
2018/19,East Lothian,"Rate per 1,000 Population (adjusted)",3485,32.9,245650,45.17202699472242
2018/19,East Renfrewshire,"Rate per 1,000 Population",7745,81.4,240625,44.24799102627756
2018/19,East Renfrewshire,"Rate per 1,000 Population (adjusted)",7745,81.4,245650,45.17202699472242
2018/19,Falkirk,"Rate per 1,000 Population",8075,50.4,240625,44.24799102627756
2018/19,Falkirk,"Rate per 1,000 Population (adjusted)",7180,44.8,245650,45.17202699472242
2018/19,Fife,"Rate per 1,000 Population",16220,43.6,240625,44.24799102627756
2018/19,Fife,"Rate per 1,000 Population (adjusted)",16220,43.6,245650,45.17202699472242
2018/19,Glasgow City,"Rate per 1,000 Population",21475,34.3,240625,44.24799102627756
2018/19,Glasgow City,"Rate per 1,000 Population (adjusted)",21215,33.9,245650,45.17202699472242
2018/19,Highland,"Rate per 1,000 Population",7950,33.8,240625,44.24799102627756
2018/19,Highland,"Rate per 1,000 Population (adjusted)",7950,33.8,245650,45.17202699472242
2018/19,Inverclyde,"Rate per 1,000 Population",5325,68.1,240625,44.24799102627756
2018/19,Inverclyde,"Rate per 1,000 Population (adjusted)",4850,62.1,245650,45.17202699472242
2018/19,Midlothian,"Rate per 1,000 Population",3920,42.9,240625,44.24799102627756
2018/19,Midlothian,"Rate per 1,000 Population (adjusted)",3835,42,245650,45.17202699472242
2018/19,Moray,"Rate per 1,000 Population",3585,37.5,240625,44.24799102627756
2018/19,Moray,"Rate per 1,000 Population (adjusted)",3580,37.5,245650,45.17202699472242
2018/19,North Ayrshire,"Rate per 1,000 Population",7275,53.8,240625,44.24799102627756
2018/19,North Ayrshire,"Rate per 1,000 Population (adjusted)",7275,53.8,245650,45.17202699472242
2018/19,North Lanarkshire,"Rate per 1,000 Population",14900,43.8,240625,44.24799102627756
2018/19,North Lanarkshire,"Rate per 1,000 Population (adjusted)",14900,43.8,245650,45.17202699472242
2018/19,Orkney Islands,"Rate per 1,000 Population",1065,48,240625,44.24799102627756
2018/19,Orkney Islands,"Rate per 1,000 Population (adjusted)",1065,48,245650,45.17202699472242
2018/19,Perth and Kinross,"Rate per 1,000 Population",6785,44.8,240625,44.24799102627756
2018/19,Perth and Kinross,"Rate per 1,000 Population (adjusted)",5280,34.9,245650,45.17202699472242
2018/19,Renfrewshire,"Rate per 1,000 Population",8020,45.1,240625,44.24799102627756
2018/19,Renfrewshire,"Rate per 1,000 Population (adjusted)",8020,45.1,245650,45.17202699472242
2018/19,Scottish Borders,"Rate per 1,000 Population",7335,63.6,240625,44.24799102627756
2018/19,Scottish Borders,"Rate per 1,000 Population (adjusted)",7335,63.6,245650,45.17202699472242
2018/19,Shetland,"Rate per 1,000 Population",1325,57.6,240625,44.24799102627756
2018/19,Shetland,"Rate per 1,000 Population (adjusted)",1325,57.6,245650,45.17202699472242
2018/19,South Ayrshire,"Rate per 1,000 Population",5455,48.5,240625,44.24799102627756
2018/19,South Ayrshire,"Rate per 1,000 Population (adjusted)",5455,48.5,245650,45.17202699472242
2018/19,South Lanarkshire,"Rate per 1,000 Population",10570,33.1,240625,44.24799102627756
2018/19,South Lanarkshire,"Rate per 1,000 Population (adjusted)",10570,33.1,245650,45.17202699472242
2018/19,Stirling,"Rate per 1,000 Population",3890,41.2,240625,44.24799102627756
2018/19,Stirling,"Rate per 1,000 Population (adjusted)",3695,39.2,245650,45.17202699472242
2018/19,West Dunbartonshire,"Rate per 1,000 Population",4430,49.7,240625,44.24799102627756
2018/19,West Dunbartonshire,"Rate per 1,000 Population (adjusted)",4430,49.7,245650,45.17202699472242
2018/19,West Lothian,"Rate per 1,000 Population",7900,43.4,240625,44.24799102627756
2018/19,West Lothian,"Rate per 1,000 Population (adjusted)",6695,36.8,245650,45.17202699472242
2019/20,Scotland (Estimated),"Rate per 1,000 Population",237840,43.5,237840,43.53412772500137
2019/20,Scotland (Estimated),"Rate per 1,000 Population (adjusted)",216500,39.6,216500,39.62806362454926
2019/20,Aberdeen City,"Rate per 1,000 Population",10425,45.6,237840,43.53412772500137
2019/20,Aberdeen City,"Rate per 1,000 Population (adjusted)",8875,38.8,216500,39.62806362454926
2019/20,Aberdeenshire,"Rate per 1,000 Population",12785,48.9,237840,43.53412772500137
2019/20,Aberdeenshire,"Rate per 1,000 Population (adjusted)",12705,48.6,216500,39.62806362454926
2019/20,Angus,"Rate per 1,000 Population",6065,52.2,237840,43.53412772500137
2019/20,Angus,"Rate per 1,000 Population (adjusted)",6060,52.2,216500,39.62806362454926
